产品简称,当年收益%
蓝海一号,111.6
天玑财富4号,63.8
朴仕量化3号,61.4
中信中硕基金,49.28
长江资管瀚丰1号,48.34
财富9号,38.24
金田龙盛,28.48
陶朱创富,27.8
白马1号,25.29
默名十一期,25.16
盛运德诚趋势2号,24.08
安州价值优选1号,23.7
九铭恒升,22.81
默名融智阳光12期,22.26
金诚立达海中湾8号,21.6
正丰阳一金顺投1号,21.3
稳健增长,20.27
港融通6号,19.88
盛运德诚趋势1号,18.61
领新佰顺资产1号,18.29
伯洋六期,18.27
金蕴68期,17.39
楠溪一期,16.53
广发资管海大投资1号,16.01
优扬1号,15.87
广发资管海大投资3号,15.86
海中湾(齐鲁)3号,15.85
私募学院菁英117号,15.61
和棋中国量化二号,15.47
盛运德诚趋势5号,15.27
海中湾2号,15.08
聚睿2号,15
胜达成长2期,14.58
宝丰源1期,14.3
赛亚美纯基金,13.63
鑫增长1号,13.58
旭诺成长对冲3号,13.4
晟维价值,13.25
康元一期,12.5
楠溪二期,12.46
红角一号,12.34
贝富盛稳进一号,12.3
赛亚成长1号,12.28
易安菁英121号,12.13
高溪量化对冲进取1号,12.09
大隐价值一号,12.06
国投大盈一号,11.78
添华1号,11.72
金中和西鼎,11.72
融璇趋势1号,11.66
天谋富龙1期,11.5
高梧1号,11.35
格雷二期,11.34
格雷一期,11.22
赛亚明星基金,11.13
恒赢稳健1号,11.11
中垒一号,11.04
潮金创投1号,11.02
新湖祎海恒航一期,10.98
环球巨富量化资管3号,10.86
杜兹三号,10.8
聚星05号,10.66
金域量化2期,10.62
海中湾(中信)基金1号,9.99
中金家族1号,9.95
金域量化5期,9.86
常州本正博赢系列1期,9.85
祥和1号,9.78
广发资管海大投资2号,9.76
承源09号,9.72
泰通财富1号,9.71
基金会-弘尚资产,9.69
尚谦1号,9.5
正丰阳1号,9.47
浅湖2号,9.36
炳富2号,9.29
伯洋一期,9.03
天利进取1号,9.02
高溪量化对冲1号,9.01
圣手1期,8.89
思源1期,8.81
浅湖1号,8.71
炳富1号,8.68
金域量化1期,8.64
华银领先十六期,8.5
义旺赤兔1号,8.5
来兴3号,8.1
恒天创新投资一期,8.06
东方老虎汇1号,8.03
中金-云信私募工场金..,8.01
钜垣投资健康中国一号,7.7
道林资产管理一号,7.6
大概率资管1号,7.52
领新佰顺资产2号,7.28
温瑞福2号,7.26
钰淞(精选一期),7.17
枫景,7.16
信达量睿恒量化绝对收..,7
伯洋三期,6.96
兆顺一号,6.93
前海旗隆对冲分级基金..,6.93
佳盈二期,6.91
德赢,6.8
炉石核心价值,6.74
金海10号,6.66
承源9号,6.6
智博方略2期(续),6.35
私募学院菁英35号,6.21
拾年3号,6.09
恒龙01号,6.01
祥运和1号,5.98
菁英时代优选5号,5.97
龙萨精品一号,5.88
山金金控秦安一号,5.77
鸿逸泰瑞一号,5.59
价值稳健,5.58
毅扬2期,5.52
安盈打新1号,5.51
