产品简称,当年收益%
和致量化对冲,23.97
金域量化2期,18.51
高溪量化对冲1号,18.48
金域量化5期,17.71
金域量化1期,17.08
艾亿新融步步赢量化,13.32
金域量化3期,12.88
高溪多空趋势,12.1
白马1号,11.19
永乐春,10.63
信投鼎利3号,9.5
祥和1号,8.59
天发1号,7.09
海通国投稳健1期,7.08
久久益中盈信投资基金,7.04
远达财富决策先机混合型,6.44
宏升远望4号,6.42
高溪套利宝1号,6.24
伯洋六期,5.77
恒龙01号,5.61
恒龙一号,5.61
上善若水振华5期,5.33
九旭1号,4.82
枫景,4.5
永发投资稳健进取2期,4.48
波若精选1期,4.48
高溪多空趋势2号,4.34
进化论复合策略一号,4.29
长江超越理财量化3号,4
剡溪源一号,3.75
君泽利2号,3.71
伯洋一期,3.62
赛亚美纯基金,3.46
远达决策先机二号,3.3
和棋中国量化二号,3.23
金中和西鼎,3.16
旭诺成长对冲3号,3.1
承源9号,3.09
承源09号,3.09
上善若水厚德稳健,2.79
璟云天天向上二号,2.54
新方程双核动力,2.54
天倚道樟鄂1号,2.51
春风股票趋势投资基金,2.49
广发合正赢动2期,2.46
龙腾汇金1号,2.36
晟维价值,2.27
联讯三板汇1号,2.23
天利进取1号,2.13
剡溪源二号,2.04
小鳄1号,1.93
国轩,1.91
恒赢稳健1号,1.85
长江超越理财量化2号,1.84
财富广誉远安宫清心,1.68
融鑫5号,1.64
龙腾汇金2号,1.63
璟云天天向上一号,1.6
睿添富2号,1.59
中经乾禾,1.53
长江资管量化对冲1号,1.43
海洋之星90号第五期,1.41
众乐未名量化对冲一号,1.33
海外精选至臻隆奥1期,1.32
同威2期,1.3
摩旗多因子阿尔法量化..,1.27
金泉动量对冲基金,1.26
众乐未名量化对冲二号,1.22
新同方信托,1.21
祥运和1号,1.09
永安量化2号(类固定收..,1.09
山金金控秦安一号,1.04
坤元TOT,0.97
熵一3号全球宏观配置,0.94
涵德量化稳健主基金,0.86
涵德量化稳健从基金3号,0.85
涵德量化稳健从基金1号,0.85
涵德量化稳健从基金2号,0.85
奇获奇才A,0.83
华融股票宝5号B,0.83
千宇资本煮酒三号,0.79
宽投量化一号,0.77
振华刘宏量化对冲5号,0.76
双宇华耀创富1期,0.74
金域量化6期,0.7
上善若水厚德1期,0.69
上善若水厚德2期,0.69
和熙10号,0.69
世纪汇金量化优选对冲..,0.69
华源兴业稳盈1号,0.63
华鼎时代量化对冲基金,0.61
译发基金1期,0.61
来兴3号,0.6
价值精选8号,0.59
盛运德诚趋势1号,0.55
智裕新隆2号,0.53
宏源证券鑫源01号,0.51
潮金创投1号,0.48
睿添富3号,0.47
海中湾(齐鲁)3号,0.37
恒泰智盈01号,0.37
胜达成长3期,0.35
荟金数金2号,0.33
致中和赢,0.27
对冲精英之民森1期A,0.23
科乐对冲1号,0.23
汇鑫89号,0.21
正前方量道投资量化对..,0.2
天信猛秦1期,0.2
对冲优选2期1号,0.2
通和量化对冲6期,0.19
申毅多策略量化套利3号,0.19
赤子之心价值,0.18
招商汇智之赤子之心1期,0.17
阿尔法量化对冲六阳贞..,0.14
金狮151号,0.12
论德3期,0.12
黑天鹅猎户座2号,0.12
新时代量化对冲6号,0.11
鹏华资产赤子之心价值..,0.11
陶朱创富,0.11
宝丰源3期,0.11
摩旗多因子量化5号,0.1
摩旗多因子量化3号,0.1
申毅量化套利种子4号,0.1
锦润投资1期,0.09
赛亚成长1号,0.08
神州牧1号,0.08
爱投-爱医1号(长安投..,0.08
银帆7期,0.08
金狮154号,0.07
赤子之心成长,0.07
稳健流动性管理,0.07
中信证券宏明量化多策..,0.07
中信专享赤子之心成长..,0.06
中信专享赤子之心成长..,0.06
中信专享赤子之心成长..,0.06
中信专享赤子之心成长..,0.06
中信专享赤子之心成长..,0.06
中信专享赤子之心成长..,0.06
执盈二号,0.06
长江资管超越理财琴台..,0.06
中信专享赤子之心成长..,0.05
中信专享赤子之心成长..,0.05
第一创业瑞年05号,0.05
兴福TOP量化优选30,0.05
太平洋红珊瑚3号,0.05
量化2号,0.05
春辉宏远1号,0.04
培蓝壹号,0.03
量化3号,0.02
锐集一号,-0.01
融智新锐10期(泽泉投资),-0.01
贝富盛稳进一号,-0.01
宏牧1号,-0.01
金海10号,-0.01
金蕴50期(海润达),-0.01
灼华价值投资1号证券..,-0.02
联合成长2号,-0.02
联合成长1号,-0.03
黑金石天蓝基金,-0.03
九悦尊享,-0.03
银河期货九汇银量化交..,-0.03
重阳对冲1号,-0.03
诺亚高毅国鹭1号尚远2..,-0.04
神州牧1号,-0.04
浙商睿雅定增02期,-0.04
泽泉涨停板1号,-0.04
万泉易德1号,-0.05
上善神州牧1号,-0.05
金摇篮-信盈债券投资,-0.06
红象1期,-0.06
盈融达量化对冲1期专项,-0.07
鸿逸安泰二号基金,-0.07
或然赋利1期,-0.07
盛泉恒元多策略量化对..,-0.08
汇信-泽泉1号,-0.08
壹财富源和一期,-0.08
上善量化稳健3号,-0.08
剡溪源三号,-0.09
友山银麒3号,-0.09
九投象一号,-0.1
泽泉盛辉,-0.1
中粮稳进1号,-0.1
三一资本明珠1号,-0.1
理想1号,-0.1
成源一期,-0.1
旭升1号,-0.1
中风投一号,-0.1
泽泉信德,-0.11
盈融达量化对冲进取2期,-0.12
泽泉景渤财富,-0.12
浅湖2号,-0.13
宝丰一号,-0.13
鹏诚二期,-0.13
中金蓝海财纳易证券投..,-0.14
方德森财富1号,-0.15
泛涵正元,-0.15
道睿择2期,-0.16
广州鲲鹏新兴行业精选..,-0.16
纯熙精选1期,-0.17
稳增4期,-0.18
英飞投资1号,-0.18
信达量睿恒量化绝对收..,-0.18
优胜回报1期,-0.18
融汇阳光量化对冲1号,-0.19
成功共赢1期基金,-0.19
科乐证券1号,-0.19
永达2期(长安投资275号),-0.2
浦江之星103号二期,-0.2
钜和共赢1号,-0.2
惠嘉稳健成长,-0.2
健康生活主题优粤2号..,-0.23
盛运德诚趋势2号,-0.24
信复创值3号,-0.24
健康生活主题优粤2号..,-0.24
恩瑞索1期,-0.27
银帆2期,-0.28
国泰君安君享新利七号,-0.29
珠池量化稳健投资母基..,-0.3
港融通8号-第05期,-0.3
信复创值2号,-0.3
大隐价值一号,-0.32
通和进取1号,-0.35
金马君盛1号,-0.36
懿和五期(长安投资373..,-0.36
中睿合银策略1号,-0.36
多策略优选4号,-0.39
健康生活主题优粤2号..,-0.39
锃亮一期,-0.39
珠池量化稳健投资母基..,-0.4
道谊量化增强1期,-0.43
华安量成量化对冲1号,-0.44
浙江文熙明曜套利1号,-0.44
德骏核心1号,-0.44
摩旗多因子量化1号,-0.45
八零后一期,-0.49
共盈凯石喜洋洋,-0.49
嘉和对冲1号,-0.49
冷火一号,-0.49
华炎晨星,-0.49
聚米1期,-0.49
长城量化优选8号,-0.5
壹财富量化1号,-0.51
万源汇富一期,-0.52
银帆8期,-0.53
丰岭精选,-0.54
鼎锋另类策略1期,-0.56
永安资管进取型1号,-0.57
探骊,-0.57
天马多空策略投资基金,-0.58
菩提成长1号,-0.59
正和新融1号,-0.6
数金泰山量化对冲,-0.6
胜达成长4期,-0.61
红宝石(上信-E-1306),-0.61
鼎实量化FOF一期,-0.62
信达星云一号,-0.64
天发2号,-0.65
西润聚金量化1号,-0.66
