产品简称,当年收益%
泽熙3期,379.66
倚天雅莉3号,331.24
泽熙1期,324.09
洪昌价值成长二号,270.45
泽泉景渤财富,251.69
泽熙4期,207.57
北京天启螣蛇投资,184.33
融新293号(金河..,179.61
稳健增长,177.69
兆意1期,176.57
旭诺成长择时对冲一..,175.44
泽熙5期,175.2
毕咸01期,172.45
清皓1期(小雅1号..,166.02
和聚鼎宝2期,165.86
仙童1期(海南成长..,160.55
金陀罗飞龙一号,152.68
泽熙2期,149.93
私募领导者第1期(..,146.99
泽泉财富管家1号,146.75
展博恒享1期,139.87
华银价值基金,137.86
泽泉盛辉,135.9
永望复利成长1号,132.4
得大一期,130.6
国泰君安君享展博一..,130.55
聚发(11)混沌1..,130.15
富腾成长三期,129.27
中山宝睿精选,127.51
源乐晟8期,124.04
太平洋红珊瑚3号,121.69
景富趋势成长一期,121.57
睿翔1号第一期,120.78
和聚鼎宝1期,120.55
浙商金惠3号,119.27
基金会-弘尚资产,118.44
泽泉涨停板1号,116.8
共盈大岩量化进取,112.01
鼎力策略对冲一号,110.48
中金-云信私募工场..,108.55
源乐晟9期,108.13
力量一号,106.75
清水源1号,106.71
朴道02期,105.23
洪昌价值成长一号,104.16
丰大一号,103.3
巨杉净值线1号,103.09
源乐晟策略创新1期,102.38
京福1号,101.58
鸿逸安泰一号,101.18
汇盈一期,100.99
广发聚盛私募工场(..,100.89
证大稳健,99.6
宝耀1期(宝鸿财富..,99.22
红筹转型成长,94.57
神州牧1号,94.38
大朴进取1期,94.35
穗富温商1号,94.18
钜融金鳞1号,93.87
映雪霜雪2期,93.32
国泰君安君享博道精..,93.29
中山盛翔2号,93.12
国泰君安君享龙鼎一..,92.34
航长常春藤,92.17
融惠优选2期-3,91.68
旗隆达尔文科技对冲..,91.08
理成风景2号,90.85
A基金,90.46
金蕴62期(七王瑞..,89.25
巨杉净值线7号,88.71
双盈二号,88.65
融智新锐10期(泽..,88.33
金陀罗飞龙二号,88.02
巨杉净值线3号,88
中金蓝海中华成长品..,87.86
航长常春藤2号,86.78
京福2号,86.71
尚诚,86.67
恒创精选1号,86.3
博道精选5期,85.81
源乐晟6期,85.63
映雪霜雪1期,85.6
乐晟精选,85.56
融惠优选2期-2,85.18
正弘1号,85.07
源乐晟11期,84.57
展博2期,84.05
金蕴56期,83.91
鑫兰瑞,83.81
展博5期,83.65
新思哲1期,83.59
森瑞独立景气,83.44
展博专注D期,83.34
展博专注A期,83.32
展博专注C期,83.32
展博专注B期,83.29
财通财丰1号,82.94
齐熙社会回报,82.82
鹰影尊享1号,82.81
摩通5号(长安投资..,82.69
源乐晟5期,82.28
源乐晟3期(富锦2..,82.19
丰岭稳健成长1期,82.16
和聚多策略对冲3号..,82.16
汇盈31号,82.05
理成专户4号,81.86
源乐晟7期,80.96
瑞天价值成长,80.93
私募精选1期,80.61
私募精选2期,80.58
华邦增长1号,80.29
展博新兴产业,80.18
穗富11号(长安投..,79.86
禾木1号,79.67
银帆7期,79.43
黄金优选21期1号,79.08
穗富1号,90.51
和聚兴享1期,78.7
泽泉福虹财富,78.7
紫晶一号,78.6
鑫安3期,78.56
国泰君安君享朴道一..,78.17
龙腾3期,78.06
菁英时代成长3号,77.86
金蕴21期(泓璞1..,77.51
穗富5号,77.35
金蕴12期,77.31
诚盛1期,77.23
长安投资280号(..,76.98
大君智萌2期,76.93
汇信-惠正1号,76.81
银帆8期,76.75
汇盈9号,76.61
金浪一号,76.48
巨杉净值线4号,76.39
犇牛1期,76.33
源乐晟2期,76.25
世诚扬子二号,76.11
金石3期,75.35
搏股通金2号,75.3
黑森九号,75.28
源乐晟10期,75.13
汇盈29号,75.07
理成转子3号,74.42
巨杉净值线2号,74.3
华银创新六期基金,74.22
鑫安1期,74.06
睿远理成专户1号,73.81
红土创新红石5号,73.8
国金慧泉精选对冲3..,73.61
源乐晟全球成长,73.61
久富2期,73.49
六禾财富东莞,30.52
华银汇森一号基金,72.82
大明投资玉麟1号,72.7
荣世安达睿选1号,72.69
中金-云信私募工场..,72.51
展博1期,72.39
鑫安2期,72.26
菁英时代价值成长1..,72.01
鸿逸1号,71.99
汇信-普尔1号,71.6
朱雀18期,70.98
天勤进取1号,70.98
通和进取1号,70.7
精英之从容A,70.69
久富1期,69.92
世诚扬子3号,69.92
理成消费分红(转子..,68.98
煜融兔子一百,68.87
第一创业大岩资本量..,68.7
君盈成长,68.49
龙腾5期,67.75
博道精选1期,67.68
博道精选A号,67.67
谦石1期,67.49
巨杉净值线6号,67.27
穗富3号,67.1
融惠优选1期3号,66.73
理成转子2号,66.69
朱雀专享1号,66.65
源乐晟4期,66.56
融新316号玖歌投..,66.38
混沌2号,66.2
质嘉一期,66.08
和聚11期,65.27
泽泉信德,64.84
浙商金惠海宁钱潮,64.72
世域1期,64.64
名禹稳健增长,64.5
昭时五期,64.41
银帆一期(铂金1号..,64.03
升阳2期,63.68
弘尚投资,63.47
中睿合银策略优选1..,63.12
乾图1号(瑞林管理..,65.07
明河成长,62.92
名禹灵越,62.86
华骏海石1号,62.83
和聚华享对冲1期,62.81
天勤1号,62.63
青骓西格玛套利一期,62.51
世诚投资六号,62.15
瑞天3期,61.86
高信百诺1期,61.74
中金蓝海中华成长品..,61.58
穗富2号,60.2
华财银丰证券投资基..,61.29
中信证券成长精选1..,61.14
浙商金惠引航,60.57
国信鸿道对冲限额特..,60.42
和聚3期,60.35
鹰影尊享3号,60.3
太平洋红珊瑚8号,59.97
归富成长复兴二号,59.79
明河价值一期,59.66
金牡丹道谊稳健,59.63
久富3期,59.32
和聚5期,59.3
铭深1号,59.29
银石5期,58.96
中卓成长1期,58.88
正朗成长资产,58.44
世域2期,58.36
铜爵之强国重器2号,58.19
和聚1期,58.18
银石1期,58.12
690号,46.55
和聚2期,57.6
中金-云信私募工场..,57.35
懿和1号,57.33
银帆5期,57.1
新价值9期,57.01
建信积极成长1期,56.97
冰剑7号,56.93
久富4期,56.9
汇信-普尔3号,56.86
中欧瑞博1期,56.76
和聚4期,56.76
达仁1号,56.74
华物君裕11号基金,56.7
潮金1号,56.69
金元证券游马地1号,56.49
尚雅6期,56.27
星石16期,56.26
若海二期,56.25
银石3号,54.51
前海旗隆对冲分级基..,56.08
锐进3期博道目标缓..,55.99
汇信-普尔2号,55.71
理成转子专户01号,55.62
星石3期,55.19
冰剑3号,49.18
星石1期,55.13
骐邦涌利稳健成长,55.13
星石4期,55.06
融新85号(超盛一..,55.03
先锋1号,55
星石7期,54.84
星石2期,54.41
浦江之星130号,54.39
星石13期,54.38
朱雀22期,48.81
框特灵活配置优选,54.11
朱雀新机遇汇智A期,54.07
朱雀新机遇,54.07
兆金鸿1号,53.99
恒复利贞,53.92
华尔进取1号,53.84
中金-云信私募工场..,53.64
汇信-信诚1号,53.57
金狮151号,53.37
宏石1号,53.18
朱雀10期,52.88
星石6期,52.82
星石5期,52.67
旗隆雪峰医药对冲基..,52.67
星石8期,52.65
和聚7期,52.51
冰剑2号,52.5
金狮157号,52.45
光大同享二号,52.43
汇信-金百合1号,52.37
冰冷1期,52.27
安信紫星成长,51.55
聚益5号,51.52
朱雀13期,51.47
冰剑1号,51.4
巴沃成长一号,51.39
谦石1号,51.38
星石10期,51.36
勤远1号,51.35
银垒成长1号,51.27
惠正成长,45.38
金蕴80期(大明投..,51.13
融新254号展博3..,51.1
华夏未来领时对冲1..,51.07
睿朴2号,51
峻谷一号稳健成长,50.92
新方程聚享1期,50.8
银石6期,49.25
世通嫦娥奔月,50.76
太阳帆投资基金,50.76
沃佳1期证券,50.7
和聚8期,50.67
融新317号国理价..,50.65
世通5期,50.58
鑫扬一期,50.51
银帆6期,50.23
泰瓴-泰九2期,50.23
博颐精选,50.15
信复创值1号,50.08
谦石2号,50.02
宁聚满天星,50
融兴进取2号,49.88
和聚9期,49.6
优胜回报1期,47.25
西藏同信同心吉祥中..,49.39
