产品简称,当年收益%
华润信托昀沣4号集合资金信托计划,19.95
蓝海一号,180.9206
辰阳恒丰1号,105.9676
天玑财富4号,84.4
美好锦程2期,74.0863
上元1号,71.6704
金田龙盛,65.8968
潼骁成长精选三期,61.529
柯正正泓,56
华侨壹期8号,54.931
杜兹三号,54.6938
华侨壹期9号,53.1
鑫增长1号,51.8241
千波小盘1号,49.6526
卓汇财富3号,48.0454
富恒精选一号,47.1939
凡得幸福战略并购,46.9078
宁聚满天星,45.1575
证大久盈旗舰5号,43.3515
中垒一号,42.3842
私募学院菁英88号,42.3208
晟维价值,41.5
聚睿2号,41
世纪方略君鼎1号,39.7093
暖流叶山股票1号,39.5631
华银领先十六期,38.91
国投大盈一号,38.6139
金楠聚富1期,38.0732
嘉信六合策略,37.8966
高毅邻山1号远望,37.0044
青岛以太量化基金2号,35.9952
证大久盈旗舰102号,35.9562
隆昇一号,35.609
九旭1号,35.1595
龙腾汇金2号,34.33
中国梦二期,34.3254
福建至诚滚雪球一号,34.01
沃蓝一期,33.5994
新湖赋成量化11号,33.5
塔晶老虎1期,33.296
德汇投资精选择2期,33.1892
巴克夏月月利1号,33.1281
江阴睿信主题成长2期,32.6276
沪深300指数,32.6
启创一号,32.4629
格雷成长3号,32.15
达仁卓越2号,32.0073
江阴睿信主题成长1期,31.8627
凯纳500指数增强3号,31.8
英大安之衡15号,31.4825
波若精选3期,31.1274
钰融一期,30.9615
辰阳乾丰智当家十号,30.684
钜垣投资健康中国一号,30.2876
凯纳500指数增强2号,30.1
稳健增长,29.9739
圣盾成长1号,29.71
私募学院菁英35号,29.61
旭诺成长对冲3号,29.4
道亨成长1号,29.2
尚诚壹品瑞雪精选1号,28.7879
福建滚雪球千里马1号,28.6
天谋富龙1期,28.5808
潮金创投1号,28.5713
国贸映雪2号,28.5
福建滚雪球32号,28.4608
丰奘1号,27.9148
智博方略快乐人生1号,27.4811
塔晶价值成长1号,27.3619
祥和1号,27.2572
星壤1号,27.2
弘尚资产灵活配置,27.0203
福建滚雪球31号,26.9119
融鑫5号,26.8503
逸杉2期,25.993
瀚木资产瀚木一号,25.8776
九铭恒升,25.7472
伯洋六期,25.546
德汇成长2期,25.5097
证大稳健,25.5033
元上大科一号,25.2
龙腾汇金1号,25.0805
福建滚雪球33号,24.7822
三次方1期,24.3
睿洪一号,24.16
东方点赞,23.8889
金浪1号,23.6193
飞旋成长五期,23.5621
财富广誉远安宫清心,23.3403
量道开普勒1号,23.2604
证大久盈金衍1号,23.1166
钡镭慈航基金,22.9496
中信宏量2号,22.9329
通和富享一期,22.59
私募学院菁英139号,22.5768
逐流1号,22.49
春风,22.2168
赋成瑞翔量化10号,22.2
海中湾(中信)基金1号,22.0509
润樽沪港通,21.8458
华霖进取一号,21.7879
灿熙10号,21.5348
钜沣量化1号,21.3
添华1号,21.21
龙隐1号,21.1
千波1号,20.9551
盛冠达股票量化1号,20.9
柏瑞嘉源成长1号,20.7547
乾立亨趋势策略1号,20.5266
波若精选1期,20.4906
永升致远1期,20.2233
中国梦8期,19.9
盈阳十九号,19.8656
优扬1号,19.862
和聚基金潇湘1号,19.8007
金诚立达海中湾8号,19.7408
