产品简称,当年收益%
华润信托昀沣4号集合资金信托计划,12.12
蓝海一号,179.2941
鑫增长1号,73.9739
凡得幸福战略并购,72.9569
卓泰阳光举牌1号,53.6585
阳光举牌1号,52.2515
南方海慧一号,50.3157
三智天鸿二号,48.731
晟维价值,48.7
富恒精选一号,46.9388
上元1号,46.3127
金田龙盛,45.6094
沃蓝择时稳健,43.8878
聚睿2号,43
华侨壹期8号,40.1177
国投大盈一号,38.3168
千波小盘1号,37.963
潼骁成长精选三期,37.4182
私募学院菁英88号,35.1212
飞旋成长五期,34.8648
稳健增长,33.5723
世纪方略君鼎1号,33.5
易安菁英121号,33.259
卓汇财富3号,32.9039
金诚立达海中湾8号,31.5354
格雷成长3号,31.51
贤华一期,31.5
巴克夏月月利1号,31.4149
波若精选1期,31.3433
赋成瑞翔量化10号,31
福建至诚滚雪球一号,30.35
德蓝1号,30.0719
新湖赋成量化11号,29.4
英大安之衡15号,28.504
瀚木资产瀚木一号,28.4855
新阳壹号,28.24
艺蓝一期,28.0628
弘尚资产灵活配置,27.8406
旭诺成长对冲3号,27
中国梦二期,26.9841
海中湾(齐鲁)3号,26.6149
优扬1号,26.3781
九铭恒升,26.0811
国贸映雪2号,26
逸杉2期,25.5505
九旭1号,25.5261
锦泽一号,25.5193
佳友1号,25.3825
梦真一号,25.1549
和盈片叶,24.7
国盛祥隆1号,24.6154
道亨成长1号,24.6
赤子之心成长,24.1237
海中湾2号,24.0239
福建滚雪球千里马1号,24
宁聚满天星,23.8623
智博方略2期(续),23.5931
私募学院菁英35号,23.48
林园3期,23.4687
海中湾(中信)基金1号,23.3974
钰淞(精选一期),23.3817
珺墀价值投资甄选系列,23.3
兆顺一号,23.2026
睿洪一号,23.08
沃蓝一期,23.0646
默驰对冲1号,22.6331
林园2期,22.5848
汇创稳健1号,22.5513
磐石2期,22.5456
A,22.539
欣筠和一期,22.2892
七王瑞德2号,22.2222
领新佰顺资产1号,22.0903
潮金创投1号,21.6757
弘尚资产耕耘中国A,21.5888
默名融智阳光12期,21.416
尚谦1号,21.4
道林资产管理一号,21.4
乾图价值趋势1号,21.3486
盈阳十九号,21.2092
东方港湾价值投资2号,21.1792
光大兴富进取5期第1期,21.1053
赤子之心价值,20.952
东旺进取,20.7045
鹏华资产赤子之心价值1号,20.3108
鹤骑鹰奇异指数对冲,19.8381
赤子之心招商单一信托,19.6287
英卓量化期旺精选,19.4026
景石一期,19.3443
邦得2号,19.2
塔晶老虎1期,18.8864
江阴睿信主题成长1期,18.7995
量道开普勒1号,18.5885
灿熙10号,18.5215
林园,18.4829
青骓西格玛套利一期,18.3972
钜垣投资健康中国一号,18.3385
金中和西鼎,18.3127
华侨壹期9号,18
奥杉天壹基石1号,17.9428
浅湖2号,17.8772
东达价值增长一期,17.8343
江阴睿信主题成长2期,17.5328
格雷一期,17.5186
启创一号,17.5175
价值方程1号,17.2
福建滚雪球32号,17.1346
金沙海枫,17.1
宝润达价值成长壹号,17
私募学院菁英139号,16.8651
默名十一期,16.8644
志开慧泉,16.75
永升致远1期,16.3772
添华1号,16.33
圣盾成长1号,16.3
福建滚雪球31号,16.2633
福建滚雪球33号,16.2633
东方点赞,16.2346
德汇成长2期,16.1269
融鑫5号,15.978
牛行一号,15.879
钜沣量化1号,15.8
格雷二期,15.7906
大鹏湾财富三期,15.7609
同威3期,15.6753
鲸象稳健1号,15.6096
三次方1期,15.6
智博方略快乐人生1号,15.5416
楠溪一期,15.5128
谊恒多品种进取1号,15.4
伯洋六期,15.3242
财富广誉远安宫清心,15.2627
金海10号,15.2506
德高1号,15.046
民创8号,14.972
