产品简称,当年收益%
华润信托昀沣4号集合资金信托计划,13.94
蓝海一号,191.609
天玑财富4号,74.4
长江资管瀚丰1号,72.4648
鑫增长1号,71.0423
三智天鸿二号,62.8426
国投大盈一号,39.505
金田龙盛,38.446
景石二期,38.2189
华侨壹期8号,33.8271
晟维价值,33.56
金诚立达海中湾8号,33.5572
易安菁英121号,32.91
富恒精选一号,32.5
默驰对冲1号,32.4529
千波小盘1号,32.4
鹤骑鹰奇异指数对冲,32.1273
格雷成长3号,31.46
聚睿2号,31
稳健增长,30.8973
沃蓝择时稳健,30.5611
潼骁成长精选三期,30.1053
贤华一期,30
私募学院菁英88号,29.9639
艺蓝一期,29.4129
九铭恒升,27.8616
瀚木资产瀚木一号,27.5827
润樽沪港通基金,27.3364
海中湾2号,27.2745
海中湾(齐鲁)3号,27.1328
弘尚资产灵活配置,26.8912
赤子之心成长,26.5003
中国梦二期,26.3889
中信专享赤子之心成长7号,26.3267
中信专享赤子之心成长8号,26.2861
中信专享赤子之心成长3号,26.2816
中信专享赤子之心成长6号,26.2272
中信专享赤子之心成长4号,26.0496
中信专享赤子之心成长2号,25.9689
中信专享赤子之心成长5号,25.9545
中信专享赤子之心成长1号,25.9544
巴克夏月月利1号,25.8984
旭诺成长对冲3号,25.7
道亨成长1号,24.3
赤子之心价值,24.1301
钰淞(精选一期),23.7019
逸杉2期,23.5797
招商汇智之赤子之心1期,23.5418
招商汇智之赤子之心2期,23.5053
鹏华资产赤子之心价值1号,23.4184
林园3期,23.3786
优扬1号,23.2058
锦泽一号,23.1454
塔晶老虎1期,23.0274
赤子之心单一信托,22.9502
赤子之心招商单一信托,22.7771
领新佰顺资产1号,22.6841
佳友1号,22.6035
兆顺一号,22.549
九旭1号,22.4033
睿洪一号,21.88
七王瑞德2号,21.3675
英卓量化期旺精选,21.1405
林园2期,21.0141
杜兹三号,21
光大兴富进取5期第1期,20.9852
海中湾(中信)基金1号,20.8033
三次方1期,20.8
潮金创投1号,20.4766
A,20.3666
默名融智阳光12期,20.0865
云信私募工场金舆财富之车1号,19.8911
乾图价值趋势1号,19.8398
赋成瑞翔量化10号,19.7
波若精选1期,19.403
广盈2号2期赤子之心价值投资,19.1041
邦得2号,18.9
达仁卓越2号,18.8386
珺墀价值投资甄选系列,18.6
步步赢量化,18.4919
亿群大富翁2号,18.4848
和盈片叶,18.1
浅湖1号,18.0234
盛运德诚趋势2号,17.8439
新阳壹号,17.79
盈阳十九号,17.7543
鑫领慧1号,17.6953
国盛祥隆1号,17.6923
圣盾成长1号,17.62
智博方略2期(续),17.613
灿熙10号,17.5171
格雷一期,17.4913
查理投资私募学院菁英35号,17.42
高梧1号,17.305
金域量化5期,17.1792
金域量化2期,17.1723
昭时六期,17.0949
价值方程1号,16.7
汇创稳健1号,16.6883
浅湖2号,16.6767
林园,16.6414
金中和西鼎,16.5577
永升致远1期,16.5012
默名十一期,16.4033
天谋富龙1期,16.4
金海10号,16.3381
亿群大富翁1号,16.2887
东方港湾价值投资2号,16.2056
映雪松柏2号,15.984
格雷二期,15.7835
逸杉1期,15.7796
大鹏湾财富三期,15.7609
尚谦1号,15.6
欣筠和一期,15.3614
磐石成长投资1号,15.2452
鼎润1期,15.2108
福建滚雪球千里马1号,15.1
华鑫鑫财富智享3号,15.0938
天启谷羊,15.0656
金域量化1期,14.7721
景石一期,14.7541
渤海分级汇鑫6号,14.7381
金浪1号,14.6886
温瑞福1号,14.5937
天风源泽添1号,14.503
天风源泽添2号,14.4831
天风源泽添4号,14.4732
天风证赢1号,14.4647
天风证赢2号,14.4448
金沙海枫,14.4
添华1号,14.4
中国梦8期,14.4
天风源泽添3号,14.3837
天风源泽添5号,14.3539
菁英7号,14.1157
恒赢稳健1号,13.8889
志开慧泉,13.88
致远一号,13.7688
同望1期1号,13.7412
江阴睿信主题成长1期,13.7374
沃蓝一期,13.7271
宇迪钱王山1号,13.7072
盛冠达股票量化1号,13.7
龙隐1号,13.6
华侨壹期9号,13.6
福建滚雪球11号倍增,13.5933
海中湾腾实,13.5375
瑞林集合,13.4657
等风来幸福,13.455
昭时九期,13.3964
置富1号,13.31
青骓西格玛套利一期,13.256
东方点赞,13.2099
宽投量化一号,13.1226
梦真一号,13.0652
红角一号,13.0389
量道开普勒1号,12.9225
无量1期,12.9
常州本正博赢系列1期,12.8987
伯洋六期,12.8924
东方老虎汇1号,12.8347
思源1期,12.7127
价值成长壹号,12.7
东达价值增长一期,12.6248
炉石核心价值,12.5809
盛运德诚趋势1号,12.4699
私募学院菁英139号,12.3337
世纪方略君鼎1号,12.27
伯洋三期,12.2535
江阴睿信主题成长2期,12.2453
胜达成长2期,12.1964
灿熙8号,12.0986
玉牛一号,12.049
胡杨A股消费3号,11.9838
信达量睿恒量化绝对收益1号,11.939
伯洋一期,11.9272
鼎熙稳健成长1号,11.9048
长流汇开元1期,11.8856
牛行一号,11.7658
泽元朴厚专享1号,11.7098
海中湾开泰6号,11.7024
华尔进取3号,11.7
宁聚满天星,11.6103
宁波海顺1号,11.541
钜垣投资健康中国一号,11.5253
德汇成长2期,11.4402
港股价值精选一号,11.4
荣辉7期,11.38
胡杨A股消费7号,11.3734
乾元泰和复利3号,11.3375
汉和1期,11.3275
九旭2号,11.3027
恒龙01号,11.2383
道亨成长2号,11.1992
倍霖山绝对回报1号,11.1881
金域量化3期,11.1326
淡水泉专项基金2期,10.9132
元上大科一号,10.9
德高1号,10.7922
菁英时代优选5号,10.7531
汉和恒聚,10.6517
稳健增长混合,10.6059
光大兴富进取3期第1期,10.5956
天利进取1号,10.5703
长金银信宝6期,10.4971
春风,10.4467
智博方略快乐人生1号,10.4408
见同一号,10.4
道林资产管理一号,10.4
来兴3号,10.3
谊恒多品种进取1号,10.3
双宇华耀创富1期,10.2457
爱医1号(长安投资359号),10.1073
龙全进取1期,10.1
承源9号,10.0924
承源09号,10.0924
灿熙5号,10
凯顺星成长,9.9
资瑞兴一号,9.9
易得资本1号,9.8434
雪杉飞狐一号,9.7514
睿源1号,9.6968
勤远1号,9.6747
未来汸呈红利士8号,9.5023
歌斐诺宝精英组合管理4号子基金,9.4992
昭图2期,9.4961
天弓2号,9.4669
胡杨A股消费,9.4315
长流汇开元2期,9.4183
天信万霁1期,9.4
浊清价值二号,9.338
智信创富博元2期,9.3377
财富11号,9.3
海燕全天候回报3期基金,9.2804
宝丰一号,9.2359
荣辉1号,9.1847
五矿鑫扬智选一号,9.1818
景林创新成长,9.13
大概率资管1号,9.1204
乐山1号,9.1
乾图1号(瑞林管理1号),9.0656
盛运德诚趋势5号,9.064
君范跨境套利1号,9.0454
前瞻8号,9.0395
毅扬2期,8.9907
龙萨精品一号,8.9857
新思哲成长基金,8.9814
同威3期,8.976
墨威1号,8.91
星壤1号,8.9
彼林乃尔主题精选1期,8.8578
A,8.8381
融容1号,8.8158
融鑫5号,8.7511
福建滚雪球32号,8.7125
天创水电主题,8.7
观富策略1号,8.6
感恩在线成长,8.5993
阳光宝2号,8.5689
十万起家投资基金1号,8.5292
中信宏量2号,8.5151
枫景,8.5078
瀚投华睿千和1号,8.4961
灵均择时对冲1号,8.395
鼎萨2期,8.3487
福建滚雪球31号,8.3253
福建滚雪球33号,8.3253
仓红1号灵活进取,8.3209
谦璞多策略进取一号,8.3
顺鑫置业1号,8.2874
景富二期,8.273
财富广誉远安宫清心,8.2688
惠嘉稳健成长,8.2269
天弓3号,8.1728
明汯稳健增长1期,8.1698
乾立亨趋势策略1号,8.1371
清和泉金牛山4期,8.1
华尔进取2号,8.0882
海燕全天候回报2期基金,8.0875
祥运和1号,8.0632
世钰5期,8.0404
华侨智盈,8.011
金太阳高毅国鹭1号崇远,7.9941
楠溪一期,7.9548
私募学院菁英23号,7.9472
博致一期,7.8818
远望角投资1期,7.8725
颢瀚稳健一期,7.8668
盛鸿精选,7.8089
开拓者量化趋势对冲1号,7.7389
京福1号,7.701
恒昌致知一号,7.6389
九霄稳健成长二号,7.5137
合正普惠私募1号,7.5
普邦恒升(华金1期),7.4312
万利富达德盛1期,7.4307
富润2期,7.41
金新东方红1号,7.3892
小鳄1号,7.3194
中联投资明星1期,7.31
伯洋五期,7.3
昭图3期,7.2889
阳光宝1号,7.2154
海顺交易宝一号,7.2
中域稳健涵和1期,7.1822
奕金安2期,7.1635
海燕四季收益1期,7.1146
神农医药A,7.1
韬选优胜稳健1期,7.085
财富(绿宝石)二期,6.9725
诺亚高毅国鹭1号尚远14号,6.9353
诺亚高毅国鹭1号尚远15号,6.9353
诺亚高毅国鹭1号尚远12号,6.9258
诺亚高毅国鹭1号尚远13号,6.9258
诺亚高毅国鹭1号尚远20号,6.9076
大概率资管2号,6.8953
泓澄投资,6.6613
创迈成长一期,6.6579
永发投资稳健进取2期,6.5476
橡谷成长一号,6.532
灿熙2号,6.5
上海润岸牵牛花,6.5
尚诚壹品瑞雪精选1号,6.4646
龙腾汇金2号,6.46
1,6.454
思悦1号,6.4256
益和源1号,6.4
神农春秋,6.3332
创新财富五期,6.3265
拾年3号,6.2606
领新佰顺资产2号,6.237
亘盈稳健,6.1935
九源长和1号,6.1047
中汇金凯4期,6.0764
汇信华安1号,6.0606
君洽精选二期,6.0302
相聚芒格一期,6.0302
远望角容远1号,6
汇创启航1号,5.9804
工银量化恒盛精选D类17期,5.9063
鹰傲绝对价值,5.8879
颢瀚稳健三期,5.8877
同瑞汇金1期,5.8587
标的1号,5.8286
浦来德天天开心对冲1号,5.8055
炳富2号,5.8012
弗睿得1号,5.7734
牛金价值,5.7303
融儒稳健一号,5.7023
颢瀚稳健二期,5.6818
卓晔2号,5.6566
乾图投资产业价值1号,5.6269
万利富达,5.6214
衍和市场机会精选,5.6043
新思哲1期,5.5572
卓泰2号基金,5.5195
鸿逸泰瑞一号,5.5084
通和进取2号,5.4702
安盈打新1号,5.3961
长江证券昆仑8号,5.3779
东北证券融智2号,5.3637
灿熙1号,5.3364
天生桥A股投资基金二期,5.3285
金狮152号,5.3192
知几投资灵活配置3期,5.3191
逸昇源1号,5.29
映雪百丈冰1号,5.2726
林氏价值,5.1993
仙湖一号,5.1937
宇迪乾睿稳增长1号,5.1783
伯洋九期,5.09
京福2号,5.0835
景林1号,5.057
钰融一期,5
融商精选动力七号,4.9946
科技创新量化精选基金1期,4.9837
金楠聚富1期,4.9146
睿鉝量化对冲1期,4.9017
红象专户1号,4.9
永隆量化趋势,4.8991
太和先机长城卓越1号,4.8864
鸿然2号,4.8755
年年红2期,4.8158
弘尚投资,4.7413
弘尚资产成长精选,4.7413
鑫鼎盛鑫源1期零叁号,4.7347
银帆7期,4.7175
雷根5号,4.7155
泉上圣斗士,4.7051
诚朴息壤一号,4.7
阿尔法工场发现者1号汉唐,4.7
博润价值成长,4.6452
联峰鼎汇2期,4.6448
雪球2期,4.6191
世纪汇金量化一期,4.6033
富邦金马1期,4.579
神农1期,4.5523
瀚信财富1号,4.5458
丰奘1号,4.524
悟空绿城对冲量化一期,4.5207
私募工场睿磊稳健,4.5092
私募学院菁英43号,4.4954
万丰友方贯富创赢1号B,4.4948
柘弓1期,4.4825
数融量化1号,4.4634
乾信中国影响力,4.4462
智裕新隆2号,4.4444
彬耕一期,4.4309
东方平昇创富一号,4.4223
大通道财道1号,4.4195
析方港股1号,4.4105
明河价值一期,4.3665
悟空量化对冲6期,4.3517
金海9号,4.3502
钱王乾睿量化1号,4.34
七禾新煌昱合作发展,4.3004
证大金马量化1号,4.2989
银帆2期,4.2589
私募学院菁英55号,4.2526
迈隆1号,4.2457
理成专户4号,4.2439
锐进43期高毅晓峰,4.2131
勤晟泓熹价值,4.2
资本运作1期,4.1625
泰盈证券投资基金,4.1574
