产品简称,当年收益%
天成壹号,112.1645
成泉尊享一期,101.2453
成泉汇涌一期,93.4483
湘军彭大帅6号,90.7914
鼎晟投资1号,84.1266
否极泰,83.725
大禾投资掘金5号,78.9524
大禾投资掘金1号,73.8519
雨山寻牛1号,71.5447
红林菁英212号,71.3678
君行5号,70.8504
喜马拉雅基金,70.3851
匀丰量化进取,68.2869
天谷价值精选一号,67.0774
璟恒五期,66.5447
新湖祎海恒航一期,64.7805
希瓦小牛3号,64.7748
成泉汇涌二期,61.4734
冬拓三号,61.2
高合稳进2号,61.1061
涌津涌赢8号,59.8823
成泉风险缓冲1期,59.4278
予曦一号,59.1
私募工场天猊2号,59.0611
涌津涌鑫6号,58.979
涌津涌赢2号,58.3811
长江基金,58.1958
涌津涌鑫3号,57.337
中汇金凯8期,57.1049
成泉2期,56.8704
证研宝,56.6548
证研稳健一号,56.5982
长金4号,56.5489
嘉禾一号,56.2324
盈阳二十二号,55.7344
嘉禾二号,55.7331
希瓦小牛5号,55.4099
嘉禾三号,55.3052
涌津涌鑫4号,55.2028
希瓦小牛1号,55.0517
景燊品质1期,54.729
卓铸卓越1号,54.554
优波基金,52.9116
紫金港6号灵活策略,51.7588
证研3号,51.7454
天迪平稳增长2号,51.08
成泉风险缓冲3期,50.7449
天谷至诚1号,49.76
丰源正鑫正鑫一号,49.4207
诚朴息壤一号,48.9938
天迪平稳增长3号,48.08
锐进29号景林多元策略,47.9783
大满贯,47.1146
相生3号,46.841
东方鼎泰2期,46.6149
中金银海凤凰一号,45.8883
天谷至诚2号,45.84
蓝海战略一号,45.8139
美港基金,45.6332
陨石掘金一号,45.3735
红亨稳赢一期,45.3359
止于至善,45.161
天谷深度价值一号,45.0317
高信百诺1期,44.6943
滚雪球四方稳盈1号,44.5317
私募工场亚洲价值长线回报,44.3769
奕歌元晟,44.2557
昱晟一号,44.0068
中科智1号,43.5443
长金9号,43.5263
私募学院菁英135号,43.5132
长河畅达稳健1号,43.4742
卓林草原狼一号,43.1082
少数派102号,42.8415
相生五号,42.7579
鹏山长期回报1号,42.6977
果实长期成长1号,42.5538
共泰投资1号,42.51
温瑞福4号,42.2846
涌津涌赢1号,42.2276
景林优选2号,42.2198
长金7号,41.9156
涌津涌赢6号,41.7814
涌津涌鑫5号,41.7778
天宝稳健二号,41.5707
涌津涌赢4号,41.4614
涌津博学稳健,41.4365
涌津涌赢7号,41.3934
中金银海稳健增长,41.27
涌津博学稳进,41.0418
藏宝图永州1号,40.8289
滚雪球1号基金,40.6743
进化论复合策略一号,40.4933
感叹号管理型6期,40.4567
刺猬1号,40.2122
宝银创赢28号,40.0486
滚雪球2号,40.0209
长金2号,39.8712
万象汇富八号,39.6735
腾龙一号,39.6725
紫金港7号灵活策略,39.5442
少数派26号,39.0698
滚雪球3号,39.042
证研五期,38.5136
利得汉景1期,38.4495
景林稳健,38.3976
景林精选2号,38.34
荷花一号,37.567
斯同1号,37.553
马拉松全球,37.3092
凤翔长盈,37.3022
长金银信宝2期,36.9772
同犇尊享1号,36.9338
太极1号基金,36.8121
久铭3号,36.6154
乾和资产纵横二号,36.52
紫金港8号,36.4734
金钥匙东方港湾港股通2号,36.3858
万顺通二号,36.2124
证研六期,36.1868
奕金安一期,36.1438
财掌柜种子基金一号,36.1185
今港优选,36.1051
睿洪一号,36.0664
东方港湾创业成长,36.0129
万顺通一号,35.8864
长江汉景港湾1号,35.8625
卓凯二号,35.8096
悟源盈泉二号,35.73
东方新经济先锋1号,35.6948
东方先进制造优选,35.6303
金钥匙东方港湾港股通1号,35.6201
同犇尊享2号,35.2794
融通汉景港湾1号,35.242
源乐晟3期(富锦21号),35.1236
东方消费服务优选,35.0847
优波喜马拉雅2号,35.0499
玖巴一号,35.0249
富承高息基金1号,34.9832
成恩五号,34.9481
华策1号,34.9099
东方鼎泰三期,34.8663
林氏价值,34.8653
高毅利伟精选唯实,34.8502
金蕴16期,34.7698
海通拓商一号,34.6723
招商汇智之凤翔1号,34.341
同犇智慧1号,34.3026
仁灏开元,34.2957
潮金丰1号,34.1657
长金银信宝6期,34.147
璟恒一期,34.1454
镛泉资产和鑫1号,34.0426
金广鑫1号,33.9833
泽元元利,33.9514
东方医疗健康优选,33.9138
蓝筹1期,33.906
川行主观1号,33.9002
晓峰1号睿远,33.8108
高信百诺价值成长,33.7425
汉景港湾3号,33.5979
宝银创赢摇钱树股指自动化策略基金23号,33.5752
金连接滚雪球12号,33.4127
成恩三号,33.3946
源和稳健成长1号,33.3871
今港成长1号,33.2137
巴克夏月月利1号,33.1788
汉景港湾4号,33.0405
私募工场静远轩,33.0123
奕金安2期,32.9286
蓝筹2期,32.8972
嘉恳天启1号,32.848
厚德致远价值(一期),32.7938
源乐晟双诚二号,32.6325
宝赢1号基金,32.6263
盈冠东方汉景1号,32.6165
汉景港湾2号,32.5868
91金融东方港湾价值1号,32.5752
源乐晟2期,32.5718
上元3号,32.4675
滚雪球价值精选,32.439
坚实1号,32.3589
楹栖星火1号,32.3436
东方港湾03号,32.3346
东方港湾1期,32.2441
炜博领航,32.1653
执耳医药,32.1434
源乐晟10期,32.1024
君行6号,32
大鹏湾财富三期,31.985
武汉长江精选一期,31.9493
融裕9号奕金安3期,31.8477
同犇财通5期,31.7208
复仇者联盟,31.7
千帆二期,31.6854
源乐晟11期,31.6745
同犇2期,31.6708
源乐晟4期,31.537
红奶酪,31.5271
辰景港湾1号,31.5113
凯顺2012,31.4738
德胜量化对冲,31.4732
同犇6期,31.4643
龙成1号,31.4533
潮金丰2号,31.4392
浙商汉景港湾1号,31.4373
英创本安1号,31.4057
乐晟股票精选,31.3762
鸿夫一号,31.1985
凤翔绝对收益,31.1765
榕树文明复兴三期,31.0992
仟实一号,31.0385
东方港湾2号,30.9521
上元1号,30.9146
涌津涌赢3号,30.9028
高傅汉景港湾1号,30.8998
久铭2号,30.8863
长牛分析1号,30.7769
景林全球基金,30.7141
和盛丰悦1号,30.7042
广汇缘3号,30.6959
睿华一号,30.6468
泽元元泰,30.5521
拓商1号,30.4804
东方鼎泰1期,30.4415
同犇1期,30.3746
源乐晟6期,30.1603
广发银来汉景港湾1号,30.137
宽远沪港深精选,30.1183
少数派29号,30.0589
隆昇一号,29.9502
景林全球专享子1号,29.8177
宽远价值成长二期,29.8109
永乐财富,29.7521
利檀3期,29.7248
榕树陈氏,29.5795
源乐晟7期,29.5559
昆仑1号,29.5003
福建滚雪球融晨1号,29.3919
滚雪球西湖2号,29.2135
源乐晟5期,29.2058
龟圣价值一号,28.9979
星探投资1号,28.9209
宝银创赢转债杠杆22号,28.9158
阿甘1号,28.8415
诺亚专享1号,28.8396
实力稳进,28.7981
榕树一期,28.7575
福建滚雪球千里马1号,28.6159
少数派105号,28.5
润樽沪港通,28.4756
汉和资本3期,28.4708
征和瑞森价值,28.3963
岁寒知松柏1号,28.3865
福建滚雪球9号,28.2906
至璞新以恒,28.2776
滚雪球价值精选01号,28.2563
鹏华源乐晟1期,28.2019
价值3期,28.0769
