产品简称,当年收益%
思源1期,423.06
倚天雅莉3号,333.9
洪昌价值成长二号,278.35
泽泉景渤财富,251.5
卓泰2号基金,240.85
兆意1期,213.34
永隆精选投资基金,206.72
中航兴航3号,201.38
稳健增长,195.17
毕咸01期,185.71
倚天2号,184.87
天启螣蛇,172.38
清皓1期(小雅1号),166.62
和聚鼎宝2期,165.88
旭诺成长择时对冲一号,164.15
国泰君安君享展博一号,155.85
证大稳健,155.82
金陀罗飞龙1号,155.71
穗富1号,155.68
融新293号(金河新价值..,152.06
仙童1期(海南成长二期),150.27
私募领导者第1期(磐耀..,146.99
永望复利成长1号,142.4
展博恒享1期,140.9
得大一期,137.9
景富趋势成长一期,136.99
泽泉盛辉,135.99
共盈大岩量化进取,135.61
浙商金惠3号,132.08
源乐晟8期,128.48
中山宝睿精选,127.72
富腾成长三期,127.27
睿翔1号第一期,122.49
太平洋红珊瑚3号,120.75
和聚鼎宝1期,120.36
理成风景2号,120.28
泽泉涨停板1号,116.53
胡杨A股消费,114.13
源乐晟9期,113.75
得利宝至尊九号,113.69
朴道02期,112.56
洪昌价值成长一号,112.56
宝耀1期(宝鸿财富),110.3
清水源1号,109.91
力量一号,109.18
和熙混合型1号,108.74
源乐晟策略创新1期,107.98
广发聚盛私募工场(知..,107.24
摩通5号(长安投资297号),106.07
映雪霜雪2期,105.97
巨杉净值线1号,105.89
京福1号,102.88
汇盈一期,102.88
金蕴21期(泓璞1号),101.95
基金会-弘尚资产,101.79
菁英时代成长3号,101.66
钜融金鳞1号,101.46
博道精选5期,100.69
红筹转型成长,100.54
大君智萌2期,100.37
思源赛富1号,100.24
映雪霜雪1期,99.22
丰大一号,98.7
宁聚满天星,97.92
旗隆达尔文科技对冲一期,97.34
齐鲁星汉1号,96.64
神州牧1号,95.37
理成转子3号,95.11
尚诚,94.84
正弘1号,94.73
新思哲1期,94.52
国泰君安君享博道精选..,94.49
大朴进取1期,93.85
中山盛翔2号,92.92
巨杉净值线7号,92.84
A基金,92.82
航长常春藤,92.76
双盈二号,91.93
菁英时代价值成长1号,91.56
巨杉净值线3号,91.3
铜爵之强国重器2号,90.55
理成专户4号,89.41
金蕴62期(七王瑞德一号),89.36
融智新锐10期(泽泉投资),89.22
君盈成长,89
京福2号,88.38
展博5期,87.9
和聚稳赢1号,87.71
齐熙社会回报,87.68
展博专注D期,87.56
展博专注A期,87.54
展博专注C期,87.53
展博专注B期,87.51
源乐晟11期,87.2
乐晟精选,87.1
金蕴56期,86.74
源乐晟6期,86.66
中金蓝海中华成长品牌,86.59
嘉谟动量,86.41
朱雀18期,85.06
