产品简称,当年收益%
华润信托昀沣4号集合资金信托计划,16.76
蓝海一号,188.5884
国创基金,156.7568
辰阳恒丰1号,102.387
上元1号,100.4918
联讯证券惠富1号,86.8872
天玑财富4号,85.9
凡得幸福战略并购,81.6785
金田龙盛,71.4848
华侨壹期8号,69.7443
鑫增长1号,67.0033
潼骁成长精选三期,66.243
杜兹三号,65.9303
塔晶价值成长1号,54.3968
千波小盘1号,53.6348
富恒精选一号,53.4694
华侨壹期9号,52.7
国投大盈一号,51.8812
私募学院菁英88号,50.7272
证大久盈金衍1号,50.258
证大久盈旗舰5号,49.5446
聚睿2号,49
晟维价值,48.1
天谋富龙1期,47.4584
英卓量化期旺精选,46.5241
卓汇财富3号,44.5251
福建至诚滚雪球一号,44.08
巴克夏月月利1号,43.7513
宁聚满天星,43.1739
贤华一期,43.1
暖流叶山股票1号,40.9355
沪深300指数,40.7
福建滚雪球千里马1号,39.8
华银领先十六期,38.92
汇创稳健1号,38.4992
隆昇一号,38.3624
九坤量化混合私募1号,38.0195
金浪1号,37.8378
中国梦二期,37.7976
钰淞(精选一期),37.7689
世纪方略君鼎1号,37.5791
圣盾成长1号,36.65
乾图价值趋势1号,36.5687
福建滚雪球32号,36.2052
菁英时代优选5号,34.6136
双头鹰伍号,34.3142
福建滚雪球31号,34.2691
金诚立达海中湾8号,33.8942
德汇投资精选择2期,33.6216
稳健增长,33.0753
新湖赋成量化11号,33
九旭1号,32.8964
福建滚雪球33号,32.7202
格雷成长3号,32.03
元上大科一号,31.9
英大安之衡15号,31.4825
君范跨境套利1号,31.4115
辰阳乾丰智当家十号,31.243
江阴睿信主题成长2期,30.764
旭诺成长对冲3号,30.7
江阴睿信主题成长1期,30.4747
祥和1号,30.445
道亨成长1号,30.4
国贸映雪2号,30.4
钰融一期,29.8077
海中湾(齐鲁)3号,29.7439
九铭恒升,29.4195
福德天佑一号,29.3383
融鑫5号,29.3021
华霖进取一号,29.1671
逸杉2期,29.1101
星壤1号,28.9
潮金创投1号,28.4936
盘古2号,28.1917
鲸象稳健1号,28.1335
睿洪一号,28.05
海中湾(中信)基金1号,28.0494
伯洋六期,27.7873
春风,27.6949
瀚木资产瀚木一号,27.5827
金楠聚富1期,27.4878
智博方略快乐人生1号,27.3678
私募学院菁英35号,27.33
第二基金中国300指数基金,27.2361
启创一号,27.2272
赋成瑞翔量化10号,27.2
量道开普勒1号,27.0378
永升致远1期,26.6749
沃蓝一期,26.3368
东方点赞,26.2346
智博方略2期(续),25.9415
艺蓝一期,25.4125
弘尚资产灵活配置,25.1024
兆顺一号,24.9673
长金11号,24.9618
中信宏量2号,24.9595
珺墀价值甄选,24.9
龙兴662号,24.86
宝润达价值成长壹号,24.8469
千波1号,24.804
德汇成长2期,24.7163
塔晶老虎1期,24.6223
润樽沪港通,24.5327
盛冠达股票量化1号,24.5
财富广誉远安宫清心,24.1872
景石二期,24.1187
优扬1号,23.9774
盈阳十九号,23.8964
明汯稳健增长1期,23.8704
私募学院菁英139号,23.7471
金中和西鼎,23.5487
添华1号,23.29
证大金马量化1号,23.179
赢家1号,22.9782
红角一号,22.8932
长金银信宝2期,22.7757
邦得2号,22.7
尚诚壹品瑞雪精选1号,22.6263
佳友1号,22.5698
映雪百丈冰1号,22.4307
神州牧1号,22.3587
长金银信宝6期,22.3213
浅湖达尔文2号,22.0488
斯同1号,21.8607
光大兴富进取5期第1期,21.7701
新阳壹号,21.71
同威3期,21.6832
元达信财富尊享1期,21.6745
谊恒多品种进取1号,21.6
东方港湾价值投资2号,21.5729
灿熙10号,21.5348
逸杉1期,21.4243
长金7号,21.3195
平安价值投资一期,21.0796
惠理价值一期,21.0796
乾图投资产业价值1号,21.0267
泽元朴厚专享1号,20.9326
达仁卓越2号,20.7801
长金2号,20.6691
乾图1号(瑞林管理1号),20.634
志开慧泉,20.54
恒昌致知一号,20.5357
瀚投华睿千和1号,20.5078
无量1期,20.5
龙隐1号,20.4
圆信永丰优加生活,20.3883
稳健增长混合,20.0586
泰盈基金,20.0448
乾立亨趋势策略1号,19.9901
卓泰2号基金,19.6576
瀚信猎鹰1号,19.6236
君翼量化2号,19.6184
林园3期,19.5463
精益1号,19.4539
钜垣投资健康中国一号,19.3866
龙腾汇金1号,19.2914
温瑞福1号,19.2247
中讯证券滚雪球一号,19.1766
宁波海顺1号,18.946
龙腾汇金2号,18.9
咏春2号,18.8624
泽泉信德,18.6839
恒信盈创成长五期,18.6131
鼎润1期,18.4219
益和源1号,18.3
思考2号,18.2
林园2期,18.076
默名融智阳光12期,18.0522
大鹏湾财富三期,17.9348
博致一期,17.931
林园,17.8723
格雷一期,17.7992
精选二期(长金8号Ⅰ期)A类,17.7444
浊清价值二号,17.6804
私募学院菁英152号,17.66
瀚信猎鹰2号,17.6086
尚谦1号,17.6
嘉裕二号,17.5391
亘盈稳健,17.5373
玖月天玺1号,17.4129
乾元激荡岁月对冲一号,17.3529
林氏价值,17.2444
淡水泉专项基金2期,17.206
众禄A股新股10号,17.1797
菁英7号,17.0211
逐流1号,16.98
证大久盈旗舰3号,16.8663
天风稳胜2号,16.8325
天风证券稳胜1号,16.8325
天风领军趋势1号,16.7628
天风稳胜5号,16.7529
金新东方红1号,16.7488
天风领军趋势2号,16.733
鸿凯天天1号,16.6432
天风稳胜4号,16.6236
金沙海枫,16.6
钜沣量化1号,16.6
晋采资产管理计划,16.5829
天风稳胜3号,16.5639
盘古1号,16.425
德正盈丰2号,16.4199
昀沣,16.399
价值方程1号,16.3
德汇成长1期,16.2437
荣辉7期,16.12
鹰傲绝对价值,16.0494
北极星1号,16
格雷二期,15.9972
偏锋1期,15.9723
同威增值3期,15.9448
海中湾开泰6号,15.8178
昭图3期,15.7943
景林创新成长,15.7895
东达价值增长一期,15.7685
道亨成长2号,15.7318
长流汇开元1期,15.7283
伯洋五期,15.7272
华尔进取3号,15.7
华侨壹期6号,15.5136
昭图2期,15.4338
思源1期,15.4154
富利达二期,15.4
泉上圣斗士,15.338
锦鑫多策略量化套利1号,15.1103
凯顺星成长,15.1
乐山1号,15.1
