产品简称,当年收益%
成泉尊享一期,98.0829
成泉汇涌一期,89.569
喜马拉雅基金,77.9824
卓汇财富3号,77.0762
海西晟乾3号,74.5825
鼎晟投资1号,70.3949
天成壹号,67.165
匀丰量化进取,67.0541
长江基金,65.0413
雨山寻牛1号,65.0407
大满贯,63.652
璟恒五期,59.4645
成泉风险缓冲1期,58.5197
成泉汇涌二期,57.5313
成泉2期,55.564
否极泰,54.1232
君行5号,53.9822
盈阳二十二号,53.6217
成泉尊享五期,51.7801
优波基金,48.7734
证研宝,48.4751
景燊品质1期,47.0776
中汇金凯8期,46.6751
大禾投资掘金5号,46.6667
希瓦小牛3号,46.4827
丰源正鑫正鑫一号,45.0333
高合稳进2号,44.3615
予曦一号,43.7
卓林草原狼一号,43.3858
大禾投资掘金1号,42.6429
中金银海凤凰一号,42.5345
希瓦小牛1号,42.3077
长河畅达稳健1号,41.5547
美港基金,41.1406
涌津涌赢8号,41.127
天宝稳健二号,40.9424
证研稳健一号,40.7646
永乐财富,40.4959
涌津涌鑫6号,39.9271
鸿夫一号,39.7072
悟空对冲量化五期,39.3881
荷花一号,39.1839
证研3号,39.1684
卓铸卓越1号,39.155
涌津涌赢2号,39.1491
中金银海稳健增长,39.0359
涌津涌鑫3号,38.8587
新湖祎海恒航一期,38.8293
希瓦小牛5号,38.5608
奕歌元晟,37.962
感叹号管理型6期,37.8693
涌津涌鑫4号,37.7425
东方鼎泰2期,37.7358
锐进29号景林多元策略,36.9773
长金4号,36.4607
优波喜马拉雅2号,36.4271
天谷价值精选一号,36.414
紫金港6号灵活策略,36.3065
嘉恳天启1号,36.3025
相生3号,36.1656
华银精选五期,35.7923
私募学院菁英135号,35.5454
天迪平稳增长2号,35.54
进化论复合策略一号,34.6153
久铭3号,32.9068
天迪平稳增长3号,32.66
景林优选2号,31.6703
德胜量化对冲,31.667
止于至善,31.5751
浙商汉景港湾1号,30.9998
利得汉景1期,30.5719
天谷至诚1号,30.36
今港优选,30.2861
藏宝图永州1号,30.2595
谷中,30.1518
赤子之心招商单一信托,30.0559
景林稳健,29.9452
景林精选2号,29.89
东方新经济先锋1号,29.8819
久铭稳利2号,29.8046
果实长期成长1号,29.6917
温瑞福4号,29.4906
太极1号基金,29.222
高信百诺1期,29.152
天谷深度价值一号,29.0893
同路成长三号,29.0631
鹏山长期回报1号,28.9302
仟实一号,28.8462
涌津涌赢1号,28.8462
