"","产品简称","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12"
"434","7号",2.99,2.36,-6.26,3.2539,-3.9874,9.7187,7.2075,8.0647,6.0981,-1.6978,-1.3752,-5.601
"570","91金融东方港湾价值1号",2.4253,6.4204,11.4521,17.7216,26.668,32.5752,35.5037,36.1969,36.8877,64.8335,61.1578,67.3101
"3780","9号",-2,-1.64,-7.78,0.86,-2.66,-1.56,-2.43,0.46,1.79,2.77,2.62,0.94
"4225","A基金",-3.0332,1.0837,2.1785,2.3126,-13.3225,-7.7868,-8.4627,0.1452,9.1498,6.7423,5.3123,7.0327
"298","阿甘1号",3.7032,12.2155,18.4133,16.2145,13.8228,28.8415,33.8434,64.125,52.3595,57.7858,65.3723,62.5177
"4013","艾叶瓦洛兰",-2.4358,1.58,1.3167,-3.16,-11.3232,-4.1475,-3.16,2.2383,6.3858,8.4266,4.1025,4.9673
"381","爱迪生",3.2641,6.6271,8.7043,6.6271,-0.0989,6.3304,0.6924,1.1869,4.8467,11.4792,7.1009,8.1113
"1137","安洪精选",0.9688,2.4173,7.0216,2.7722,-2.5036,-3.4436,-2.7338,-2.1679,0.1151,-3.2326,-6.6283,-7.3573
"1945","安民2号",0.1111,0.4444,0.3333,0.3333,0,11.2,-0.2222,0.4444,0,4.5556,1.8889,-0.6667
"2932","安晟",-0.6663,0.4806,3.8012,10.7701,13.3588,22.0754,25.6363,26.379,28.509,41.2889,53.4025,43.0038
"3586","安天诚汇安1号",-1.6072,4.6994,-3.7941,-18.6858,-25.1551,-25.3077,-25.1755,-11.4536,-11.3112,-26.5894,-28.4305,-32.0517
"3015","安天诚五号",-0.7716,0.0465,0.1023,-2.9655,-2.8911,-2.7982,-2.7796,-3.0771,-5.4104,-5.5406,-6.2285,-6.9071
"4386","安信乾盛智诚9期",-3.6364,-1.9913,-6.3203,-8.9177,-8.658,0.5195,-2.2511,-1.9048,-0.0866,1.9048,0.4329,3.8961
"4014","安易持兴国2号",-2.4432,1.3018,4.2978,2.1578,-3.1476,6.2327,13.6692,20.8382,22.782,30.9229,33.0004,35.2207
"2750","安远一号",-0.4566,0.7306,-1.4612,-1.7352,-2.5571,-0.7306,3.0137,5.0228,4.1096,1.6438,2.1005,0.6393
"4937","奥索乾元一期",-7.3569,-1.3624,-1.7257,-1.9074,-4.9046,-1.1807,-0.1817,0.9083,1.5441,3.1789,4.723,3.7239
"1381","奥索元亨一期",0.6279,-4.0031,-5.0235,-5.573,-10.5181,-9.1052,-9.6546,-8.0063,-6.9074,-9.1052,-9.5761,-9.1837
"4853","八零后一期",-6.4949,-5.1439,-2.8266,-3.3461,-3.6787,-1.9952,-1.6107,3.4812,4.6451,4.2502,22.4462,15.7643
"2242","八阳6号",-0.0416,0.2219,17.1127,-1.0539,-17.0573,-24.3794,-6.9616,14.0896,27.9157,14.1867,7.6272,23.1036
"4482","巴菲特潜力2期",-4.0252,1.017,-11.2162,-14.783,-11.7462,-12.2189,-19.0445,-14.1599,-8.8884,-15.0623,-17.6551,-23.0125
"4576","巴菲特潜力3期",-4.4873,1.5533,-12.4393,-16.4152,-12.7141,-13.1808,-20.8642,-15.0345,-8.8213,-15.8783,-18.4927,-24.3096
"4602","巴菲特潜力5期",-4.6683,1.243,-13.0149,-17.1484,-13.5786,-14.1133,-22.0624,-16.3246,-10.1532,-17.358,-20.1474,-26.1671
"4751","巴加索睿赢1号",-5.8565,0.119,-4.2277,-12.8111,-22.9228,-20.6076,-22.3371,-18.6036,-15.3917,-23.9568,-29.9689,-26.336
"720","巴克夏月月利1号",1.9761,3.0667,5.1831,3.1315,11.4461,33.1788,32.1617,26.5139,18.8917,25.4489,19.7054,39.6557
"1741","霸王龙1号",0.257,1.0505,0.8158,0.5811,0.6929,1.3187,1.5534,3.1962,4.0121,3.2186,2.1793,1.5199
"2888","霸王龙2号",-0.6106,8.6723,1.0349,-6.0644,-7.1199,-6.8819,-3.1978,6.7784,4.5328,-6.2506,-10.1107,-10.7524
"3126","白云成长一号",-0.9083,1.5441,6.4487,0.9991,-8.356,-0.1817,2.9064,12.8974,16.9846,20.1635,18.3203,18.5577
"426","百泉汇瑾一号",3.0183,5.2658,3.3894,-0.644,-6.8414,-3.5305,-2.4298,0.7924,2.1178,1.1054,-3.6705,-3.0114
"1648","百泉进取一号",0.349,3.6221,1.5636,-1.1086,-6.9394,-3.6399,-2.2675,1.0149,2.2817,1.5317,-3.3785,-3.0385
"4378","百善成长1期",-3.6192,-1.2693,-2.6675,-4.8786,-12.365,-9.6978,-12.1272,-12.3057,-12.7122,-13.9716,-21.7256,-24.8689
"1797","百因素投资策略1期",0.2075,0.4149,-0.6224,0.4149,-7.5726,-4.3568,12.5519,12.8631,9.2324,6.2241,2.8008,3.0083
"5077","邦石1期",-11.7021,-15.4255,-17.8723,-24.2553,-33.617,-30,-35.8511,-34.4681,-29.5745,-40.7447,-37.0213,-42.6596
"1405","宝慈国企改革1期",0.5999,2.5087,3.2286,3.0759,3.1523,9.1405,4.1994,4.6248,6.9045,13.2962,10.2421,14.9542
"1225","宝慈国企改革六期",0.8299,3.0083,4.8755,5.1867,5.9129,10.7884,7.3651,7.9876,10.5809,16.1826,3.0083,7.7801
"4906","宝德源1期",-7.0682,-5.1808,-6.8183,0.9623,0.4072,0.287,-1.5633,-10.4724,-16.5137,-18.4102,-17.9847,-18.068
"3467","宝丰量化弈量一号",-1.4097,0.5905,-0.8382,-1.5906,-7.0388,-1.8573,-2.9812,-1.4763,0.7429,2.2097,0.4096,-0.6572
"4139","宝润达价值成长壹号",-2.7705,6.4935,4.6753,-4.4156,2.1645,9.264,15.9307,16.6233,16.0172,18.6146,17.1428,14.7187
"1190","宝时正气1期",0.8816,7.7308,5.8913,7.1628,-0.5764,3.6535,0.4832,1.7886,0.6951,-0.5934,-8.1546,-10.562
"2265","宝时正气3期",-0.0701,6.1422,4.8941,-0.0561,-6.4367,-3.3936,-5.0905,-3.4077,-3.7582,-2.0614,-13.6727,-19.1137
"1683","宝时正气4期",0.3015,4.3336,3.1403,1.7711,-6.1173,-2.6253,-4.1703,-3.0273,-3.8312,-4.4844,-10.4635,-13.0134
"2988","宝时正气5期",-0.7317,2.6343,-1.9757,-9.3078,-15.8056,-12.2055,-11.9274,-11.6493,-11.064,-8.7956,-19.1424,-25.8305
"3777","宝耀1期(宝鸿财富)",-1.9979,-1.367,5.0473,1.8928,0.7361,1.0515,-4.732,-0.7362,-1.262,1.5772,-5.6916,-10.7378
"591","宝蓁二号",2.3219,5.7829,4.2857,1.9251,11.1494,19.1257,27.6012,29.3068,31.7923,39.9246,31.9379,31.8755
"3142","抱朴容易3号",-0.9389,7.0416,6.6121,5.1538,1.8378,5.5633,8.3999,12.8346,9.149,6.6021,2.4471,2.3871
"3169","北极星1号",-0.9804,0,-2.139,-0.3565,-6.1497,-6.9519,-8.9127,-2.852,-0.8913,-0.5348,-3.0303,0.5348
"2534","贝富盛第二期",-0.2814,1.5947,2.6266,1.8762,-1.2195,-1.7824,-1.7824,1.5009,1.3133,0.6567,-5.1595,-5.2533
"1977","贝富盛固本添鑫",0.1,0.5,0.4,0.9,0.3,1.1,1.3,2.1,2.3,2.7,2.4,2.4
"1177","贝富盛睿博",0.9,1.3,1.3,1.7,1.2,2.5,2.9,3.7,3.8,4.4,4.5,5.2
"3054","贝富盛稳进一号",-0.8256,3.4056,5.676,5.4696,2.58,2.1672,1.6512,4.8504,3.612,3.5088,2.58,1.548
"3254","贝富盛一期",-1.1167,0.7976,2.0461,1.2207,-1.3525,-1.401,0.0832,3.6968,2.053,2.8783,3.5372,1.7339
"1708","倍格二期四有进取",0.28,0.76,1.73,-0.93,-2.77,-1.56,-1.6,2.92,2.81,2.67,2.93,3.14
"2217","犇牛1期",-0.0217,0.0326,0.2119,-1.2223,-0.0869,1.8525,4.3405,5.5411,6.3179,6.0571,4.0689,2.2219
"3224","本颐灵活策略1号",-1.0649,1.0649,0.2904,-2.1297,-4.6467,-0.2904,-4.7435,-0.0968,-3.2914,-8.5189,-12.1007,-12.7783
"446","本正成长系列1期",2.9354,-8.5101,-11.5195,-17.3656,-25.4317,-20.6586,-19.7706,-19.0553,-21.6206,-19.1663,-25.037,-25.148
"4976","本正成长系列2期",-7.9547,-6.797,-8.3655,-11.1291,-11.6021,-10.656,-13.3823,-11.3034,-12.5856,-12.0378,-18.897,-20.6025
"1410","笨牛精选一期",0.5924,2.7251,0.7109,-2.8436,-4.8578,-4.6209,-4.5024,-3.91,-4.2654,-3.7915,-3.436,-5.9242
"41","比高添赢",9.9165,16.2839,20.5992,21.3227,18.7901,19.8755,11.3128,9.2626,9.3833,8.2979,9.1422,6.489
"1388","比格戴特1期",0.6182,3.4428,2.0252,5.308,-8.1752,-4.7964,-7.0667,-3.5493,-0.437,-0.1812,-3.155,-6.7683
"856","彼立弗复利一期",1.5507,2.7478,5.5409,5.2326,9.2682,12.7959,9.5856,10.4743,13.0679,17.7473,14.8726,17.5388
"5050","毕升大趋势量化",-10.5805,-8.8931,-4.818,-5.5078,-7.1315,-5.1788,-3.4278,4.2555,10.6017,10.6229,10.3789,2.5576
"5029","毕咸01期",-9.6483,-3.1664,1.2469,-9.8035,-22.6182,-18.2222,-16.8832,-8.1199,-4.7985,3.1375,-13.194,-9.3324
"4836","标的1号",-6.3514,2.1622,2.027,-4.7297,-32.2973,-24.0541,-9.4595,5.2703,8.9189,0.8108,6.4865,-25.1351
"3261","宾悦成长3号",-1.1246,1.2976,0.9516,-2.4221,-9.6021,-4.4118,-1.7301,4.2388,1.0381,0.2595,1.1246,-1.3841
"1332","宾悦成长5号",0.7,2.2,1.3,0.6,-0.4,5.4,8.8,10.8,7.6,7.3,4.8,2.6
"3076","冰剑10号",-0.8573,0.3297,2.1873,1.5828,3.5392,10.4199,10.0683,12.992,15.0255,18.3449,19.4881,19.4551
"2959","冰剑11号",-0.7039,0.7127,2.8858,2.4987,4.1615,11.3408,10.9009,13.3644,15.7135,18.6785,18.7929,17.9043
"3089","冰剑12号",-0.8664,0.428,2.2547,1.7745,2.8288,8.9875,8.3507,10.8559,13.0063,15.428,17.0459,16.7745
"2818","冰剑13号",-0.5308,0.8493,3.1847,3.2909,5.2017,12.1019,11.9958,14.5435,14.3312,18.0467,18.3652,19.2144
"3065","冰剑1号",-0.8399,0.3419,2.1484,1.7854,3.8663,10.379,9.594,11.3836,13.3378,15.5073,16.7947,16.4444
"3052","冰剑2号",-0.8211,0.4106,2.0206,-0.3457,3.4793,10.4268,10.5241,10.9347,13.3334,17.2124,16.2724,8.0498
"3002","冰剑3号",-0.7589,0.5131,2.2125,1.7208,3.5699,10.1432,9.3523,13.0505,16.4601,20.6927,22.467,6.8834
"3029","冰剑5号",-0.7871,0.3358,2.1198,1.4062,3.4736,10.3788,9.9801,12.3937,14.4401,16.3815,16.3605,15.9092
"3131","冰剑6号",-0.9144,0.2974,2.071,1.5532,2.9631,9.4733,9.1759,11.2468,13.1305,15.2676,14.6397,10.1563
"2892","冰剑7号",-0.6152,0.7879,2.6012,1.5866,1.0794,6.8431,6.6596,9.0556,10.7502,12.9088,12.9951,12.6821
"2925","冰剑8号",-0.6561,0.5946,2.7886,2.6656,3.6293,10.3035,9.8626,12.3129,14.5786,17.357,17.1417,16.7213
"3180","冰剑9号",-0.9872,0.1974,2.2705,1.9743,3.1589,9.5755,9.0819,11.4511,13.6229,16.387,16.1895,16.4857
"4628","冰冷1期",-4.8355,-2.6919,-0.7644,-0.8142,-7.6105,-1.0302,-0.0665,4.2456,3.1157,6.763,-1.5952,-0.1911
"4825","冰冷2期",-6.3044,-1.9306,0.6316,-7.6391,-5.1007,5.3629,-3.7779,-0.1311,4.2665,14.015,21.1417,27.9585
"1155","炳诚对冲3号",0.9315,5.4854,4.5539,0.7286,-7.1445,-0.1827,2.7101,9.5977,12.0032,10.9117,14.2709,11.8972
"572","炳富1号",2.4058,2.3188,0.8406,-3.971,-4.6473,-4.6184,-2.3961,-0.3285,-2.1449,-6.4058,-10.1836,-7.6522
"828","炳富2号",1.6157,3.3866,1.3692,-4.4272,-4.4637,-3.8886,-1.5062,0.8672,-0.3469,-4.6006,-7.3756,-4.482
"4010","伯利恒永利",-2.4257,1.2362,1.2245,-1.1429,-13.6443,-15.2653,-13.656,-19.1137,-22.484,-25.9825,-33.6093,-40.4781
"2990","伯洋六期",-0.7339,-0.6545,-0.238,-0.8132,-4.7308,1.7058,4.4629,4.6414,6.3374,11.4142,10.5191,11.2505
"867","博复达2号",1.5196,7.5784,10.8321,-0.6857,-8.8389,-4.5682,-8.9898,-7.2103,-3.7917,0.7162,0.2309,2.0858
"376","博复达3号",3.2983,7.6666,12.0749,4.5689,-3.5837,1.2158,-3.3975,-1.8086,1.6649,6.4862,6.3548,7.0889
"2040","博鸿成长1号",0.0505,3.5435,11.5478,10.7062,4.5535,8.4926,1.3467,3.0385,7.735,13.7278,14.4937,18.3234
"2037","博鸿成长2号",0.0567,3.7994,12.0301,11.2767,5.1685,8.7735,1.7498,3.4754,8.093,13.8691,14.5091,18.2194
"3214","博鸿致远",-1.0481,-0.1143,4.9833,8.5565,4.8309,7.7465,2.5155,5.4121,8.2039,13.9876,9.3283,10.424
"3513","博虎瞰金",-1.4845,-1.0317,15.0077,10.777,2.375,13.5158,-3.7111,-4.7725,0.2079,9.263,9.2259,5.5519
"1505","博健精选1号",0.496,-2.6786,-1.9841,-4.0675,-7.8373,-4.5635,-6.9444,-3.2738,-2.2817,-1.9841,-5.0595,-9.623
"3512","博纳1期",-1.4841,-3.2061,-4.7695,-7.9642,-11.1363,-13.9005,-16.88,-19.8482,-22.6124,-25.6712,-28.5374,-31.1431
"1370","博普指数增强1号",0.641,3.2051,4.8878,4.4872,4.0064,11.0577,12.9006,16.1859,16.9071,18.9904,19.6314,20.8333
"717","博普指数增强2号",1.9845,6.3848,7.7653,8.9733,6.4711,15.1855,19.931,23.2959,24.1588,25.7981,27.9551,28.5591
"631","博润价值成长",2.2074,4.306,10.0167,11.2458,11.1288,17.5836,17.7425,21.9398,26.9983,30.5017,27.0987,17.6672
"3279","博颐精选",-1.1531,2.9167,7.7584,10.1575,12.6744,16.6481,9.0695,13.7282,18.6349,22.5126,17.6833,22.6985
"3166","博颐精选2期",-0.9757,3.5494,8.1361,10.6515,13.0178,16.9271,9.1734,13.4943,18.5348,22.2269,17.611,22.9238
"3356","博颐精选3期",-1.2465,2.7771,7.1903,9.5963,11.9335,15.7967,8.0748,12.4055,17.3732,20.9844,16.255,21.7497
"2986","博颐稳健1期",-0.7312,3.3396,8.2502,9.9842,12.4049,16.5695,8.759,12.8396,17.8391,21.9593,17.1376,22.6114
"3753","博弈天成1期",-1.9417,3.8835,-7.767,-11.6505,-7.767,-5.8252,2.9126,6.7961,6.7961,-0.9709,-9.7087,-13.5922
"4814","博约一期投资基金",-6.2084,-5.2106,-3.3259,-18.9579,-21.3969,-27.051,-29.7118,-26.8293,-27.4945,-28.9357,-28.6031,-28.8248
"99","博致二期",6.6,10.1,4.5,1.8875,-10.8614,3.9777,20.1752,40.8663,36.2682,18.4171,9.1508,14.6015
"194","博致三期",4.8,6.8,0.4,-3.616,-15.3628,-2.2104,9.1347,26.504,25.0985,8.0851,-1.9228,2.7059
"109","博致一期",6.261,10.0529,3.7037,-1.1464,-11.8166,1.6755,18.3422,39.6825,27.7778,11.8166,3.4392,8.2892
"2551","渤源沣杨价值成长",-0.2904,2.0329,1.7425,1.7425,0.3872,4.5499,4.2594,4.7435,7.5508,12.8751,12.1975,15.8761
"4529","搏股通金(大岩资本)量化17号",-4.2516,-2.6572,-5.2259,-8.8574,-11.7981,-10.5403,-11.3729,-11.3198,-11.3375,-12.7547,-12.9318,-12.8787
"4363","搏股通金17号(大岩资本)主动管理1期",-3.5433,-1.7717,-5.7087,-9.6457,-13.3858,-11.6142,-12.9921,-13.0906,-13.0906,-14.7638,-15.0591,-14.8622
"4180","搏股通金2号4期",-2.9258,-0.1045,1.0449,-0.3135,-8.8819,-4.9112,-6.6876,-4.7022,2.6123,0,2.8213,3.0303
"4220","搏股通金2号6期",-3.0271,-0.2088,1.0438,-0.4175,-8.977,-5.0104,-6.785,-4.8017,2.5052,-0.1044,2.714,2.9228
"4221","搏股通金2号9期",-3.0271,-0.2088,1.0438,-0.4175,-8.977,-4.9061,-6.785,-4.8017,2.5052,-0.1044,2.714,2.9228
"3968","搏股通金2号二期",-2.3493,-0.5482,1.3312,0.8614,-7.1261,-1.8011,-4.072,-1.8794,6.8128,3.8371,6.8128,6.9695
"3969","搏股通金2号三期",-2.3501,-0.5673,1.2966,0.8104,-7.2123,-1.9449,-4.1329,-1.9449,6.8882,3.8898,6.8882,7.0502
"4170","搏股通金2号特定",-2.8807,-0.1029,1.1317,-0.1029,-8.642,-4.6296,-6.2757,-4.2181,3.0864,0.6173,3.4979,3.7037
"3719","搏股通金鼎宝",-1.8592,0.2902,0.72,0.3332,-3.7292,-4.0946,-5.352,2.1064,1.784,-6.6953,-7.9205,-6.8458
"2906","财富广金恒富5号",-0.6304,2.1733,1.3266,1.5147,1.7217,1.7029,2.512,4.2431,5.6543,10.0762,8.3827,8.1005
"4370","财富星三期",-3.5907,1.846,1.1706,-10.2206,-12.2017,-9.4102,-12.0779,-10.8397,-12.6294,-14.0928,-14.6218,-15.1846
"4026","财智生活启航一期",-2.4772,-0.2946,0.067,-12.346,-26.9818,-13.4976,14.6626,37.587,35.4713,0.4553,0.2276,12.4264
"1130","彩瑞3期",0.9805,5.6067,3.7576,-0.1053,-5.0671,1.9018,0.9542,5.4817,7.752,8.4957,6.1595,6.0937
"2853","彩瑞五期",-0.5718,2.7254,1.0099,-4.7573,-12.2278,-6.8621,-9.0522,-7.142,-6.7526,-6.1443,-8.2735,-7.6165
"5087","仓红1号灵活进取",-12.2191,-12.3084,-11.9586,-15.6199,-16.8924,-16.684,-15.0246,-12.1819,-13.3651,-8.7141,-10.0313,-4.6138
"2409","藏宝图福州1号",-0.1793,-0.3346,15.4995,13.7309,2.653,14.1611,34.6439,57.0387,50.7051,59.0225,56.6205,43.1405
"281","藏宝图京都1号",3.8035,5.0216,4.3615,4.2829,10.0825,14.1139,28.1729,27.7014,22.609,27.1749,41.6582,36.8959
"214","藏宝图私享家1号",4.4118,5.0654,4.2484,3.8399,4.9837,9.0686,23.366,27.5327,23.1209,27.2876,42.6471,40.6046
"3817","藏泓财富一号",-2.0854,2.0855,2.0855,0.1043,0.6257,4.6924,5.6309,10.6362,11.9917,14.9114,8.3421,4.5882
"1492","藏元汇顶理元亨3号",0.503,5.332,12.173,13.9839,13.9839,20.8249,16.499,15.493,16.2978,23.6217,20.7243,26.8612
"3347","禅龙金虎",-1.2253,-0.9425,17.9076,13.0066,2.3563,13.6664,-5.4665,-6.1263,-1.6965,5.278,5.4665,2.5448
"1008","常阳1号",1.2117,5.0489,9.9666,14.7229,11.8753,12.047,9.573,16.0559,13.0265,4.827,1.7167,-0.3432
"2624","昶享2号",-0.35,0.5249,-0.8749,-3.937,-7.1741,-4.4619,-4.4619,-2.7997,-4.9869,-7.874,-11.8985,-11.1986
"2968","超龙6号",-0.7121,3.5605,1.119,-1.0173,-1.5259,0.4069,1.4242,10.0712,9.9695,7.4262,6.3072,4.3744
"687","朝阳50超预期1号",2.0558,-1.4684,-1.1747,-0.2937,-5.2863,3.6711,5.58,16.7401,31.1307,34.8018,29.5154,31.2775
"3743","朝阳鸿逸1号",-1.9231,-3.8462,-5.7692,-9.6154,-11.5385,-9.6154,-7.6923,-3.8462,-5.7692,1.9231,3.8462,11.5385
"4071","朝阳量化选股1号",-2.5918,0.8306,-0.7205,-4.1529,-9.7168,-7.6654,-7.7354,-4.7733,-3.6125,-6.2144,-7.9856,-8.2458
"1863","朝阳清水源一期",0.1659,2.2731,3.3848,4.4798,1.9081,4.1148,3.8659,5.1767,3.7996,5.3924,3.7166,4.0319
"2259","潮金1号",-0.0597,-0.0955,-0.0716,-0.0358,-0.0716,-0.3339,-2.4098,2.6367,2.0878,1.1693,-15.6644,-17.764
"2953","潮金5号",-0.6943,0.0725,-2.6529,-9.057,-13.5337,-13.5959,-10.8497,-10.6322,-11.6063,-11.0259,-17.1296,-21.3057
"2420","潮金7号",-0.1935,0.2139,-1.5685,-5.1232,-7.9242,-6.4168,-21.9087,-22.0208,-22.0921,-22.1532,-23.9764,-25.2699
"5069","炒贵1号",-11.3939,-3.8788,-2.4243,-1.0909,-10.3031,-12.1212,5.8181,5.3333,20.9697,36.9697,51.6364,46.3031
"1018","辰景港湾1号",1.179,4.6088,10.2894,14.1479,21.865,31.5113,33.4405,34.5123,35.3698,56.806,53.269,66.6667
"2299","辰阳初心",-0.0985,0.0985,2.266,1.6749,1.0837,0.9852,2.3645,2.1675,2.1675,3.5468,4.8276,4.7291
"5028","辰阳恒丰1号",-9.5199,-2.4421,-6.5397,-4.3874,-9.2301,-2.3593,8.6921,13.8245,15.149,18.75,24.0066,26.7519
"4493","辰阳恒丰松井1号",-4.0625,-3.4375,-9.0625,-6.0417,-9.4792,-5.9375,-1.9792,2.5,3.3333,4.4792,15,15.2083
"4950","辰阳乾丰7号",-7.5281,-1.4607,-0.5618,0.2247,-7.6404,-6.1798,-7.191,-3.3708,-3.1461,0.1124,4.9438,7.5281
"1560","辰月成长优选1号",0.4264,4.2644,5.7569,7.2495,6.7164,12.58,14.3923,15.6716,16.8443,20.0426,17.3774,19.5096
"1360","辰月价值精选1号",0.6565,5.5799,7.6586,11.8162,9.7374,19.0372,25.1641,26.0394,28.1182,33.0416,28.337,33.3698
"2597","辰月价值精选2号",-0.3148,3.6726,3.9874,5.7712,3.043,10.5981,15.1102,15.6348,18.1532,20.9864,17.4187,19.8321
"78","成都红泰嘉盈一号",7.3272,19.4005,21.6486,24.7294,22.8143,22.398,31.3905,26.1449,22.2315,14.0716,3.2473,2.3314
"326","成都君海",3.5165,8.4615,6.044,1.978,-6.8132,-4.1758,0.6593,0.5495,2.8571,19.5605,21.0989,23.5165
"4995","成恩五号",-8.4906,-0.6289,13.2799,15.1048,22.5227,34.9481,39.5486,49.685,58.337,52.6135,51.2161,43.9466
"4295","成合盈丰一号",-3.2407,2.4074,1.8519,-1.8519,-4.6296,3.7037,8.8889,16.5741,15.2778,16.7593,17.3148,15.6481
"3272","成泉2期",-1.1443,4.415,8.3341,56.4318,55.564,56.8704,43.0247,58.8347,61.0756,63.0018,52.7224,43.9401
"3265","成泉风险缓冲1期",-1.1327,4.2965,8.8663,59.8379,58.5197,59.4278,45.6889,62.4255,64.3101,67.4251,56.6156,48.4523
"2786","成泉汇涌二期",-0.4961,3.5622,9.3173,61.5896,57.5313,61.4734,49.1803,66.0851,71.2716,75.6717,63.9381,53.8828
"4004","成泉汇涌一期",-2.4138,5.3448,16.8103,93.1034,89.569,93.4483,76.2069,100.7759,108.3621,118.5345,99.1379,87.5862
"1794","成源一期",0.2092,1.9874,3.2427,3.6611,2.5105,3.9749,5.4393,3.9749,5.6485,4.9163,2.8243,1.9874
"1217","诚盛1期",0.8419,2.5099,3.2355,3.8449,5.9622,8.981,8.4909,10.6835,10.9977,16.6017,15.3138,17.3211
"2583","诚业1号",-0.304,-2.3303,-4.0527,-1.1145,-1.7224,-0.1013,3.4448,6.4843,10.233,12.3607,14.691,13.6778
"3266","承祺1号",-1.1344,-0.0873,-0.4363,-1.0471,-2.7051,2.5305,4.1012,10.9948,7.4171,4.712,1.0471,0.5236
"3722","承泰淇1号",-1.8656,-0.885,0.3229,-7.4743,-12.4372,-7.8331,1.6742,4.1258,10.3444,9.6388,-0.3707,-1.9493
"732","承泽股票二号基金",1.9292,2.7867,3.9656,5.8949,6.3236,11.7899,14.6837,24.0084,19.7213,20.5787,21.6505,14.6838
"706","承泽狩猎者从基金(Feeder)一号",2.005,2.7569,3.7594,10.401,6.391,12.2807,14.9123,24.3108,19.6742,20.6767,22.0551,15.0376
"688","承泽狩猎者主基金",2.0556,3.023,4.1112,6.5296,7.0133,12.9383,15.7195,25.393,20.919,22.1282,23.5792,16.6868
"886","承泽资产成长1号",1.4721,4.4164,5.4679,8.0967,10.0946,14.6162,17.3502,25.5521,21.4511,22.6078,24.9211,18.612
"2001","承泽资产精选增值1号",0.088,0.6157,3.5376,2.8633,5.5995,6.0881,6.694,10.9352,9.8407,11.3554,8.199,7.4758
"730","承泽资产趋势1号",1.9344,2.8666,4.0794,6.3446,7.818,15.5758,19.2142,29.0167,24.4462,26.07,29.0669,22.0808
"4280","橙色阿尔法指数增强",-3.1689,1.2149,-0.8489,-4.94,-9.3823,-2.6859,-2.7518,0.3074,3.125,0.2122,-1.7564,-1.7857
"3733","橙色超额收益二号",-1.9,1.8,1.1,-1.9,-6.2,-0.3,1.2,6.2,7.3,7.2,6.9,7.8
"3779","橙色超额收益三号",-2,1.7,0.9,-2.2,-6.2,-0.5,1.1,6.2,7.4,7.1,6.8,7.6
"4255","橙色超额收益四号",-3.1,0.3,-0.6,-3.8,-7.6,-1.9,-0.2,4.8,5.9,5.7,5.2,6
"3641","橙色超额收益一号",-1.6983,1.8981,0.999,-1.998,-6.2937,-0.3996,1.1988,6.0939,7.2927,7.1928,6.7932,7.6923
"4258","橙色量化对冲一期",-3.1068,-1.4563,-0.4854,-0.3883,-2.3301,-2.233,-2.3301,-0.8738,4.6602,6.6019,3.3981,1.3592
"1908","赤升福泽",0.137,2.4374,2.4765,4.4607,-1.6983,-1.6557,0.0492,4.4608,-1.9221,-8.3477,-13.8355,-21.5078
"976","赤兔马2号",1.2718,2.5644,4.2808,2.7298,2.2231,6.9176,5.4286,8.0447,8.1067,6.4316,5.3666,3.8362
"1931","赤子之心成长",0.1217,1.6322,7.4021,10.3229,18.2619,25.2201,25.2344,25.5637,24.8407,28.5632,37.7479,29.4724
"1272","赤子之心价值",0.7663,2.916,9.1211,12.1728,19.1916,26.7123,21.6533,22.5553,22.1009,32.9174,27.9398,28.9367
"2312","储源一号",-0.1,0.3,1.6,1.9,4.6,9.2,7.6,7.4,15.2,18.6,19.6,16.0827
"3486","川泽1期",-1.439,-0.979,-1.7693,0.0826,-1.0026,1.8636,1.7103,0.5544,0.979,2.9134,1.8283,1.1795
"3291","川泽2期",-1.1671,-0.6143,-2.1622,1.1425,-0.1351,4.6192,2.3464,5.9337,2.887,1.769,2.1499,3.231
"3660","穿石年轮",-1.741,1.5234,2.3939,-1.4146,-2.7203,1.0881,4.3573,13.8344,11.6558,17.1024,18.1917,17.3203
"3742","穿石品质生活二期",-1.9165,1.8519,2.2825,-1.2705,-2.7778,3.1438,2.9285,12.2954,9.6038,15.3101,16.6021,15.6331
"553","穿石特殊情况",2.4941,2.6128,9.3824,8.5511,5.4632,14.4893,3.4442,13.4204,14.0143,23.3967,23.0404,20.6651
"2021","传家堡3号",0.071,0.4261,-0.6037,-0.6658,-0.728,-0.6658,-0.6126,-0.4616,-0.9943,-0.5149,-3.0362,-5.451
"2228","创海富信1号",-0.0307,1.7527,0.5894,-1.1223,-0.5996,2.5829,3.0749,6.6469,5.9089,7.5949,7.8563,7.0722
"458","创世2号",2.8741,8.0833,5.9278,8.3169,3.1076,10.7778,16.8493,17.7205,27.4924,29.7018,27.0972,36.7613
"1784","创新成长1号",0.2165,-1.4563,-4.8411,-3.8079,-5.9038,-3.07,-3.8374,-0.9151,3.926,4.113,4.5065,0.7675
"4595","创信最具巴菲特潜力1期",-4.6385,1.233,-12.9425,-17.0609,-13.5044,-14.0413,-21.9342,-16.2389,-10.1074,-17.4216,-20.2651,-26.0443
"4163","创盈6号",-2.8515,-0.0983,3.0482,6.883,12.9794,25.762,30.2852,29.2035,28.8102,43.5595,48.3776,49.9508
