"","产品简称","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12"
"912","惊蛰",1.4184,10.6383,13.3865,9.3972,5.4078,1.6844,-7.0035,-15.6028,-18.1738,-19.2376,-20.922,-25.1773
"4726","晶上量子1号",-5.6546,-4.1194,-3.6617,-0.4672,1.4971,16.5062,14.2462,23.6579,22.3324,42.3763,32.8979,37.5131
"128","晶上稳增长1号",5.9341,12.5255,14.664,10.9146,15.2657,13.7382,19.4779,22.107,19.5982,29.1335,30.6425,29.0131
"5013","鲸象稳健1号",-8.9846,2.458,5.0263,-3.4413,-7.1283,-6.5774,-5.9163,-2.6276,-2.9412,-7.0605,-11.5104,-9.0609
"2877","景富二期",-0.5983,-0.5983,3.9246,1.4603,2.4744,3.2248,1.6631,2.2438,9.5869,13.8195,12.4936,11.6777
"966","景富和1期",1.2905,3.0375,2.1938,-1.5287,-8.5765,-7.0379,0.6552,5.1282,4.142,-0.0986,-7.9882,-10.9467
"492","景富和2016",2.728,4.2518,4.5566,1.7989,-5.9689,-4.2741,3.7687,6.073,5.1067,0.4237,-7.4556,-10.2802
"3561","景富趋势成长二期",-1.5746,1.6043,0.0792,-0.8616,-3.0798,-3.8225,-3.159,-0.0099,4.8836,8.5538,7.9172,5.4506
"2975","景富趋势成长六期",-0.7171,-0.8167,2.0317,0.4482,-1.2847,-0.3685,-4.5613,-4.02,2.58,5.95,1.31,1.29
"2961","景富趋势成长三期",-0.7046,-0.3523,-1.352,-4.4559,-4.2464,-2.8278,-6.5315,-6.0711,2.6716,3.3515,-1.647,-1.9343
"3349","景富趋势成长五期",-1.2279,1.3599,0.2131,-0.548,-2.2833,-2.1514,-1.8977,1.9484,5.754,6.6876,7.4893,6.3933
"3696","景富趋势成长一期",-1.8107,-1.1643,-2.4112,-4.8225,-4.2219,-4.1178,-6.6914,-5.0032,0.8916,1.3818,0.8456,0.1072
"2915","景恒德盛",-0.6445,-1.0741,-1.5038,-2.0408,-5.1557,-4.189,-5.1557,-3.1149,-3.7594,-0.8593,-5.478,-3.9742
"3220","景恒华盈",-1.0616,-1.2739,-1.6985,-1.9108,-4.6709,-3.7155,-4.5648,-3.397,-4.034,-1.5924,-5.6263,-4.8832
"3292","景恒先锋",-1.1675,-1.187,-2.2183,-2.5589,-5.9447,-4.9912,-6.188,-4.2713,-4.9523,-2.3935,-7.7058,-7.2096
"3027","景恒阳明",-0.784,-1.2069,-1.6196,-1.8156,-5.0444,-3.8374,-5.3229,-4.2294,-4.4254,-2.3004,-5.6014,-5.9315
"3032","景恒长鸿",-0.7899,-1.1285,-1.3542,-1.6928,-4.8531,-3.8372,-4.8531,-2.7086,-3.0472,-0.1127,-4.5144,-3.0472
"3377","景恒长江",-1.2834,-1.8182,-2.4599,-3.1016,-6.0963,-5.3476,-6.9519,-5.9893,-6.4171,-4.7059,-6.5241,-6.9519
"3008","景恒长江2号",-0.7658,-1.2035,-1.6412,-2.0788,-5.2517,-4.5952,-5.2518,-4.2671,-4.9235,-2.8447,-4.7046,-4.5952
"134","景林丰收",5.7573,13.2358,17.5827,15.0301,18.2019,27.6467,32.309,32.7753,35.1465,46.3102,49.489,55.3428
"85","景林稳健",7.028,11.3428,18.0858,22.2622,29.9452,38.3976,41.7911,42.8549,47.8446,61.4,65.0212,74.2218
"952","景林稳健Ⅱ号",1.3192,3.3049,5.9016,8.6093,11.1227,19.2461,19.2252,19.6071,22.6342,35.5413,40.7069,47.268
"73","景林优选2号",7.5108,11.7672,20.3341,26.0776,31.6703,42.2198,47.4246,44.7629,50.4095,67.7909,64.7953,77.9634
"1224","景睿赢一号(七星1号)",0.8305,2.3018,7.2937,6.6258,8.4131,14.8578,15.1738,18.3422,17.909,28.6058,26.4663,29.1745
"2665","景泰复利回报",-0.3873,2.4489,7.8091,10.4329,15.0309,20.6347,22.7838,21.8342,24.1707,34.791,44.1994,38.4769
"1894","景泰复利回报1期",0.1436,3.4515,9.3247,12.1832,16.9142,26.551,22.6751,25.0218,29.653,40.3508,38.4097,40.02
"2482","景泰复利回报第八期",-0.2331,1.0101,4.3512,6.4491,9.4017,16.3947,15.6177,15.54,20.9013,29.0598,28.9044,29.526
"3988","景泰复利回报二期",-2.3834,2.5407,8.6928,11.3786,15.728,25.0439,21.0514,22.7814,27.1611,34.6621,44.2502,35.7631
"2537","景泰复利回报四期",-0.2832,2.9686,5.2344,9.4828,12.934,17.4552,21.1476,18.651,23.4554,32.3403,41.1728,33.7984
"2604","景泰复利回报五期",-0.3197,2.3941,8.9059,11.7757,16.2131,26.9282,22.3739,22.4051,28.2851,39.6943,37.9864,40.4196
"2546","景泰复利回报银信宝四期",-0.2882,1.4838,4.3019,4.6114,8.7425,17.5811,13.8984,15.126,18.8301,7.8459,7.1947,7.6537
"2095","景泰复利回报银信宝一期",0.0083,3.7062,9.8251,12.3705,17.4115,26.6893,22.8008,24.5751,29.0772,40.975,38.6121,40.1128
"3308","景泰富尊一期",-1.1824,0.7456,5.4112,7.8611,11.6638,19.2799,15.3494,17.075,22.369,31.2207,29.8786,30.2301
"2431","景泰稳健收益一期",-0.2,0,0.1,1.5,2.8,4.8,6.1253,7.0428,8.1642,11.6303,13.9148,11.6303
"907","景资瑞丰",1.4305,3.4104,4.6336,4.6543,-0.5287,-0.7256,-0.4146,-11.3092,-10.6769,0.5701,9.5263,7.961
"1175","景资瑞盈",0.9017,3.6279,2.1534,1.082,-8.9318,-8.9,-8.7302,-15.8905,-14.9146,-7.6695,-1.6548,3.4369
"1627","璟云天天向上二号",0.3728,0.8876,1.5977,4.8642,3.1156,4.5091,6.7282,8.4413,9.7994,9.8882,7.3229,6.4442
"1476","璟云天天向上一号",0.5179,0.8759,1.3938,4.2803,1.8964,3.313,5.3618,8.0427,9.5126,9.7639,5.933,4.8134
"1107","敬勤旅行者一号",1.0135,8.3333,11.8243,11.9369,11.9369,11.5991,11.7117,13.6261,15.3153,23.3108,20.4955,25.5631
"1475","敬勤三期",0.5181,1.2435,2.3834,3.9378,2.7979,2.7979,8.1865,12.6425,8.3938,19.0674,14.8187,20.6218
"1353","静好壹号",0.6629,3.9222,9.2255,4.3642,-3.4692,-1.3148,4.8061,21.6219,17.8986,22.1412,20.8375,15.7331
"938","静明对冲一期",1.3566,4.3605,4.6512,4.845,4.6512,4.9419,4.5543,5.5233,5.1357,6.686,5.2326,3.1008
"1484","静逸一期",0.5076,6.3959,8.1218,8.1218,5.2792,10.9645,11.9797,15.736,15.3299,27.2081,30.3553,35.4315
"3033","九铭恒丰",-0.791,0.6693,1.724,-0.1116,-0.5476,3.0829,1.0749,1.7645,2.9612,4.2288,6.8249,8.1736
"2904","九铭恒丰2号",-0.6289,0.9434,5.87,0.8386,0.9434,6.3941,9.7484,12.6834,13.8365,15.5136,18.4486,20.3354
"1257","九铭恒升",0.7965,2.0355,3.009,0.2656,-1.1503,0.9737,1.6817,2.7436,3.1861,7.0799,7.8764,9.2038
"3451","九晟1号",-1.3861,-0.495,2.0792,3.6634,6.4356,12.1782,16.2376,18.4158,17.2277,28.9109,37.1287,33.0693
"1928","九水健康成长",0.1227,1.7284,2.3417,2.9996,2.2079,5.3524,7.3707,5.9211,7.5268,8.5749,7.5602,8.2627
"781","九霄稳健成长二号",1.7523,3.895,9.9576,15.3559,21.6926,24.5412,36.7494,36.8242,48.3016,75.9821,72.4857,87.7004
"4746","九旭3号",-5.8235,-6.7334,-12.8298,-5.9145,-28.6624,-26.6606,-26.7516,-10.828,-10.1911,-9.1902,-2.2748,-2.2748
"1109","九鞅禾禧一号",1.0098,6.1319,7.0114,5.1384,0.4805,6.1564,7.7769,13.2818,14.8208,13.3306,12.671,14.0309
"2498","九悦尊享",-0.2565,1.0258,0.5524,-0.3452,0.8779,1.233,3.0381,5.5534,2.2884,3.8666,6.4312,9.134
"539","久富1期",2.5671,4.5272,9.0428,8.8572,7.4383,16.1409,13.3109,17.4824,17.4012,26.2816,22.2493,23.1849
"613","久富2期",2.2644,4.5745,9.1489,9.2756,8.7741,17.2644,15.6028,19.4985,19.9696,29.0324,25.7447,27.4215
"504","久富3期",2.6976,4.9212,9.6087,9.4418,8.4869,17.1408,16.0123,19.9786,20.86,29.347,25.5342,27.3438
"557","久富7期",2.4736,5.7786,10.148,9.7222,6.7315,14.7506,14.1423,17.2749,17.8528,25.6894,25.9023,27.7474
"1852","久铭1号",0.18,3.4007,9.2418,10.9722,21.9244,23.3347,28.5857,31.3463,31.8964,38.7778,37.6375,39.6179
"654","久铭2号",2.1329,5.3945,11.8555,13.771,28.0493,30.8863,44.0982,49.3788,53.9553,63.0979,61.3585,62.311
"323","久铭3号",3.5386,7.3471,14.6341,17.0832,32.9068,36.6154,52.0892,58.2167,64.3143,72.491,71.2515,72.1711
"534","久期纯股1号",2.5912,2.8791,9.7889,9.7889,12.38,18.1382,23.5125,31.4779,28.4069,27.8311,30.7102,34.6449
"1059","久阳5期",1.0931,2.386,1.2341,3.4673,2.1392,2.2685,5.0188,5.6535,4.7015,2.5388,3.9375,4.7485
"1329","久银金沙26号",0.7056,1.7137,-2.0161,-4.2339,-3.4274,-2.9234,-3.125,-1.3105,-1.4113,-2.0161,-4.5363,-5.0403
"386","久银金沙28号",3.2328,4.7414,5.3879,2.8017,0.8621,2.0474,4.0948,3.556,3.556,3.125,0.5388,0
"1600","玖润一期",0.3992,0.998,2.3952,2.8942,2.5948,3.8922,3.992,5.0898,5.1896,5.2894,5.489,5.6886
"211","玖月天玺1号",4.4872,8.9744,3.7546,-2.7473,-7.5092,-4.1209,-0.7326,3.3883,12.2711,4.5788,-2.1978,0.2747
"1357","玖月天玺2号",0.6607,6.6373,0.6307,-7.9588,-14.9164,-12.2435,-7.7886,-3.4938,3.9944,-4.0845,-10.011,-8.4893
"3698","巨柏1号",-1.8149,-3.1617,-8.618,-19.7272,-20.4497,-19.8832,-21.964,-17.5192,-18.0625,-23.2935,-29.2237,-33.9923
"4809","巨鹿1期",-6.1717,-10.9135,-11.4322,-23.0718,-22.1531,-21.7974,-17.389,-16.7296,-18.982,-20.649,-23.0792,-16.3296
"4608","巨牛厚石量化对冲三号",-4.6924,-3.8582,-3.6496,-2.8154,-3.6496,-0.8342,3.8582,6.1522,11.2617,10.8655,11.3094,13.418
"1443","巨杉海外视野1A号",0.555,1.1101,4.1628,3.9778,5.6429,7.123,11.2858,13.136,16.9288,14.9861,17.2988,15.3562
"3440","巨杉净值线10号",-1.3786,-0.3075,-1.1771,0.1909,0.9226,5.2174,8.8229,10.2333,13.4146,17.1262,14.0085,21.1029
"2758","巨杉净值线14号A",-0.47,0.3525,-0.3173,-1.0576,-0.5875,2.1152,3.2902,3.5253,4.2773,6.1105,5.4054,8.8132
"3725","巨杉净值线1号",-1.8709,0.9546,0.6109,1.2218,1.9091,-7.9801,-4.3528,-1.8709,-0.2291,4.4292,3.551,10.2329
"3528","巨杉净值线2号",-1.5127,1.6748,3.1875,3.8898,4.5381,9.4003,13.2901,14.5327,18.9087,22.7985,20.2593,29.3355
"3912","巨杉净值线3号",-2.2523,0.6006,1.4515,1.9019,2.3023,6.7568,10.8108,12.2623,17.6677,22.6727,20.4204,28.8288
"3583","巨杉净值线4号",-1.6043,1.4351,1.3348,2.3375,2.7762,7.8524,10.9858,12.2517,15.9366,21.8901,18.4559,28.0943
"3706","巨杉净值线6号",-1.8232,0.9459,0.6169,2.4674,2.8513,8.0672,11.2406,12.7622,16.3811,22.2755,19.2529,27.3475
"3730","巨杉净值线7号",-1.8924,1.1236,0.414,1.4193,1.8332,6.7416,9.9349,11.2951,15.139,21.0526,17.5636,26.3158
"3619","巨杉净值线8号",-1.6591,1.5145,1.2177,2.7397,3.0974,7.5266,11.1872,12.3973,15.9056,20.7763,17.7245,26.1796
"3038","巨杉申新1号",-0.8016,-0.7014,-1.2024,-1.002,-1.1022,-1.2024,-1.1022,-1.3026,-1.6032,-1.002,-1.6032,-1.503
"2501","巨杉银信宝八期",-0.2597,0.6846,0.4485,-0.2597,0.3305,3.0453,4.6978,4.4618,5.7602,7.4127,6.2323,9.6553
"2716","巨杉银信宝九期",-0.4242,0.5185,0.4007,0.0471,0.6363,2.9932,4.1716,4.7608,4.8786,6.6462,5.2321,8.7674
"2042","巨杉银信宝十期",0.048,0.8888,0.2883,0.1681,1.4893,4.492,6.5337,6.4136,7.6147,9.1761,8.2152,12.539
"1238","巨杉周期1号",0.813,3.3681,2.4971,2.9617,-0.4064,4.5879,-0.5225,0.8132,1.8004,7.3753,6.6205,11.5566
"967","炬桥2号",1.2897,2.381,5.1587,6.8452,7.6389,13.0952,12.8968,11.6071,12.7976,16.369,15.7738,15.7738
"1276","钜融大安1号",0.76,1.5,0.53,0.44,-1.2,-0.5,0.3,-1.15,-0.81,-1.24,-6.51,-7.81
"4673","钜垣投资健康中国一号",-5.2294,-7.4016,-6.5167,-20.0323,-26.8706,-25.5029,-25.1811,-19.7908,-19.1473,-23.6524,-19.8713,-23.8133
"4052","聚安平台",-2.5283,0.5509,1.997,1.5445,-6.6798,-1.2297,-3.3645,-0.4427,9.0015,6.6109,8.8834,9.4147
"3359","聚发(11)混沌1号",-1.2494,4.0547,9.1113,9.8774,5.0566,21.0514,24.3989,32.8029,48.2555,47.5837,34.5356,17.869
"1695","聚沣1期",0.2954,3.4712,3.4712,0.1477,0.2216,1.7725,5.8346,8.5672,11.8907,15.0665,14.3279,15.9527
"3128","聚力1号",-0.9122,1.9055,1.0845,-6.9633,-15.8828,-17.3424,-18.7411,-18.4472,-17.7377,-14.5753,-18.4675,-17.4539
"4690","聚利37号",-5.328,3.0979,-4.4882,-11.3838,-15.608,-9.0119,-12.2723,-9.7751,-3.1508,-14.5996,-14.4865,-7.9848
"2647","聚米1期",-0.3673,0.215,1.2899,0.7882,1.7736,2.7589,4.3443,7.2734,7.2286,7.9721,9.6829,9.3246
"1982","聚启元先锋1号",0.0998,3.493,4.6906,5.3892,6.2874,9.5808,9.98,13.0739,13.5729,13.0739,11.5768,12.2754
"3253","聚鑫16号",-1.1137,-1.1909,3.4182,2.5802,3.0588,3.6936,2.9808,4.0833,8.8938,5.8094,4.5733,19.8623
"1095","聚鑫36号",1.03,1.16,0.45,-2.6,-4.3873,-3.0768,-2.2804,-0.4557,2.4276,-3.3188,-4.5992,7.1486
"4914","君冠1号",-7.132,-4.7041,-11.2291,-15.6297,-22.9135,-19.2716,-24.431,-24.7344,-21.3961,-22.7618,-22.7618,-29.1351
"678","君茂跨市场1号",2.0875,4.2744,5.0696,4.9702,7.4553,13.2207,14.7117,16.3022,20.2783,20.3777,16.4016,18.1909
"4918","君祺成长贰号",-7.1502,-6.0848,-7.7648,-11.9238,-16.8408,-14.034,-19.6066,-16.2057,-13.6447,-16.3286,-23.5812,-22.3315
"2944","君洽精选1期",-0.6848,0.8473,-0.1133,-4.9264,-5.5077,-5.1382,-3.1479,-1.3942,-1.4286,-2.074,-4.217,-3.6603
