产品简称,当年收益%
安盈打新1号,5.4
合正赢动2期,5.39
新思哲成长基金,5.37
橡谷成长一号,5.36
荣辉7期,5.33
万全新经济1号,5.3
文云昆玉一号,5.3
璟云天天向上二号,5.22
灵活策略,5.2
倍霖山绝对回报1号,5.15
璟云天天向上一号,5.13
仟晟1号,5.13
大概率资管2号,5.11
滚雪球价值精选2号,5.1
聚丰荣华,5.08
灿熙5号,5
汇鑫56-1,4.97
比高富赢,4.9
乐善稳健2号,4.9
天创1号,4.86
永望复利成长8号,4.84
永升致远1期,4.84
通金华融2号,4.8
丹阳多头3期,4.8
民享11号,4.8
瀚漠一期,4.79
民奇二号,4.79
开拓者量化趋势对冲1号,4.77
鼎熙稳健成长1号,4.76
伯洋五期,4.71
合正盈动股票3号,4.7
映雪松柏2号,4.7
圣盾成长1号,4.68
民享10号,4.6
晟泰1号,4.59
泉上圣斗士,4.57
福建滚雪球33号,4.55
百洋资产鼎瞻盛世1号,4.51
和聚信赢母基金,4.5
福建滚雪球31号,4.45
安盈鑫享2号,4.44
六耳金猴成长1号,4.4
达尔文2号,4.4
东方价值,4.4
林孚3号,4.4
大概率资管3号,4.38
亘盈稳健,4.37
永发投资稳健进取2期,4.37
龙隐1号,4.3
连民一号,4.3
中汇金凯4期,4.28
颢瀚稳健三期,4.26
毅扬2期,4.25
弗睿得1号,4.25
胜达成长3期,4.21
港信新时代3号,4.21
融裕二期,4.13
港融通5号,4.09
同威3期,4.08
天风鑫利天2号,4.06
天风汇富精选1号,4.06
天风领军趋势4号,4.06
天风鑫利天1号,4.03
天风优选1号,4.02
天风优选2号,4.02
天风鑫利天3号,4.01
泽元互润成长1期,3.99
颢瀚稳健二期,3.98
鼎润1期,3.98
温瑞福菁英,3.95
橙色阿尔法指数增强,3.93
卓泰2号基金,3.93
雅柏宝量化五号,3.9
乐水1号,3.9
龙腾汇金2号,3.84
通和进取2号,3.84
怡广国改2号,3.8
万霁三号,3.8
和聚信赢1号,3.8
和聚信赢2号,3.8
博腾价值趋势1号,3.8
沁源进取,3.79
普邦恒升(华金1期),3.76
瀚信财富1号,3.76
中域稳健涵和1期,3.7
观富策略1号,3.7
春风,3.69
长江资管楚天2号,3.69
唯君金江一号,3.69
鸿然2号,3.63
君洽精选二期,3.62
中鼎创富鼎创进取,3.6
中北联合,3.6
嘉捷白马2号,3.59
银帆7期,3.59
嘉华盛裕银海1号,3.57
天风源泽添1号,3.55
天风证赢2号,3.53
天风证赢1号,3.53
天风源泽添2号,3.52
倚天瀚海雄风19号,3.52
天风源泽添4号,3.51
嘉谟1号,3.5
信安成稳健2号,3.5
纳盈稳健1号,3.5
小禹1期,3.49
炳富2号,3.48
菩提成长8号,3.48
天风源泽添3号,3.46
天风源泽添5号,3.46
神州牧5号,3.43
盛泉恒元多策略量化对..,3.42
昆仑时代1号,3.41
永达2期(长安投资275号),3.4
工银量化恒盛精选D类1..,3.39
世纪汇金量化一期,3.33
正泽元对冲6号,3.3
明汯稳健增长1期,3.29
智裕新隆2号,3.28
汇盈29号,3.26
创蓝筹价值平衡,3.26
泽然1号,3.25
聚安平台,3.23
百堂先锋策略3期,3.21
天信万霁1期,3.2
赤子之心价值,3.17
高溪量化对冲1号,3.14
宝丰一号,3.08
招商汇智之赤子之心1期,3.07
招商汇智之赤子之心2期,3.06
金典新繁荣一号,3.02
赛博纳,3
鹏华资产赤子之心价值..,3
高溪量化对冲进取1号,2.99
融泰汇通优术2号,2.98
臻禾稳健成长一期,2.95
观富丰穰1号,2.95
祥和1号,2.9
钱塘1号,2.9
南岳八号,2.89
永禧永进专享,2.87
玉牛一号,2.86
宏禾丰乐3号,2.85
长江超越理财量化2号,2.84
对冲精英之民森1期A,2.84
映雪松柏1号,2.8
西藏同信同心12号,2.78
光大兴富进取3期第1期,2.74
私募学院菁英99号,2.73
金海10号,2.72
金域量化3期,2.71
中金蓝海财纳易,2.7
天贝合1号,2.7
