产品简称,当年收益%
天成壹号,267.2393
雨山寻牛1号,262.6016
冬拓三号,235.7
否极泰,233.6806
优波基金,209.7599
高合稳进2号,163.5612
喜马拉雅基金,159.5774
谦颐稳健防御1号,152.0257
天谷价值精选一号,149.9897
天谷至诚1号,147.35
希瓦小牛3号,146.6273
涌津涌鑫6号,141.7502
天谷至诚2号,140.28
希瓦小牛5号,138.0859
希瓦小牛1号,136.5295
绎富战略新成长101基金,136.2224
红林菁英212号,135.6596
美港基金,132.905
璟恒五期,130.4957
长江基金,126.6785
私募工场天猊2号,115.1747
高合稳进1号,112.0507
优资顺盈,110.4152
匀丰量化进取,109.0703
天谷深度价值一号,108.7028
冠丰糖糖1号,108.1314
卓凯二号,105.504
蓝海战略一号,104.2947
复胜正能量一期,102.3054
涌津涌赢1号,101.1218
君行5号,100.7894
成泉汇涌一期,99.1379
林园投资2号,95.77
证大久盈旗舰5号,94.4091
中都一号,92.6159
京泰晟,91.4449
金连接滚雪球12号,90.7937
优波喜马拉雅2号,89.7875
今港优选,88.6034
红亨稳赢一期,87.021
赛亚成长1号,86.6062
林园投资1号,86.5
添益一号,86.0624
卓铸卓越1号,84.4131
抱朴一号,84.274
锐进29号景林多元策略,83.7692
紫金港7号灵活策略,83.6461
马拉松全球,83.2061
共泰投资1号,83.01
福建滚雪球千里马1号,82.6594
诚朴息壤一号,82.6573
予曦一号,82
福建滚雪球融晨1号,81.3063
私募工场荔慎稳健成长一号,81.2941
滚雪球一号,80.2151
坚实1号,80.0403
湘军彭大帅6号,79.7606
大禾投资掘金5号,79.4286
少数派102号,78.9071
泽升优选成长1期,78.2085
望正基石投资一号,77.2066
涌津涌赢8号,76.8026
陶朱稳健增长一号,76.26
滚雪球西湖1号,76
长金4号,75.7599
紫金港6号灵活策略,75.3769
望正精英鹏辉2号,75.2282
金钥匙东方港湾港股通1号,74.934
泾溪佳盈3号,74.8793
止于至善,74.7917
蓝筹1期,74.774
利得汉景1期,74.7643
恒丰一号,74.3354
涌津涌赢2号,74.2909
金钥匙东方港湾港股通2号,74.2369
海通拓商一号,74.1015
汇杉稳健成长1号,74.08
大禾投资掘金1号,73.8519
今港成长1号,73.4902
涌津博学稳健,73.3228
嘉禾四号,73.1525
刺猬1号,72.5169
上元3号,72.4911
九霄稳健成长二号,72.4857
福建滚雪球9号,72.4786
中汇金凯8期,72.4652
卓凯一号,72.4576
万象汇富八号,71.9184
滚雪球西湖2号,71.9101
望正鹏辉,71.8168
证大久盈稳健5号,71.8127
久铭3号,71.2515
蓝筹2期,70.9346
高信百诺1期,70.8597
青榕中华,70.8023
财掌柜种子基金一号,70.6897
河床相聚港股通精选,70.6739
和盛丰悦1号,69.3897
汉景港湾3号,68.9153
少数派4号,68.9088
滚雪球1号基金,68.5916
