,"夏普比例
(2015-10 ~ 2017-12)","总收益率
(2015-10 ~ 2017-12)"
重阳8期,0.11,18.06%
朱雀4期,0.11,29.39%
富腾成长三期,0.1,25.51%
骐邦涌利稳健成长,0.1,29.94%
瑞天价值成长,0.1,19.45%
睿信5期,0.1,22.74%
天乙1期,0.1,27.19%
重阳1期,0.1,23.51%
朱雀10期,0.1,25.50%
朱雀22期,0.1,28.23%
博润价值成长,0.09,18.93%
鼎锋5期,0.09,18.55%
共盈立源新产业,0.09,17.81%
景富趋势成长一期,0.09,15.66%
巨杉净值线6号,0.09,21.24%
龙腾5期,0.09,23.17%
新价值4号,0.09,40.72%
远策2期,0.09,18.04%
重阳6期,0.09,20.02%
创赢1号,0.08,16.23%
泛涵正元,0.08,8.75%
广金成长5期,0.08,20.85%
新价值5号,0.08,36.48%
鑫安3期,0.08,12.68%
柘弓1期,0.08,21.72%
金海5号,0.07,17.19%
理成转子3号,0.07,24.74%
上善若水3期,0.07,15.00%
映雪霜雪2期,0.07,18.88%
远策1期,0.07,15.48%
重阳2期,0.07,16.00%
冰剑10号,0.06,11.14%
广金成长6期,0.06,19.32%
明曜启明1期,0.06,15.20%
中国龙稳健,0.06,13.49%
紫金港1号,0.06,21.62%
冰剑1号,0.05,9.60%
彩瑞3期,0.05,15.65%
承泽股票二号基金,0.05,11.34%
鼎锋8期,0.05,12.54%
金石2期,0.05,22.02%
民森K号,0.05,15.60%
平安徐星1号,0.05,13.39%
平安证大一期,0.05,11.55%
锐进2期,0.05,12.27%
上善目标缓冲,0.05,14.44%
徐星投资,0.05,13.53%
远策5期,0.05,12.70%
远策9期,0.05,12.26%
展博2期,0.05,14.39%
朱雀20期,0.05,16.14%
成都君海,0.04,14.21%
嘉禾1号,0.04,15.76%
六禾光辉岁月1期,0.04,11.10%
民森A号,0.04,14.60%
民森B号,0.04,13.96%
前海一线对冲,0.04,9.30%
尚雅13期,0.04,14.86%
世诚扬子3号,0.04,13.24%
新价值15期,0.04,16.44%
永韵骐邦一号,0.04,15.02%
展博1期,0.04,11.55%
重阳对冲3号,0.04,11.43%
重阳目标回报1期,0.04,13.89%
鼎锋2期,0.03,10.82%
鸿逸楚天一号,0.03,15.40%
汇信得3期,0.03,9.41%
鑫安2期,0.03,8.43%
智诚7期,0.03,13.77%
冰剑7号,0.02,7.90%
共盈大岩量化进取,0.02,10.87%
和聚1期,0.02,8.45%
和聚兴享1期,0.02,8.10%
金蕴70期.鼎萨.,0.02,11.30%
京福2号,0.02,10.54%
理成风景3号,0.02,8.58%
明曜精选1期,0.02,9.58%
上善若水6期,0.02,8.39%
新价值16号,0.02,10.60%
铀链大盘波段1号,0.02,11.91%
裕晋5期,0.02,8.13%
展博5期,0.02,9.31%
鼎萨3期,0.01,9.00%
和聚10期,0.01,7.15%
京福1号,0.01,9.91%
康曼德001号,0.01,7.95%
磐信1期,0.01,7.69%
融裕瀚信成长10期,0.01,7.77%
世域2期,0.01,8.44%
塔晶狮王,0.01,8.71%
鑫增长1号,0.01,12.59%
银帆7期,0.01,6.66%
六禾财富东莞,0,5.91%
美联融通1期,0,5.18%
民森H号,0,6.43%
铭深1号,0,7.03%
谦石1期,0,6.61%
尚雅14期,0,6.88%
世通5期,0,5.39%
新价值11号,0,7.55%
新价值12号,0,5.72%
映雪霜雪1期,0,6.54%
远策6期,0,6.27%
智诚5期,0,5.32%
重阳对冲2号,0,6.95%
道睿择1期,-0.01,5.50%
鼎锋成长一期,-0.01,5.12%
行知转折1期,-0.01,4.15%
金狮153号,-0.01,5.51%
睿信4期,-0.01,5.22%
尚雅11期,-0.01,4.86%
塔晶狮王二号,-0.01,4.80%
银帆6期,-0.01,5.71%
远策3期,-0.01,5.68%
和聚9期,-0.02,4.12%
金石3期,-0.02,1.95%
尚雅12期,-0.02,2.37%
新价值1期,-0.02,0.33%
冰剑6号,-0.03,4.34%
鼎诺秋实1期,-0.03,-0.29%
瀚信稳健2期,-0.03,3.60%
和聚3期,-0.03,2.86%
和聚4期,-0.03,2.36%
金百镕1期,-0.03,4.09%
巨杉净值线1号,-0.03,2.71%
清水源1号,-0.03,3.30%
清水源成长,-0.03,4.09%
润桂投资国润一期,-0.03,2.85%
森瑞医疗服务,-0.03,-0.03%
世通嫦娥奔月,-0.03,-2.60%
远见者1期,-0.03,0.68%
广金昂立,-0.04,-1.94%
和聚2期,-0.04,1.80%
和聚5期,-0.04,1.06%
和聚7期,-0.04,1.77%
和聚8期,-0.04,1.24%
汇创稳健一号,-0.04,2.12%
谦石2号,-0.04,0.35%
冰剑2号,-0.05,1.48%
禾木1号,-0.05,-5.09%
合德丰泰,-0.05,3.75%
鸿道4期,-0.05,-3.11%
穗富1号,-0.05,-17.85%
新价值19期,-0.05,-6.54%
大君智萌2期,-0.06,-12.74%
高溪量化对冲1号,-0.06,-1.70%
瀚信成长2期,-0.06,-1.40%
金百镕5期,-0.06,1.72%
穗富11号,-0.06,-14.33%
天勤1号,-0.06,0.17%
鼎诺目标分红1期,-0.08,-11.50%
锐进12期鼎萨,-0.08,-9.59%
睿信2期,-0.08,-3.88%
新价值20期,-0.08,-14.46%
瀚信成长4期,-0.09,-3.00%
鸿道1期,-0.09,-6.33%
鸿道精英1号,-0.09,-7.18%
六禾财富竹溪,-0.09,-3.61%
睿信3期,-0.09,-4.38%
睿信成长1期,-0.09,-4.37%
泰石1期,-0.09,-15.17%
毕咸01期,-0.1,-22.20%
常阳1号,-0.1,-15.35%
东来方元1号,-0.1,-7.07%
或然赋利1期,-0.1,2.14%
融昌3期,-0.1,-14.28%
尚雅3期,-0.1,-8.21%
尚雅4期,-0.1,-8.80%
尚雅5期,-0.1,-8.49%
沃胜1期,-0.1,-6.76%
箫峰飞龙1号,-0.1,-10.13%
长青1期,-0.1,-16.05%
鸿道3期,-0.11,-12.64%
金诚富利1期,-0.11,-5.60%
尚雅1期,-0.11,-10.71%
尚雅2期,-0.11,-9.08%
武当9号,-0.11,-9.91%
彩瑞五期,-0.12,-15.18%
和顺一期,-0.12,-19.41%
久阳5期,-0.12,-20.55%
励石一号,-0.12,-10.34%
丰煜如意理财一期,-0.13,-25.07%
睿信,-0.13,-9.79%
沃胜二期,-0.13,-6.82%
武当13期,-0.13,-11.58%
武当14期,-0.13,-10.58%
武当3期,-0.13,-11.66%
先机策略精选,-0.13,-8.29%
富锦8号.尚雅.,-0.14,-15.37%
瀚信成长1期,-0.14,-9.60%
鸿道2期,-0.14,-12.39%
世域1期,-0.14,-7.86%
武当8号,-0.14,-13.72%
航长常春藤,-0.15,-2.74%
森瑞独立景气,-0.15,-15.99%
倚天雅莉3号,-0.15,-36.42%
巨鹿1期,-0.16,-15.20%
睿鉝量化对冲1期,-0.16,-6.04%
天勤2号,-0.16,-23.07%
武当4期,-0.16,-15.97%
慧安1号,-0.17,-7.21%
金中和灵猫1号,-0.17,-12.30%
武当10期,-0.17,-31.09%
武当稳健增长,-0.17,-13.78%
鑫扬一期,-0.17,-8.60%
兆泽利丰1期,-0.17,-16.52%
瀚信经典1期,-0.18,-14.57%
积胜1期,-0.18,-30.12%
同瑞汇金1期,-0.18,-7.55%
武当1期,-0.18,-12.11%
愚公移山1号,-0.18,-11.13%
智信创富1期,-0.18,-17.42%
光华上智1期,-0.19,-27.34%
论德1期,-0.19,-14.51%
鼎锋成长3期,-0.2,-15.24%
兆信1期,-0.2,-3.26%
智信创富2期,-0.2,-19.14%
潮金1号,-0.21,-31.58%
鼎陶朱辉2期,-0.21,-35.22%
沃胜5期,-0.21,-4.80%
瀚信成长5期,-0.22,-24.11%
励远1期,-0.22,-0.75%
盈捷九头鸟2期,-0.22,-36.09%
志禾对冲1号,-0.22,-5.31%
盈捷九头鸟1期,-0.23,-38.31%
泽泉信德,-0.23,-20.15%
瀚信成长6期,-0.24,-18.11%
湘财资本1号,-0.24,-21.47%
银帆8期,-0.24,-6.26%
瀚信价值2期,-0.25,-18.34%
和聚鼎宝2期,-0.25,-19.47%
金蕴55期.季胜.,-0.25,-33.64%
懋峰二号,-0.25,-26.10%
懋峰三号,-0.25,-24.38%
中域增值1期,-0.25,-44.60%
博纳1期,-0.26,-39.96%
光华上智5期,-0.26,-35.27%
和聚鼎宝1期,-0.26,-19.99%
冰冷1期,-0.28,-39.65%
御峰一号,-0.29,-30.69%
泽泉景渤财富,-0.3,-23.44%
龙票1期,-0.32,-22.87%
德骏核心1号,-0.33,-21.15%
达仁通宝2期,-0.38,-31.21%
泽泉盛辉,-0.38,-36.05%
盛世源,-0.4,-39.15%
金泰瑞丰.乾清.,-0.42,-42.00%
泽泉福虹财富,-0.44,-36.95%
航长常春藤2号,-0.46,-18.51%
中睿合银8期,-0.56,-18.64%
