产品简称,当年收益%
蓝海一号,55.1
永乐春,28.27
财富9号,26.68
和致量化对冲,23.95
高溪量化对冲进取1号,22.52
高溪量化对冲1号,17.43
贝富盛稳进一号,16.3
白马1号,13.64
旭诺成长对冲3号,13.6
步步赢量化,12.97
楠溪二期,11.89
楠溪一期,11.79
金中和西鼎,11.34
九铭恒升,11.11
品质生活二期,10.37
睿鉝量化对冲1期,9.88
海外精选至臻隆奥1期,9.74
海中湾(齐鲁)3号,9.7
天玑财富4号,8.6
信投鼎利1号,8.55
金域量化2期,8.5
海中湾8号,8.3
祥运和1号,8.23
彼林乃尔主题精选1期,8.19
至秦1期,8.16
海中湾2号,8
量化智能指数1号,7.96
高溪多空趋势,7.69
正丰阳一金顺投1号,7.66
优扬1号,6.59
金域量化1期,6.34
添华1号,6.29
证赢33号,6.25
金域量化5期,5.83
盛运德诚趋势2号,5.72
稳健增长,5.72
宏升远望4号,5.64
杜兹三号,5.5
奇获奇才A,5.49
默名十一期,5.46
龙腾汇金2号,5.34
潮金创投1号,5.33
盛运德诚趋势1号,5.25
泰通财富1号,5.23
信达量睿恒量化绝对收..,5.12
默名融智阳光12期,4.98
伯洋六期,4.84
枫景,4.54
常州本正博赢系列1期,4.46
永发投资稳健进取2期,4.27
广发合正赢动2期,4.24
高溪多空趋势2号,4.24
晟维价值,4.04
正丰阳1号,3.63
尚泽进取1号,3.62
长江超越理财量化3号,3.54
海中湾(中信)基金1号,3.5
康元一期,3.3
恒天创新投资一期,3.14
万源汇富一期,3.12
承源9号,3.07
承源09号,3.07
恒龙01号,3.04
赛亚美纯基金,3.04
金泉动量对冲基金,3.01
九旭1号,2.92
财富广誉远安宫清心,2.91
融鑫5号,2.84
九旭2号,2.78
恒赢稳健1号,2.78
伯洋一期,2.74
天利进取1号,2.71
柯林金手指5号,2.7
春风,2.63
正前方量道投资量化对..,2.55
摩旗多因子阿尔法量化..,2.55
银帆7期,2.54
众乐未名量化对冲一号,2.54
天倚道樟鄂1号,2.51
私募学院菁英117号,2.42
钜垣投资健康中国一号,2.4
银帆5期,2.32
璟云天天向上二号,2.27
毅扬3期,2.27
众乐未名量化对冲二号,2.25
信投鼎利14号,2.15
永安量化2号(类固定收..,2.12
海洋之星90号第五期,2.1
长江超越理财量化2号,2.07
融汇阳光量化对冲1号,2.06
深圳恒牛1号,2.03
剡溪源二号,1.98
进化论复合策略一号,1.94
华银领先十六期,1.9
光大兴富进取3期第1期,1.63
华融股票宝5号B,1.62
璟云天天向上一号,1.6
祥和1号,1.58
大概率资管1号,1.55
诺亚高毅国鹭1号尚远2..,1.52
弘金华银量化,1.46
红角一号,1.44
中经乾禾,1.43
涵德量化稳健主基金,1.43
山金金控秦安一号,1.42
涵德量化稳健从基金3号,1.42
涵德量化稳健从基金2号,1.41
双宇华耀创富1期,1.39
银帆6期,1.35
剡溪源一号,1.34
光大兴富进取5期第1期,1.31
点成财富2期,1.31
世纪汇金量化优选对冲..,1.27
长江资管量化对冲1号,1.23
摩旗多因子阿尔法量化..,1.2
熵一3号全球宏观配置,1.19
融容1号,1.18
智裕新隆2号,1.16
保银量化石榴,1.16
和棋中国量化二号,1.09
金域量化3期,1.06
宏源证券鑫源01号,1.02
长城量化优选8号,0.97
炳富1号,0.92
伯洋五期,0.92
汇鑫89号,0.91
基金会-弘尚资产,0.91
博复达2号,0.9
红象1期,0.86
龟兔赛跑1号,0.8
小鳄1号,0.76
超越理财量化对冲1号,0.75
盛泉恒元多策略量化对..,0.75
中金-云信私募工场金..,0.75
华源兴业稳盈1号,0.74
汇创稳健2号,0.7
港融通8号-第05期,0.66
炳富2号,0.58
牛丰子午线一期,0.58
摩旗多因子阿尔法量化..,0.56
恒泰智盈01号,0.56
一可圣达1期,0.56
致中和赢,0.55
和熙10号,0.53
阿尔法量化对冲六阳贞..,0.46
摩旗多因子量化5号,0.4
申毅多策略量化套利3号,0.38
赤子之心招商单一信托,0.37
赤子之心单一信托,0.32
陶朱创富,0.3
摩旗多因子量化3号,0.3
赛亚成长1号,0.25
永安资管进取型1号,0.24
鹏华资产赤子之心价值..,0.22
赤子之心价值,0.22
大概率资管2号,0.2
金狮151号,0.2
天信猛秦1期,0.2
招商汇智之赤子之心1期,0.2
神州牧1号,0.2
申毅量化套利种子4号,0.2
惠嘉稳健成长,0.18
对冲精英之民森1期A,0.16
中信证券宏明量化多策..,0.16
对冲优选2期1号,0.14
泛涵正元,0.13
新时代量化对冲6号,0.12
赤子之心成长,0.12
第一创业瑞年05号,0.11
金狮154号,0.1
涵德量化进取,0.1
通和量化对冲6期,0.1
宽投量化一号,0.1
中信专享赤子之心成长..,0.1
中信专享赤子之心成长..,0.1
锦润投资1期,0.09
中信专享赤子之心成长..,0.09
长江资管超越理财琴台..,0.09
中信专享赤子之心成长..,0.09
中信专享赤子之心成长..,0.09
中信专享赤子之心成长..,0.09
中信专享赤子之心成长..,0.08
中信专享赤子之心成长..,0.08
犇牛2期,0.07
金海4号,0.06
稳增4期,0.05
同威2期,0.05
犇牛1期,0.04
量化3号,0.02
培蓝壹号,0.02
健康生活主题优粤2号..,0.01
量化2号,0
天蓝星1号,-0.01
宏牧1号,-0.02
