产品简称,当年收益%
昀沣3号,6.03
陨石掘金一号,140.3567
成泉尊享一期,102.0072
鸿夫一号,97.9872
成泉汇涌一期,93.1034
潼骁慧福,85.4878
鼎晟投资1号,78.7326
海西晟乾3号,74.5942
匀丰量化进取,67.8246
湘军彭大帅6号,63.0935
成泉汇涌二期,61.5896
成泉风险缓冲1期,59.8379
大满贯,59.0009
成泉2期,56.4318
成泉尊享五期,54.4573
雨山寻牛1号,52.0325
盈阳二十二号,51.3078
卓林草原狼一号,47.9186
宝赢1号基金,47.4747
丰源正鑫正鑫一号,45.4731
大禾投资掘金5号,42
证研宝,41.9981
感叹号管理型6期,39.3673
恒升30号,39.0338
恒升36号,38.9401
中金银海凤凰一号,38.9166
大禾投资掘金1号,38.8004
昱晟一号,38.6986
私募学院菁英135号,36.5993
中金银海稳健增长,36.5956
长河畅达稳健1号,36.0844
亨石二期,35.9982
天成壹号,35.7136
冠源一号,35.2
藏宝图永州1号,35.1455
乾倍投资稳健壹号,35.1367
证研3号,34.4741
证研稳健一号,34.2737
奕歌元晟,34.2657
进化论复合策略一号,34.1335
长金4号,33.7059
嘉恳天启1号,32.4965
元邦7号环保产业,32.1528
德胜量化对冲,31.9323
长金2号,31.739
中汇金凯8期,30.8344
麦哲伦一期,30.7368
榕树一期,30.3607
予曦一号,30.1
冬拓三号,30
温瑞福3号,28.5968
红亨稳赢一期,28.19
隆昇一号,28.1516
楹栖星火1号,27.9336
仟实一号,27.8846
喜马拉雅基金,27.7941
新湖祎海恒航一期,27.5122
东方鼎泰2期,27.303
富承成长基金1号,26.9944
证研五期,26.9675
倚天雅莉4号,26.9498
希瓦小牛3号,26.8669
锐进29号景林多元策略,26.8402
卓凯二号,26.3978
卓铸卓越1号,26.385
一村东临石,26.21
君行5号,26.0917
景林优选2号,26.0776
希瓦小牛5号,26.0025
相聚上善一期,25.762
私募工场静远轩,25.7443
天迪平稳增长2号,25.29
聚利59号,25.12
磐耀三期,25.0264
财林一期,24.9842
云信星探投资1号,24.9732
荷花一号,24.9115
睿策2期,24.8448
盛信二期,24.8422
成都红泰嘉盈一号,24.7294
希瓦小牛1号,24.6697
中道汇承一期,24.6374
融宏一号,24.5863
璟恒五期,24.566
高合稳进2号,24.4604
龙赢增值1期,24.4318
智祥一号,24.3659
瓜牛的梦想,24.102
睿策诺亚对冲,24.0469
同犇尊享2号,23.9228
同犇尊享1号,23.8814
华邦增长2号,23.8155
东方点石尊享2号,23.7333
狼图腾2号,23.6814
相生3号,23.5294
今港优选,23.4128
佳盈七期,23.3444
睿策1期,23.1436
长江基金,23.0214
高信百诺1期,22.9562
同路成长三号,22.9446
长金7号,22.9338
太极1号基金,22.7704
中科智1号,22.6939
枫池稳健,22.5916
长金9号,22.4773
天迪平稳增长3号,22.39
景林稳健,22.2622
景林精选2号,22.21
潮金丰2号,22.0345
武汉长江精选一期,21.9146
