产品简称,当年收益%
test,#NA
泽熙3期,369.33
清皓1期(小雅1号..,264.06
倚天雅莉3号,268.01
泽泉景渤财富,252.71
中山宝睿精选,202.4
泽熙4期,198.06
泰月添富1号,184.33
泽熙5期,182.31
和聚鼎宝2期,175.5
金陀罗飞龙一号,168.05
北京天启螣蛇投资,155.9
泽熙2期,148.4
汇富股票策略精选1..,146.77
泽泉财富管家1号,144.28
私募领导者第1期(..,142.55
宏北01号-第01..,140.49
华银价值基金,138.95
泽泉盛辉,136.42
中金-云信私募工场..,132.81
和聚鼎宝1期,125.52
太平洋红珊瑚3号,120.78
泽泉涨停板1号,117.17
景富趋势成长一期,116.43
毕咸01期,114.12
兆意1期,113.13
得利宝至尊九号,109.08
中金蓝海中华成长品..,107.39
稳健增长,106.59
云信私募工场(八期..,105.67
私募工场第(六期)..,103.27
中金-云信私募工场..,102.34
安逸持1号,101.33
690号,99.1
中金-云信私募工场..,98.86
786号,98.8
源乐晟策略创新3期,98.48
692号,97.45
神州牧1号,97.32
巨杉净值线1号,96.77
清水源1号,95.66
中山盛翔2号,94.97
前海旗隆对冲分级基..,94.46
泽泉涨乐1号,91.62
展博恒享1期,90.22
力量一号,89.88
汇盈一期,89.7
嘉谟动量,89.41
融智新锐10期(泽..,88.84
融惠优选2期-2,88.61
源乐晟8期,87.13
新奥毅赢2号基金,85.35
金陀罗飞龙二号,85.32
新思哲1期,84.77
荣世安达睿选1号,83.91
鸿逸安泰一号,82.78
坤泰2号-第10期..,81.18
共盈大岩量化进取,79.71
航长常春藤,79.55
金源1号,79.29
泽泉福虹财富,79.2
国泰君安君享龙鼎一..,78.53
纯熙精选1期,78.4
浙商金惠3号,78.31
金蕴21期(泓璞1..,77.77
融惠优选2期-3,77.58
航长常春藤2号,77.42
中金在线,77.34
银帆7期,76.48
华邦增长1号,76.25
海西晟乾2号,75.07
华银创新六期基金,74.3
钜融金鳞1号,74.2
邦创2号,73.83
财通财丰1号,72.45
睿翔1号第一期,71.94
安逸持2号,71.89
巨杉净值线3号,71.57
清水源优势,71.36
黑森九号,70.95
诚盛1期,70.8
