产品简称,当年收益%
冬拓三号,316.5
天成壹号,165.0014
优波基金,137.5333
喜马拉雅基金,126.1016
雨山寻牛1号,108.1301
长江基金,104.7449
红亨稳赢一期,102.2267
美港基金,97.316
私募工场天猊2号,90.6114
惜缘1期,89.3792
冠丰糖糖1号,85.5356
璟恒五期,85.0868
高合稳进2号,81.4388
希瓦小牛3号,81.368
天谷价值精选一号,80.9715
成泉尊享一期,80.3212
大禾投资掘金5号,79.9048
鼎晟投资1号,79.3143
希瓦小牛1号,78.9935
沃蓝一期,76.9802
予曦一号,76.6
成泉汇涌一期,76.2069
红林菁英212号,75.24
大禾投资掘金1号,73.8519
希瓦小牛5号,72.259
涌津涌赢8号,72.2456
开元稳健一号,71.1428
涌津涌鑫6号,71.0119
星台1号,70.3665
涌津涌赢2号,70.2518
天谷至诚1号,69.93
涌津涌鑫3号,69.4746
新湖祎海恒航一期,68.4878
紫金港6号灵活策略,68.3417
悟源盈泉二号,66.88
涌津涌鑫4号,66.6667
天谷至诚2号,66.58
天迪平稳增长2号,63.26
卓铸卓越1号,63.0986
盈阳二十二号,63.0785
优波喜马拉雅2号,61.3585
私募学院菁英135号,61.3216
天迪平稳增长3号,60.44
匀丰量化进取,60.4274
滚雪球四方稳盈1号,58.7348
中汇金凯8期,58.6979
紫金港7号灵活策略,58.445
财富自由龟兔赛跑1号,58.1
永乐财富,57.8512
菁英290号,57.3794
中国价值线一号,57.1844
天谷深度价值一号,57.1304
昱晟一号,56.5068
进化论复合策略一号,56.4891
腾龙一号,56.4602
嘉禾一号,56.3261
滚雪球3号,56.1279
佑蓝顺世,56.1224
少数派102号,55.847
证研宝,55.6633
湘军彭大帅6号,55.5396
滚雪球1号基金,55.4519
证研稳健一号,55.378
泽时二号,54.5929
滚雪球2号,53.8652
锐进29号景林多元策略,52.3442
睿渠稳赢1号,52.2284
奕歌元晟,52.1479
久铭3号,52.0892
融亨一号,51.615
中众都发一号,51.5556
证研3号,50.6521
涌津涌赢1号,50.5609
止于至善,50.049
广汇缘3号,50.0477
涌津涌赢6号,49.9595
涌津涌鑫5号,49.8667
涌津涌赢4号,49.6716
涌津博学稳健,49.6448
涌津涌赢7号,49.5082
丰源正鑫正鑫一号,49.4207
卓林草原狼一号,49.3062
成泉汇涌二期,49.1803
涌津博学稳进,49.0134
长金4号,48.3963
卓凯二号,48.2685
久铭稳利2号,48.0618
少数派26号,48
冠源一号,47.9
金连接滚雪球12号,47.5397
上元3号,47.4616
太极1号基金,47.4383
景林优选2号,47.4246
恒丰一号,47.0348
私募工场亚洲价值长线回报,46.8022
诚朴息壤一号,46.5632
万象汇富八号,46.449
利得汉景1期,46.3934
鹏山长期回报1号,46.2326
新风口价值成长1号,46.1868
滚雪球价值精选,46.1506
果实长期成长1号,46.1488
同犇尊享2号,46.0562
中金银海凤凰一号,46.0057
今港优选,45.9507
东方鼎泰2期,45.727
成泉风险缓冲1期,45.6889
川行主观1号,45.5837
天下溪基金,45.3466
温瑞福4号,45.1113
华策1号,45.0197
上元1号,44.9454
相生3号,44.5534
高信百诺1期,44.4366
金钥匙东方港湾港股通2号,44.2002
久铭2号,44.0982
锦水源一期,43.9951
同犇尊享1号,43.9648
福建滚雪球融晨1号,43.9189
宝银创赢摇钱树股指自动化策略基金23号,43.5509
宝银创赢28号,43.3277
共泰投资1号,43.3
金钥匙东方港湾港股通1号,43.1398
同犇智慧1号,43.0641
广汇缘1号,43.0364
成泉2期,43.0247
聚隆基金2号,43.0242
广汇缘5号,42.874
万顺通一号,42.8571
滚雪球西湖2号,42.6966
相生五号,42.6587
晓峰1号睿远,42.4645
大满贯,42.3773
证大久盈旗舰5号,42.3761
藏宝图永州1号,42.3453
陨石掘金一号,42.252
坚实1号,42.2379
长江汉景港湾1号,41.8865
马拉松全球,41.7939
景林稳健,41.7911
景林精选2号,41.72
财掌柜种子基金一号,41.5856
乾和资产纵横二号,41.545
蓝筹2期,41.3084
私募工场静远轩,41.2434
蓝筹1期,41.2297
斯同1号,40.964
中科智1号,40.9088
中金银海稳健增长,40.8489
望正基石投资一号,40.8341
玖巴一号,40.796
同犇财通5期,40.7652
能信1号,40.5998
证研五期,40.5019
上河2号,40.4548
长金7号,40.4148
东方港湾创业成长,40.4073
汉景港湾3号,40.3439
高信百诺价值成长,40.3249
中国价值线二号,40.2752
少数派105号,40.2
卓凯一号,40.1836
少数派29号,40.0786
凤翔多利,39.9963
望正精英鹏辉2号,39.7817
国泓稳健1期,39.6166
成恩五号,39.5486
和盛丰悦1号,39.5305
私募学院菁英24号,39.4788
长金9号,39.3522
汉景港湾4号,39.3237
同犇6期,39.2104
滚雪球西湖1号,39
嘉恳天启1号,38.9938
福建滚雪球千里马1号,38.8802
高毅利伟精选唯实,38.7679
同犇2期,38.6904
上元2号,38.563
源乐晟3期(富锦21号),38.5239
最具巴菲特潜力汇丰盈对冲1号,38.4273
浙商汉景港湾1号,38.3723
成泉风险缓冲3期,38.3469
成恩三号,38.2161
