产品简称,当年收益%
华润信托昀沣4号集合资金信托计划,14.16
蓝海一号,184.6384
上元1号,107.2384
辰阳恒丰1号,88.7468
天玑财富4号,72.9
凡得幸福战略并购,70.1799
华侨壹期8号,62.7435
卓泰阳光举牌1号,61.5854
阳光举牌1号,60.3099
九坤量化混合私募1号,57.6158
鑫增长1号,55.6352
富恒精选一号,54.3878
潼骁成长精选三期,46.7514
晟维价值,45.6
私募学院菁英88号,45.4358
金田龙盛,43.5444
聚睿2号,42
卓汇财富3号,41.3759
千波小盘1号,40.6605
世纪方略君鼎1号,37.9848
杜兹三号,37.9499
景石二期,35.8071
钰淞(精选一期),34.3872
德汇投资精选择2期,32.2162
稳健增长,31.6523
格雷成长3号,31.57
华霖进取一号,31.5594
金诚立达海中湾8号,31.4231
奥杉天壹基石1号,31.3675
梦真一号,29.8677
飞旋成长五期,29.8573
赋成瑞翔量化10号,28.9
新湖赋成量化11号,28.6
巴克夏月月利1号,28.5712
道亨成长1号,27.9
宁聚满天星,27.7713
国贸映雪2号,27.7
九铭恒升,27.5278
和盈片叶,27.4
弘尚资产灵活配置,27.3509
润樽沪港通,27.3364
贤华一期,27.1
三智天鸿二号,26.9036
海中湾(齐鲁)3号,26.6436
英大安之衡15号,26.4234
艺蓝一期,26.1626
伯洋六期,25.9569
恒昌格物一号,25.8065
九旭1号,25.7977
私募学院菁英35号,25.79
瀚木资产瀚木一号,25.677
乾图价值趋势1号,25.3539
九旭1号A,25.1188
中国梦二期,24.7024
默驰对冲1号,24.4562
五矿鑫扬智选一号,24.3549
海中湾2号,24.0812
小市值精选策略一期,24.0032
波若精选1期,23.8806
智博方略2期(续),23.8782
汇创稳健1号,23.8119
潮金创投1号,23.3191
海中湾(中信)基金1号,22.7853
优扬1号,22.6913
新阳壹号,22.64
睿洪一号,22.58
祥和1号,22.1103
兆顺一号,21.8301
启创一号,21.7217
塔晶老虎1期,21.4885
量道开普勒1号,21.4712
江阴睿信主题成长1期,21.4354
暖流叶山股票1号,21.4145
欣筠和一期,21.1847
英卓量化期旺精选,21.1202
尚谦1号,21.1
弘尚资产耕耘中国A,21.028
钜垣投资健康中国一号,20.6445
珺墀价值投资甄选系列,20.5
江阴睿信主题成长2期,20.3499
金中和西鼎,19.9831
星壤1号,19.8
泽元朴厚专享1号,19.7927
佳友1号,19.7907
盈阳十九号,19.7697
永升致远1期,19.4789
东方港湾价值投资2号,19.1172
民创8号,19.0923
鲸象稳健1号,18.8562
财富广誉远安宫清心,18.7688
淡水泉专项基金2期,18.575
融鑫5号,18.5399
青骓西格玛套利一期,18.4476
钰融一期,18.2692
海顺交易宝一号,18.1
信达量睿恒量化绝对收益1号,18.0431
卓泰2号基金,18.0342
鹤骑鹰奇异指数对冲,18.0059
私募学院菁英139号,17.5953
格雷一期,17.3681
添华1号,17.31
瀚信猎鹰1号,17.2581
德汇成长2期,17.1418
沃蓝一期,16.6002
灿熙10号,16.5127
邦得2号,16.5
圣盾成长1号,16.48
映雪百丈冰1号,16.2645
盛冠达股票量化1号,16.2
同威3期,16.0925
广东鼎桥稳健一期,15.9509
默名融智阳光12期,15.9459
双头鹰伍号,15.8927
宏禾种子1号,15.7283
格雷二期,15.6054
金海10号,15.5689
智博方略快乐人生1号,15.5164
七王瑞德2号,15.3846
伯洋五期,15.3539
众禄A股新股10号,15.1936
浅湖2号,15.106
元上大科一号,15.1
华侨壹期9号,15.1
等风来幸福,15.0513
赤子之心成长,14.975
东达价值增长一期,14.8703
身安道隆100,14.8656
尚诚壹品瑞雪精选1号,14.8485
金楠聚富1期,14.7073
浊清价值二号,14.6142
昭图2期,14.6
瀚信猎鹰2号,14.5805
福建滚雪球32号,14.5208
德汇成长1期,14.4194
无量1期,14.4
林园3期,14.3957
春风,14.3054
达仁卓越2号,14.2995
志开慧泉,14.29
旭诚辉煌,14.2561
天风源泽添1号,14.165
天风源泽添2号,14.1451
天风证赢1号,14.1366
天风源泽添4号,14.1352
天风证赢2号,14.1167
赤子之心价值,14.0759
天风源泽添3号,14.0557
天风源泽添5号,14.0258
乐金致远1期,14.0128
九旭2号,13.9847
北极星1号,13.9
龙隐1号,13.9
谊恒多品种进取1号,13.9
未来汸呈红利士8号,13.8009
龙全进取1期,13.8
江海龙2号,13.7546
福建滚雪球33号,13.7464
伯洋一期,13.7332
君范跨境套利1号,13.7323
金沙海枫,13.7
宝润达价值成长壹号,13.7
福建滚雪球31号,13.6496
赤子之心招商单一信托,13.5924
伯洋三期,13.5047
鹏华资产赤子之心价值1号,13.4295
菁英7号,13.3981
宁波海顺1号,13.3422
大鹏湾财富三期,13.3152
港股价值精选一号,13.2
林园2期,13.1765
金域量化5期,13.0435
光大兴富进取5期第1期,13.0316
长金银信宝6期,12.999
恒赢稳健1号,12.963
道亨成长2号,12.9556
旭诚五期,12.8183
景石一期,12.7869
橡谷成长一号,12.7207
鼎润1期,12.6232
元达信财富尊享1期,12.5389
乾立亨趋势策略1号,12.4193
默名十一期,12.4177
明汯稳健增长1期,12.4144
天信万霁1期,12.4
牛行一号,12.3882
天启谷羊,12.3264
泽泉信德,12.2644
千波1号,12.2594
金域量化2期,12.2573
黑天鹅林氏家族,12.2449
林园,12.2259
A,12.2145
钜沣量化1号,12.2
海中湾开泰6号,12.1099
昭图3期,12.0527
财富11号,12
鼎熙稳健成长1号,11.9048
华银领先十六期,11.88
恒龙01号,11.747
神州牧1号,11.7211
凤翔长盈,11.648
龙萨精品一号,11.6128
惠嘉稳健成长,11.609
观富策略1号,11.5923
神州牧1号,11.5815
盛运德诚趋势2号,11.5498
华尔进取3号,11.5
海中湾腾实,11.4185
