产品简称,当年收益%
泽熙3期,362.65 
泽熙1期,356.57 
清皓1期(小雅1号..,263.46 
泽泉景渤财富,252.23 
倚天雅莉3号,248.71 
中山宝睿精选,202.20 
泽熙4期,198.48 
泽熙5期,175.33 
和聚鼎宝2期,167.22 
金陀罗飞龙一号,161.90 
北京天启螣蛇投资,159.38 
毕咸01期,152.93 
泽熙2期,150.88 
私募领导者第1期(..,146.54 
兆意1期,142.37 
泽泉财富管家1号,142.28 
丰大一号,139.04 
泽泉盛辉,136.18 
稳健增长,125.30 
和聚鼎宝1期,122.62 
中金-云信私募工场..,122.20 
太平洋红珊瑚3号,121.14 
泽泉涨停板1号,116.99 
卓泰2号基金,114.49 
690号,111.48 
786号,111.26 
692号,109.72 
中金-云信私募工场..,105.70 
私募工场第(六期)..,103.09 
中金蓝海中华成长品..,101.95 
中金-云信私募工场..,101.50 
云信私募工场(八期..,99.56 
景富趋势成长一期,99.12 
源乐晟策略创新3期,98.39 
巨杉净值线1号,97.12 
中山盛翔2号,94.82 
清水源1号,94.59 
神州牧1号,94.43 
泽泉涨乐1号,91.49 
新奥毅赢2号基金,89.16 
展博恒享1期,88.69 
融惠优选2期-2,88.65 
融智新锐10期(泽..,88.49 
融新293号(金河..,88.45 
源乐晟8期,87.11 
国泰君安君享龙鼎一..,85.83 
金陀罗飞龙二号,85.41 
银帆8期,83.35 
鸿逸安泰一号,82.77 
汇盈一期,82.10 
共盈大岩量化进取,82.03 
泽泉福虹财富,79.04 
纯熙精选1期,78.10 
航长常春藤,77.97 
融惠优选2期-3,77.58 
金蕴21期(泓璞1..,76.56 
785号,76.54 
力量一号,76.34 
仙童1期(海南成长..,75.52 
睿翔1号第一期,74.98 
新思哲1期,74.36 
航长常春藤2号,73.58 
诚盛1期,73.05 
和聚兴享1期,71.84 
黑森九号,71.53 
国泰君安君享展博一..,70.68 
巨杉净值线3号,70.43 
正弘1号,70.43 
财通财丰1号,69.96 
钜融金鳞1号,69.61 
浙商金惠3号,69.58 
银帆7期,69.56 
丰岭稳健成长1期,69.40 
新价值19期,67.46 
久富2期,67.24 
A基金,67.10 
精英之从容A,66.50 
京福1号,66.49 
源乐晟3期(富锦2..,66.47 
巨杉净值线7号,66.43 
华邦增长1号,66.14 
森瑞独立景气,65.81 
久富1期,65.54 
泽泉信德,65.09 
红土创新红石5号,64.90 
犇牛1期,64.67 
汇富股票策略精选1..,64.48 
金狮157号,64.13 
源乐晟策略创新1期,64.05 
新价值12号,63.76 
青骓西格玛套利一期,62.67 
旭诚财富,62.65 
富腾成长三期,62.37 
乐晟精选,62.20 
大朴进取1期,61.95 
中金蓝海中华成长品..,61.92 
新价值20期,61.71 
质嘉一期,61.50 
朴道02期,61.36 
和聚多策略对冲3号..,61.27 
齐熙社会回报,60.97 
谦石1期,60.90 
金牡丹道谊稳健,60.36 
源乐晟9期,60.34 
世诚扬子二号,60.23 
朱雀18期,60.03 
华骏海石1号,59.97 
巨杉净值线4号,59.92 
黄金优选二期十号,59.71 
超豪一号,59.70 
汇盈17号,59.67 
黄金优选二期一号,59.62 
新价值成长一期A,59.44 
黄金优选二期六号,59.22 
黄金优选二期五号,59.20 
黄金优选二期三号,59.18 
银帆一期(铂金1号..,59.14 
黄金优选二期九号,58.79 
搏股通金2号,58.60 
黄金优选二期七号,58.57 
黄金优选二期八号,58.33 
博道精选5期,58.32 
黄金优选二期二号,58.22 
久富3期,58.18 
朱雀专享1号,57.99 
西藏同信同心吉祥中..,57.91 
世域2期,57.68 
巨杉净值线2号,57.61 
新价值9期,57.55 
黄金优选二期四号,57.31 
汇信-惠正1号,57.14 
摩通5号(长安投资..,57.05 
懿和1号,56.91 
新价值2期,56.88 
融新316号玖歌投..,56.75 
京福2号,56.66 
中睿合银策略优选1..,56.45 
展博5期,56.18 
源乐晟11期,55.99 
展博专注D期,55.97 
展博专注C期,55.96 
展博专注A期,55.95 
展博专注B期,55.94 
明河成长,55.89 
源乐晟7期,55.24 
泊通Ⅱ期,55.15 
国泰君安君享博道精..,54.74 
明河价值一期,54.70 
源乐晟2期,54.67 
正朗成长资产,54.49 
源乐晟6期,54.46 
鸿逸1号,54.34 
鑫扬一期,54.18 
鑫安3期,54.09 
中金在线,54.07 
世域1期,54.00 
中金-云信私募工场..,53.83 
世诚扬子3号,53.52 
源乐晟5期,53.01 
湘禾一号基金,53.00 
浙商金惠海宁钱潮,52.97 
巨杉净值线6号,52.95 
勤远1号,52.78 
源乐晟10期,52.71 
映雪霜雪2期,52.70 
理成专户4号,52.64 
凯石复元成长1号,52.41 
源乐晟全球成长,51.69 
天勤1号,51.61 
第一创业大岩资本量..,51.29 
中金-云信私募工场..,50.89 
新价值8号,50.87 
理成风景2号,50.81 
双盈二号,50.75 
建信积极成长1期,50.68 
中金-云信私募工场..,50.65 
归富成长复兴二号A,50.36 
名禹稳健增长,50.32 
鑫安1期,50.21 
华物君裕11号基金,50.10 
展博1期,49.88 
展博精选A号,49.59 
展博精选D号,49.59 
展博精选B号,49.58 
展博精选C号,49.49 
高信百诺1期,49.45 
新价值10期,49.32 
弘硕锦创中国成长1..,49.31 
浙商金惠引航,49.23 
中金-云信私募工场..,49.18 
展博2期,49.05 
汇信-信诚1号,48.82 
鑫安2期,48.79 
融裕22号,48.74 
黄金优选21期1号,48.35 
展博新兴产业,48.28 
冰剑2号,48.11 
久富4期,48.00 
国信鸿道对冲限额特..,47.75 
长安少数派5号,47.69 
鹰影尊享1号,47.53 
铜爵之强国重器2号,47.52 
中金-云信私募工场..,47.24 
金蕴87期(中金蓝..,47.13 
荣世安达睿选1号,46.89 
映雪霜雪1期,46.78 
瑞天价值成长,46.54 
私募精选1期,46.31 
私募精选2期,46.30 
中欧瑞博三期,46.21 
源乐晟4期,46.12 
冰冷1期,46.05 
自然道量化1期,46.00 
金泉量化成长1期,45.77 
世诚投资六号,45.54 
新价值4号,44.91 
冰剑7号,44.77 
汇信-普尔1号,44.67 
光华上智5期,44.43 
安信紫星成长,44.40 
仙童2期,44.39 
招商智远美丽中国,44.27 
银帆2期,44.10 
宇迪钱王山1号,43.91 
冰剑1号,43.88 
弘尚投资,43.77 
金鼎1号,43.76 
睿远理成专户1号,43.73 
海通私募稳赢2号第..,43.62 
优胜回报1期,43.59 
中睿合银8期,43.41 
道谊稳进,43.38 
中金-云信私募工场..,43.26 
铭深1号,43.13 
从容成长8期,43.03 
朱雀10期,42.98 
沃佳1期证券,42.90 
泊通1号,42.88 
中睿合银7期,42.83 
冰剑6号,42.65 
大明投资玉麟1号,42.60 
金浪一号,42.36 
谦石1号,42.04 
082号,42.02 
中信证券成长精选1..,41.98 
中睿合银9期,41.98 
框特灵活配置优选,41.90 
博道精选1期,41.88 
博道精选A号,41.87 
朱雀22期,41.72 
世富壹玖飞跃,41.65 
明河优质企业证券投..,41.65 
朱雀新机遇汇智A期,41.62 
朱雀新机遇,41.61 
达仁1号,41.36 
汇信-普尔3号,41.35 
华尔进取1号,41.29 
朱雀13期,41.21 
招商汇智之喜马拉雅,41.18 
和聚3期,40.93 
新价值3期,40.77 
和聚5期,40.74 
冰剑5号,40.71 
新同方,40.68 
谦石2号,40.65 
兆信1期,40.49 
鼎陶朱辉2期,40.49 
嘉谟1号,40.36 
朱雀17期,40.34 
华夏未来领时对冲1..,40.25 
安信尊享成长,40.23 
新价值11号,40.11 
和聚华享对冲1期,40.10 
招商汇智之天马领航,40.08 
金元证券游马地1号,40.08 
翼虎成长2期,39.96 
中睿吉祥管家10期,39.95 
融新85号(超盛一..,39.92 
中睿合银二期,39.91 
沣杨旺德福,39.87 
穗富11号(长安投..,39.86 
裕晋投资9期,39.78 
道谊量化增强1期,39.77 
呈瑞优势1期,39.71 
和聚2期,39.53 
黄金优选二期十一号,39.42 
光大金控-泰石瑞丰..,39.27 
浙商金惠2号,39.00 
新价值1期,39.00 
永瑞3号,38.93 
国泰君安君享富利,38.92 
银帆6期,38.90 
朱雀12期,38.71 
朱雀9期,38.57 
理成转子专户01号,38.50 
沣杨锦绣,38.47 
光大金控-泰石瑞丰..,38.26 
和聚4期,38.20 
朱雀4期,38.18 
翼虎产业转型机会一..,38.04 
汇盈9号,37.94 
和聚1期,37.90 
光大金控-泰石瑞丰..,37.89 
禾昇一号,37.75 
国道量化基金一号,37.63 
朱雀19期,37.61 
中睿合银弈势1号对..,37.60 
铭渡优势成长1号,37.51 
中睿合银15期,37.48 
银垒成长1号,37.39 
金泉动量对冲基金,37.33 
银帆5期,37.29 
汇盈31号,37.19 
瀚信成长5期,37.11 
新价值5号,36.92 
升阳2期,36.87 
聚益2号,36.80 
银石3号,36.78 
溪牛长期回报基金,36.71 
投资精英之朱雀A,36.60 
中域津和1期,36.57 
博颐精选,36.34 
睿鉝量化对冲1期,36.34 
从容优势7期,36.13 
新价值16号,36.02 
君盈成长,35.98 
黄金优选4期2号,35.96 
明日之星第5期-昀..,35.94 
金蕴12期,35.92 
衍航1号,35.86 
齐鲁言起1号,35.78 
朴石7期,35.76 
兆金鸿1号,35.56 
鼎锋5期,35.55 
融新74号(富恩德..,35.48 
博颐精选2期,35.41 
黄金优选4期3号,35.28 
黄金优选4期1号,35.27 
智博方略快乐人生1..,35.26 
培蓝壹号,35.16 
太阳帆投资基金,35.11 
浦江之星130号,35.10 
玖阳一号,35.08 
朱雀5期,35.06 
博颐稳健1期,34.87 
长安投资280号(..,34.76 
东源嘉盈3期,34.75 
太平洋红珊瑚8号,34.74 
从容医疗精选,34.74 
太和先机策略精选3..,34.69 
智博方略2期(续),34.63 
汇创稳健一号,34.59 
睿远和聚招享,34.55 
裕晋5期,34.54 
国轩,34.53 
冰剑10号,34.53 
先锋1号,34.49 
中金-云信私募工场..,34.45 
或然赋利1期,34.32 
聚富二号(泽龙投资..,34.31 
鼎锋8期,34.26 
喜马拉雅1期,34.25 
承泽股票二号基金,34.22 
峪源量化多策略资产,34.15 
投资精英之翼虎A,33.92 
恒添新青年一号,33.87 
中卓成长1期,33.85 
银石5期,33.81 
从容稳健1期,33.81 
汇信华安1号,33.64 
和聚7期,33.59 
尚诚,33.52 
悟空对冲量化三期,33.40 
中欧瑞博1期,33.38 
朱雀新经济,33.28 
海西晟乾2号,33.26 
理成转子3号,33.18 
安蕴7期(盈峰成长..,33.03 
黄金优选17期5号,33.03 
黄金优选17期6号,33.03 
巴沃成长一号,32.90 
汇信-普尔2号,32.86 
泰瓴-泰九2期,32.84 
龙腾3期,32.82 
中金-云信私募工场..,32.82 
招商汇智之凤翔1号,32.79 
对冲精英之睿策四期..,32.73 
朱雀合伙专项,32.63 
惠正成长,32.63 
对冲精英之睿策二期,32.57 
朱雀3期,32.56 
国泰君安君享弘利二..,32.52 
和聚8期,32.43 
锐进2期,32.39 
银河投资智富理财2,32.19 
穗富5号,32.14 
华展金丰财源广进1..,32.14 
汇信得3期,32.06 
银石1期,31.62 
翼虎成长1期,31.62 
巨杉净值线8号,31.61 
信复创值2号,31.59 
锐进3期博道目标缓..,31.55 
呈瑞6期,31.52 
翼虎成长3期,31.41 
朱雀20期,31.40 
齐鲁金泰山2号(展..,31.36 
理成消费分红(转子..,31.35 
磐信1期,31.34 
从容医疗2期,31.31 
鼎锋18期,31.26 
汇信-景林1号,31.26 
建信稳健增值2期,31.09 
厚道量化对冲1号,31.00 
聚益3号,30.82 
汇信-泓德3号,30.68 
