产品简称,当年收益%
天成壹号,231.5535
雨山寻牛1号,217.0732
否极泰,214.2961
优波基金,207.9939
川行主观1号,192.3777
冬拓三号,190.1
喜马拉雅基金,165.4361
谦颐稳健防御1号,152.9167
涌津涌鑫6号,148.4047
希瓦小牛3号,139.1418
高合稳进2号,139.1097
希瓦小牛1号,137.5149
天谷至诚1号,135.21
美港基金,135.1624
璟恒五期,132.9429
复胜正能量一期,132.8316
天谷价值精选一号,132.1421
希瓦小牛5号,131.2834
冠丰糖糖1号,131.1181
长江基金,130.7483
天谷至诚2号,128.61
赛亚成长1号,127.8953
蓝海战略一号,125.4476
林园投资2号,120.91
红林菁英212号,119.3573
匀丰量化进取,119.1898
私募工场天猊2号,115.7205
君行5号,108.9937
卓凯二号,106.626
涌津涌赢1号,106.5705
赛亚美纯基金,106.2731
林园投资1号,105.88
马拉松全球,104.3893
刺猬1号,99.2349
诚朴息壤一号,97.8483
锐进29号景林多元策略,97.2584
共泰投资1号,97.08
京泰晟,96.8631
优资顺盈,93.8815
今港优选,93.5418
优波喜马拉雅2号,91.1992
抱朴一号,91.0341
高合稳进1号,90.7037
中都一号,89.8001
金连接滚雪球12号,89.6032
同犇智慧1号,87.8671
九霄稳健成长二号,87.7004
利得汉景1期,87.6258
成泉汇涌一期,87.5862
朴信创新1号,85.4637
大禾投资掘金5号,85.0476
金钥匙东方港湾港股通1号,84.6335
卓铸卓越1号,84.5002
金钥匙东方港湾港股通2号,84.3473
海通拓商一号,84.1438
少数派102号,84.0437
福建滚雪球31号,83.8291
天谷深度价值一号,83.4789
飞旋成长五期,83.1463
同犇尊享2号,82.8951
万象汇富八号,81.1429
长金4号,80.8225
长江汉景港湾1号,80.7826
景林全球基金,80.6846
添益一号,80.4094
大禾投资掘金1号,79.7563
涌津涌赢8号,79.5883
今港成长1号,79.5363
望正基石投资一号,79.1465
同犇尊享1号,78.9532
高信百诺1期,78.5957
青榕中华,78.5747
涌津涌赢2号,78.0572
汇杉稳健成长1号,78.01
景林优选2号,77.9634
望正精英鹏辉2号,77.9067
望正精英浩然1号,76.8317
红亨稳赢一期,76.2916
福建滚雪球千里马1号,76.2053
止于至善,75.2818
坚实1号,75.2016
汉景港湾4号,75.182
证大久盈旗舰5号,75.1588
福建滚雪球融晨1号,74.8874
温瑞福菁英,74.2677
景林稳健,74.2218
少数派4号,74.2152
景林精选2号,74.12
泽升优选成长1期,73.79
