"","产品简称","当年收益.","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]"
"1235","德邦三板启航1号",-3.67,"-3.6",-2.85,-1.09
"1134","德丰华1期",1.14,"12.91",16.68,17.32
"1008","德汇成长1期",6.35,"15.22",19.34,14.06
"896","德汇稳健一号",11.2,"19.9",26.62,18.16
"629","德骏核心1号",21.65,"21.83",23.1,22.28
"684","德源安1号",19.48,"40.39",34.53,32.77
"1075","德源安1期",4.14,"25.55",21.74,18.69
"1283","德源安战略成长3号",-6.63,"10.86",6.26,3.46
"935","鼎锋10期",9.6,"14.96",20.17,28.23
"592","鼎锋16期",22.82,"30.08",33.74,40.43
"411","鼎锋18期",31.26,"35.92",41.43,41.76
"803","鼎锋2期",15.13,"22.11",32.07,41.15
"866","鼎锋4号",12.26,"15.66",16.81,23.69
"334","鼎锋5期",35.55,"40.14",47.94,56.31
"361","鼎锋8期",34.26,"38.56",45.83,46.66
"724","鼎锋成长3期",18.1,"19.5",24.72,18.78
"861","鼎锋成长一期",12.35,"19.59",27.28,33.51
"782","鼎锋成长一期B号",16.02,"21.13",23.35,27.04
"521","鼎锋海川一期",25.63,"28.74",32.95,37.09
"1182","鼎诺目标分红1期",-1.47,"3.42",-3.82,6
"1424","鼎诺秋实1期",-19.17,"-15.58",-12.56,0.4
"627","鼎润1期",21.7,"25.42",23.8,33.08
"911","鼎萨13期",10.6,"25.81",32.13,40.55
"1128","鼎萨1期",1.4,"20.41",21.55,26.89
"1137","鼎萨3期",1,"14.95",25.93,27.98
"1468","鼎萨价值成长基金",-35.76,"-21.79",-7.6,4.41
"967","鼎萨价值精选1期",8.22,"26.48",29.92,37.38
"464","鼎萨资产1期",28.24,"36.07",39.1,42.04
"993","鼎泰岩1期",6.93,"22.25",27.56,33.69
"847","鼎泰岩2期",12.93,"26.38",39.62,71.8
"267","鼎陶朱辉2期",40.49,"41.85",36.76,17.22
"1129","东北证券融通一期",1.28,"13.07",14.94,14.61
"554","东方港湾1期",24.34,"22.38",23.03,23.28
"463","东方港湾马拉松",28.25,"27.46",28.58,27.82
"558","东方红先锋1号",24.28,"37.81",44.45,46.9
"1328","东方红先锋2号",-9.65,"6.66",14.21,15.77
"553","东方红先锋3号",24.34,"37.53",37.16,50.18
"548","东方红先锋6号",24.61,"38.07",37.11,35.7
"817","东来方元1号",14.54,"22.64",22.37,25.03
"773","东源1期",16.23,"22.64",20.82,26.53
"347","东源嘉盈3期",34.75,"43.96",43.17,51.29
"1383","东源嘉盈五期",-14.38,"-5.84",-9.39,-9.41
"816","冬泉谷对冲2号",14.61,"28.49",25.72,36.65
"390","对冲精英之睿策二期",32.57,"39.16",42.09,45.47
"424","对冲精英之睿策三期",30.14,"36.85",39.79,43.08
"1400","多策略创赢1期",-16.04,"-12.79",-13.36,-10.52
"829","恩瑞索1期",13.86,"11.38",10.98,10.59
"1170","凡德对冲1号",-0.71,"15.09",22.97,32.83
"473","泛涵正元",27.97,"29.62",29.48,29.87
"1316","方德广润",-8.4,"-5.9",2.6,31.2
