"","产品简称","当年收益.","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]"
"326","君盈成长",35.98,"62.26",68.49,89
"1021","君泽利2号",5.87,"10.6",-7.03,-16.49
"546","峻谷一号稳健成长",24.65,"44.05",50.92,55.67
"980","浚昶1期",7.46,"5.52",10.36,16.81
"923","珺容二期",10.03,"9.4",7.91,15.32
"616","珺容一期",22.02,"21.83",20.47,29.2
"1003","开宝1期",6.52,"8.77",11.51,13.23
"1037","开宝2期",5.05,"18.79",25.07,29.89
"1088","凯石三期A",3.32,"10.54",12.38,13.91
"1206","凯顺2014",-2.58,"3.7",4.39,8.91
"1421","凯信1号",-18.39,"-3.62",5.89,10.49
"903","康曼德001号",10.75,"21.94",19.16,22.22
"1293","苦行僧一号",-7.5,"-5.6",16.1,23.9
"750","宽远价值成长",17.18,"21.83",20.96,31.4
"247","框特灵活配置优选",41.9,"44.05",54.11,56.42
"927","昆仑鼎信价值增长",9.81,"15",7.92,7.57
"769","昆仑时代1号",16.35,"36.5",39.02,45.26
"806","蓝之舰2期(远见)",15.06,"4.76",14.55,12.81
"94","乐晟精选",62.2,"75.34",85.56,87.1
"173","理成风景2号",50.81,"74.43",90.85,120.28
"639","理成风景3号",21.45,"33.85",43.07,46.74
"618","理成风景7号",21.87,"20.18",20.91,24.97
"166","理成专户4号",52.64,"78.67",81.86,89.41
"467","理成转子2号",28.14,"56.44",66.69,73.69
"377","理成转子3号",33.18,"60.17",74.42,95.11
"1168","理成转子4号",-0.65,"7.17",12.5,14.88
"1046","理成转子5号",4.7,"14.8",21.99,22.29
"881","理成转子7号",11.84,"13.98",16.3,18.41
"58","力量一号",76.34,"100.82",106.75,109.18
"1118","立华价值3期",1.92,"12.86",14.06,22.12
"669","励石一号",20.24,"26.99",31.16,48.29
"985","励远1期",7.21,"7.51",6.42,8.36
"511","联合成长1号",26.05,"33.67",34.91,38.51
"777","联合成长2号",16.15,"20.46",21.48,24.96
"1472","联讯价值1号",-36.96,"-32.62",-30.81,-32.16
"969","量华1号",8.03,"9.76",15.86,13.49
"508","量化2号",26.14,"25.97",25.55,25.71
"630","量化3号",21.64,"21.54",21.47,21.55
"922","林园",10.15,"16.46",24.39,28.15
"1031","林园2期",5.33,"14.3",22.13,24.38
"1036","林园3期",5.13,"14.71",22.64,27.43
"871","领新安盈5号",12.15,"22.64",20.12,25.17
"583","六禾财富东莞",23.39,"29.8",30.52,28.38
"677","六禾财富竹溪",19.8,"24.37",26.4,33.38
"736","六禾光辉岁月1期",17.77,"25.82",27.63,35.36
"1476","龙票1期",-38.17,"-34.78",-34.97,-31.14
"384","龙腾3期",32.82,"49.74",78.06,76.41
"574","龙腾5期",23.84,"39.72",67.75,67.78
"738","龙腾9期",17.74,"24.69",41.83,35.78
"757","陆宝点金精选",16.85,"17",16.78,15.44
"770","论德1期",16.31,"18.3",14.3,15.72
"419","论德2期",30.43,"33.27",31.94,35
"789","麦星",15.62,"26.74",30.98,35.92
"1298","懋峰二号",-7.81,"-7.3",-11.81,-7.37
"1290","懋峰进取一号",-7.25,"-6.99",-12.03,-7.7
"1297","懋峰三号",-7.71,"-7.38",-12,-7.78
"1339","懋峰一号",-10.51,"-10.22",-14.94,-11.84
"1262","美红1号",-4.93,"-4.87",17.97,15.57
"1203","美联融通1期",-2.3,"20.32",37.85,24.89
"1073","民森A号",4.19,"14.5",20.77,17.07
"1011","民森B号",6.2,"16.38",22.51,19.89
"894","民森E号",11.25,"21.77",21.75,25.14
"937","民森F号",9.57,"19.74",18.82,17.69
"819","民森G号",14.38,"24",22.86,25.06
"1299","民森H号",-7.86,"-5.41",-5.89,-3.26
"1109","民森K号",2.51,"9.42",9.2,12.67
"178","名禹稳健增长",50.32,"60.25",64.5,65.85
"815","明达",14.63,"28.86",33.07,42.98
"642","明达2期",21.34,"23.25",39.06,36.35
"1027","明达3期",5.55,"13.45",22.06,25.29
"1010","明达4期",6.26,"16.31",20.91,28.29
"653","明达6期",20.79,"33.61",38.92,50.8
"955","明达7期",8.81,"18.8",23.24,32.58
"1169","明达精选A号",-0.69,"6.51",14.34,17.28
"144","明河成长",55.89,"61.83",62.92,70.42
"148","明河价值一期",54.7,"59.6",59.66,65.07
"1025","明华新兴成长",5.59,"11.21",16.18,24.69
"1403","明曜1期",-16.28,"-9.79",-7.94,-5.97
"1343","明曜精选1期",-10.74,"-1.75",0.8,2.61
"1263","明曜启明1期",-4.94,"4.66",5.69,6.49
"1256","明曜启明2期",-4.68,"5.57",9.42,11.81
"308","铭渡优势成长1号",37.51,"43.13",36.54,65.08
"234","铭深1号",43.13,"54.01",59.29,68.28
"1455","铭远丝绸之路",-28.38,"-23.67",-25.64,-24.3
"943","摩通成长1号",9.29,"19.41",8.94,7.2
"409","磐信1期",31.34,"35.67",37.96,41.44
"340","培蓝壹号",35.16,"30.19",30.11,30.13
"1002","鹏诚二期",6.55,"7.88",11.72,11.45
"1033","品正理翔2期",5.16,"19.95",25.77,27.21
"1331","平安价值投资一期",-9.73,"-2.59",-4.05,3.37
"796","平安金牛一期",15.21,"23.98",28.51,32.27
"665","平安徐星1号",20.43,"23.44",24.66,31.3
"834","平安证大一期",13.77,"15.76",15.27,23.94
"1167","平石对冲V1",-0.55,"1.49",2.59,3.14
"1199","平石尊悦",-2.04,"0.31",0.29,2.38
"99","朴道02期",61.36,"92.95",105.23,112.56
"444","朴石1期",29.11,"35.74",38.2,41.25
"746","朴石2期",17.36,"23.89",24.62,27.81
"744","朴石3期",17.43,"24.52",26.15,28.58
"798","朴石5期",15.21,"21.53",22.47,25.24
"1212","朴石6期",-2.75,"2.54",4,7.26
"332","朴石7期",35.76,"43.83",46.01,49.68
"342","浦江之星130号",35.1,"46.67",54.39,48.55
"564","七彩祥云-传奇",24.06,"30.51",31.25,40.24
"101","齐熙社会回报",60.97,"75.16",82.82,87.68
"576","骐邦涌利稳健成长",23.76,"37.56",55.13,56.95
"243","谦石1号",42.04,"44.62",51.38,58.44
"102","谦石1期",60.9,"64.69",67.49,75.77
"265","谦石2号",40.65,"43.55",50.02,51.73
"532","前海一线对冲",25.47,"31.69",33.04,38.07
"1121","钱爸爸智牛一期",1.75,"4.29",4.55,7.38
"916","乾信中国影响力",10.27,"14.11",16.92,21.03
"1179","乾阳投资1期",-1.35,"3.5",8.36,19.96
"163","勤远1号",52.78,"53.5",51.35,52.62
"91","青骓西格玛套利一期",62.67,"62.35",62.51,62.76
"37","清水源1号",94.59,"105.14",106.71,109.91
"1077","清水源4号",4.11,"11.39",12.67,15.24
"1055","清水源成长",4.58,"11.14",11.64,13.53
"1425","清水源优势",-19.33,"-13.58",-11.24,-10.48
"1304","秋阳1期",-7.97,"6.96",23.67,69.11
"1157","秋阳3期",0.23,"16.17",35.47,76.49
"205","荣世安达睿选1号",46.89,"63.72",72.69,81
"634","榕树文明复兴",21.58,"19.15",16.38,16.93
"475","榕树文明复兴二期",27.9,"18.8",18,20.8
"442","融昌3期",29.13,"44.44",40.54,46.16
"1105","融昌蓝宝石基金",2.7,"11.22",10.63,11.05
"1327","融汇8号",-9.55,"9.42",8.15,40.13
"468","融惠优选2期-1",28.12,"31.69",32.44,24.86
"42","融惠优选2期-2",88.65,"82.41",85.18,47.96
"55","融惠优选2期-3",77.58,"81.99",91.68,68.53
"525","融惠优选2期-4",25.59,"29.19",19.78,1.48
"637","融兴进取2号",21.51,"40.57",49.88,59.32
"194","融裕22号",48.74,"39.54",42.48,50.41
"1132","融裕9号奕金安3期",1.19,"10.27",10.44,28.03
"545","融裕瀚信成长10期",24.66,"25.79",24.7,28.74
"882","锐集一号",11.84,"12.01",12.75,13.28
"932","锐进12期鼎萨",9.66,"15.59",20.64,30.45
"394","锐进2期",32.39,"36.7",47.35,51.61
"989","锐进6期",7.15,"6.55",8.52,20.01
"939","瑞森林",9.55,"22.25",30.71,31.1
"544","瑞天3期",24.87,"49.54",61.86,61.67
"1136","瑞天5期",1.02,"19.78",29.01,29.79
"207","瑞天价值成长",46.54,"64.84",80.93,77.72
"812","瑞象丰年",14.72,"31.85",42.26,39.87
"478","睿策1期",27.7,"34.69",37.93,43.1
"517","睿策2期",25.82,"32.88",35.96,40.8
"465","睿策3期",28.22,"36.12",39.09,43.3
"483","睿策量化1期",27.42,"33.35",37.22,43.33
"438","睿策诺亚对冲",29.22,"36.99",40.53,46.4
"632","睿金1号",21.59,"18.82",19.12,19.15
"633","睿金2号",21.58,"18.81",19.11,19.14
"323","睿鉝量化对冲1期",36.34,"37.78",39.03,40.56
"486","睿添富2号",27.3,"39.78",44.62,56.97
"543","睿添富3号",24.89,"41.34",46.34,60.43
"60","睿翔1号第一期",74.98,"96.25",120.78,122.49
"859","睿信",12.41,"17.87",24.63,23.73
"1102","睿信1期",2.8,"10.95",11.63,16.63
"813","睿信2期",14.7,"24.99",30.38,30.49
"942","睿信3期",9.39,"19.02",24.19,23.95
"865","睿信4期",12.29,"26.75",33.91,36.45
"822","睿信5期",14.32,"16.74",28.67,30.62
"1093","睿信成长1期",3.06,"9.66",12.09,15.93
"849","睿星财富1号",12.8,"25.55",13.24,0.83
"523","睿源1号",25.6,"23.71",27.26,27.51
"353","睿远和聚招享",34.55,"40.21",44.47,46.72
"765","睿远鸿道5期",16.53,"19.59",21.85,20.14
"703","睿远汇利精选",18.74,"19.07",38.16,46.06
"884","睿远景林1期",11.79,"19.86",14.88,17.69
"228","睿远理成专户1号",43.73,"64.31",73.81,83.41
"1230","睿远六禾1期",-3.43,"-0.14",0.1,6.42
"1334","睿远民森1期",-10.22,"-0.73",-0.83,1.58
"1103","睿远重阳",2.77,"7.21",12.98,21.23
"661","睿智共赢",20.54,"18.97",13.26,9.16
"995","润桂投资国润一期",6.89,"13.29",7.19,7.38
"920","润晖稳健增值",10.18,"18.38",16.7,23.44
"82","森瑞独立景气",65.81,"80.38",83.44,64.16
"828","森瑞医疗服务",13.9,"37.89",32.8,33.18
"913","上善目标缓冲",10.38,"16.46",24.86,23.42
"504","上善若水3期",26.34,"31.72",30.86,34.24
"493","上善若水6期",26.87,"33.49",32.89,37.45
"581","上善御富2期",23.6,"44.62",41.19,47.09
"372","尚诚",33.52,"65.29",86.67,94.84
"488","尚道乾坤合伙基金",27.18,"43.22",40.85,48.82
"1023","尚雅11期",5.82,"1.32",12.1,7.35
"886","尚雅12期",11.67,"15.95",17.32,18.84
"1174","尚雅13期",-0.78,"3.86",4.66,6.66
"659","尚雅14期",20.62,"15.78",26.04,18.01
"1245","尚雅16期",-4.1,"-0.43",11.88,9.52
"780","尚雅1期",16.04,"11.06",20.5,12.96
"635","尚雅2期",21.55,"16.93",24.41,17
"578","尚雅3期",23.7,"18.99",29.37,21.68
"694","尚雅4期",19.15,"14.34",24.35,16.65
"495","尚雅5期",26.8,"20.8",30.7,22.75
"457","尚雅6期",28.78,"30.52",56.27,54.67
"872","尚雅7期",12.06,"13.33",35.33,33.53
"878","尚雅8期",11.95,"13.61",36.45,34.33
"1187","尚雅9期",-1.77,"-8.56",-7.85,-6.74
"437","神农1期",29.28,"26.44",28.83,31.72
"1141","神农飞虎",0.86,"-4.36",2.87,3.17
"1320","神农五福",-8.8,"-3.44",12.13,16.32
"38","神州牧1号",94.43,"94.59",94.38,95.37
"1261","沈阳天马时代二期",-4.88,"1.65",-1.93,-10.03
"316","升阳2期",36.87,"52.11",63.68,65.19
"814","盛世源",14.7,"15.46",15.36,19.75
"1433","盛世云鼎1期",-20.98,"-20.78",-19.98,40.76
"550","时田丰一期",24.48,"24.56",23.39,22.91
"1180","实力旗舰",-1.37,"38.09",36.84,45.52
"1228","实力稳进",-3.4,"24.74",23.21,36.03
"215","世诚投资六号",45.54,"60.57",62.15,64.28
"158","世诚扬子3号",53.52,"66.77",69.92,73.85
"105","世诚扬子二号",60.23,"71.81",76.11,77.54
"999","世富壹玖创新",6.83,"13.91",10.62,25.11
"251","世富壹玖飞跃",41.65,"50",44.84,25.01
"848","世通5期",12.81,"14.21",50.58,65.41
"1152","世通嫦娥奔月",0.38,"-0.31",50.76,57.71
"156","世域1期",54,"62.17",64.64,58.24
"127","世域2期",57.68,"61.24",58.36,66.45
"174","双盈二号",50.75,"95.44",88.65,91.93
"490","四相1期",27.1,"34.63",39.96,45.38
"1292","穗富11号",-7.42,"3.36",25.63,59.41
"610","穗富1号",22.36,"41.62",90.51,155.68
"1114","穗富2号",2.18,"18.34",60.2,64.52
"1243","穗富3号",-4.07,"23.81",67.1,48.76
"396","穗富5号",32.14,"43.04",77.35,52.19
"1130","穗富6号",1.25,"14.65",41.54,52.58
"1445","穗富8号",-25.57,"-16.71",16.16,15.89
"1112","穗富温商1号",2.2,"22.64",94.18,72.28
"1281","塔晶老虎1期",-6.59,"-7.78",4.51,-9.82
"1475","塔晶狮王",-37.77,"-27.41",-22.71,-16.65
"1463","塔晶狮王二号",-32.6,"-22.68",-18.28,-13.42
"1422","太平洋红珊瑚2号",-18.65,"-10.51",-1.12,-4.49
"22","太平洋红珊瑚3号",121.14,"121.39",121.69,120.75
"348","太平洋红珊瑚8号",34.74,"70.77",59.97,73.01
"1184","太平洋红珊瑚大消费",-1.63,"7.53",22.96,19.18
"341","太阳帆投资基金",35.11,"42.04",50.76,65.37
"1016","泰达鼎晟1期",6.17,"17.83",18.22,13.04
"623","泰瓴-泰九1期",21.8,"32.1",38.12,43.9
"383","泰瓴-泰九2期",32.84,"46.57",50.23,56.53
"655","泰瓴3期",20.74,"33.27",38.56,44.66
"1312","泰石1期",-8.38,"33.74",45.41,49.72
"476","天弓2号",27.84,"38.98",47.56,50.08
"426","天弓3号",30.08,"31.87",39.74,41.05
"502","天马量化1期",26.36,"33.75",33.18,34.8
"1287","天马一期",-6.77,"10.19",23.74,12.62
"169","天勤1号",51.61,"48",62.63,69.83
"628","天勤2号",21.68,"-6.61",-1.26,-1.08
"688","天晟源1期",19.39,"25.84",29.14,32.01
"1181","天乙1期",-1.45,"5.63",13.9,15.09
"924","天倚道樟鄂1号",10,"11.9",21.4,16.8
"863","挺浩一期",12.29,"32.72",44.21,56.08
"1408","通用汇锦1号",-17.28,"-15.94",-15.94,-13.84
"1414","通用汇锦2号",-17.67,"-16.28",-18.91,-17.05
"489","同瑞汇金1期",27.16,"29.31",31.27,31.32
"1402","同威1期",-16.13,"-13.16",-7.86,-9.65
"1336","同威2期",-10.31,"-7.3",-2.09,-3.53
"1366","同威3期",-12.65,"-8.41",-8.58,-7.45
"1144","同威一期",0.8,"5.38",2.09,-0.53
"1352","同威增值3期",-11.31,"-8.13",-7.96,-7.56
"1252","彤源2号",-4.51,"2.39",13.46,15.37
"1186","彤源3号",-1.72,"7.39",13.1,21.88
"1183","彤源5号",-1.6,"9.6",20.98,25.84
"1106","彤源6号",2.68,"6.5",19.56,29.06
"1172","彤源7号",-0.77,"16.92",34.62,44.62
"202","铜爵之强国重器2号",47.52,"54.32",58.19,90.55
"456","潼骁成长精选",28.79,"22.34",24.45,32.71
"929","投资精英之汇利A",9.73,"15.4",20.64,27.25
"775","投资精英之景林A",16.18,"24.21",21.61,19.08
"1229","投资精英之尚雅A",-3.42,"-12.14",-1.42,-6.02
"1165","投资精英之信璞A",-0.43,"3.67",6.33,17.08
"365","投资精英之翼虎A",33.92,"33.95",39.25,48.26
"1216","投资精英之云程泰A",-2.81,"29.04",43.35,42.41
"580","投资精英之展博A",23.67,"33.64",39.67,44.69
"1365","投资精英之长青藤A",-12.64,"-5.54",-5.68,-1.26
"1094","投资精英之智德A",3.03,"2.74",3.46,4.59
"672","投资精英之重阳A",20.17,"19.98",12.01,11.31
"320","投资精英之朱雀A",36.6,"44.52",45.56,59.84
"1249","图原精选1期",-4.24,"11.46",16.46,23.93
"1393","万丰友方贯升2号",-15.58,"-15.35",-15.77,-15.8
"885","万利富达",11.78,"16.65",21.2,23.41
"1465","万永2期",-34.35,"-34.49",-42.36,-51.57
"1158","炜博领航",0.22,"1.19",3.14,4.11
"1091","炜博兴航",3.28,"4.55",5.08,5.05
"1156","稳健流动性管理",0.3,"0.64",0.5,0.33
"19","稳健增长",125.3,"147.97",177.69,195.17
"965","稳增4期",8.46,"8.38",8.31,8.45
"237","沃佳1期证券",42.9,"51.9",50.7,54.4
"1013","沃胜1期",6.18,"8.76",16.21,16.43
"721","沃胜5期",18.12,"18.96",20.91,23.01
"832","沃胜二期",13.82,"16.14",21.31,24.29
"879","沃胜三期",11.92,"13.87",18.83,21.69
"1317","吾股丰登1号",-8.43,"11.52",9.82,25.98
"1277","武当10期",-6.25,"1.27",7.42,8.73
"1272","武当11期",-5.96,"1.06",9.28,11.58
"1225","武当12期",-3.32,"3.47",12.48,14.46
"1200","武当13期",-2.07,"4.57",12.62,14.08
"1271","武当14期",-5.86,"1.18",9.28,10.91
"1178","武当1期",-1.22,"6.86",10.59,13.07
"1279","武当3期",-6.38,"1.62",8.44,9.85
"1211","武当4期",-2.74,"4.59",10.96,12.38
"1242","武当5期",-4.06,"3.07",11.18,12.55
"1237","武当6期",-3.79,"3.63",9.92,11.7
"1096","武当7号",2.94,"10.14",18.94,20.79
"1142","武当8号",0.83,"7.87",16.33,18.1
"1314","武当9号",-8.39,"-0.95",7.08,8.67
"895","武当稳健增长",11.03,"15.75",24.28,25.85
"658","悟空对冲量化2期",20.66,"21.68",22.07,23.53
"373","悟空对冲量化三期",33.4,"36.94",38.55,39.85
"674","悟空同创量化1期",20.09,"23.78",24.13,26.4
"505","西藏隆源对冲1号",26.31,"37.28",41.88,45.39
"1491","西藏同信同心5号",-57.34,"-52.41",-47.48,-46.85
"362","喜马拉雅1期",34.25,"31.11",30.8,35.19
"357","先锋1号",34.49,"46.89",55,44.43
"560","先锋6号Ⅱ期",24.24,"37.07",36.18,50.52
"425","先机策略精选",30.13,"38.39",34.51,37.3
"1488","湘财资本1号",-51.39,"-51.95",-48.01,-48.7
"160","湘禾一号基金",53,"6.91",20.27,26.82
"1213","箫峰飞龙1号",-2.78,"4.64",6.71,21.07
"617","小马证券",21.9,"27.37",26.83,33.95
"1391","新动力投资基金1号",-15.41,"-10.04",-7.62,-8.15
"1081","新价值",3.92,"16.91",14.45,29.24
"187","新价值10期",49.32,"26.92",35.18,54.56
"272","新价值11号",40.11,"13.47",19.7,33.33
"90","新价值12号",63.76,"28.76",34.87,56.03
"481","新价值15期",27.6,"20.04",33.51,49.75
"325","新价值16号",36.02,"27.68",35.88,53.78
"74","新价值19期",67.46,"22.56",39.79,54.83
"289","新价值1期",39,"14.02",19.07,37.95
"97","新价值20期",61.71,"15.22",30.92,41.04
"216","新价值4号",44.91,"34.48",46,66.7
"315","新价值5号",36.92,"27.02",37.79,57.34
"129","新价值9期",57.55,"44.8",57.01,79.94
"113","新价值成长一期A",59.44,"30.05",43.89,63.73
"61","新思哲1期",74.36,"78.32",83.59,94.52
"264","新同方",40.68,"40.63",41.98,44.16
"179","鑫安1期",50.21,"66",74.06,71.24
"193","鑫安2期",48.79,"64.92",72.26,69.58
"154","鑫安3期",54.09,"70.44",78.56,75.91
"953","鑫富越1号",8.84,"12.95",12.9,13.79
"153","鑫扬一期",54.18,"54.95",50.51,55.09
"1398","鑫增长1号",-15.98,"-3.53",-6.61,-1.79
"482","信复创值1号",27.5,"29.8",50.08,60.08
"402","信复创值2号",31.59,"32.31",48.41,58.77
"510","信复创值3号",26.08,"28.27",41.09,49
"1321","信璞深蓝",-8.84,"-3.95",-1.63,7.98
"1051","信璞硬资产",4.62,"10.67",15.24,27.43
"1122","信投鼎利13号",1.72,"3.73",3.5,-10.99
"977","信投鼎利14号",7.6,"7.13",4.9,36.95
"579","信投鼎利1号",23.69,"30.77",25.92,58.1
"1173","信投鼎利3号",-0.78,"2.83",10.22,17.6
"527","星石10期",25.55,"33.13",51.36,48.94
"570","星石11期",23.91,"31.35",49.25,46.96
"715","星石12期",18.33,"31.96",40.64,44.73
"619","星石13期",21.84,"42.35",54.38,55.59
"704","星石14期",18.61,"32.26",40.75,44.67
"795","星石15期",15.26,"31.4",39.91,44.02
"593","星石16期",22.75,"44.18",56.26,57.44
"748","星石17期",17.21,"29.97",38.59,42.54
"690","星石18期",19.29,"32.22",40.86,44.92
"686","星石19期",19.41,"33.59",42.24,46.3
"604","星石1期",22.49,"42.91",55.13,56.61
"591","星石20期",22.88,"33.3",43.76,47.96
"596","星石21期",22.64,"34.66",43.06,47.13
"601","星石2期",22.52,"42.4",54.41,55.74
"599","星石3期",22.58,"43.07",55.19,56.55
"594","星石4期",22.68,"43",55.06,56.38
"650","星石5期",20.97,"40.71",52.67,54.04
"648","星石6期",21.1,"40.87",52.82,54.18
"595","星石7期",22.68,"42.78",54.84,56.16
"654","星石8期",20.78,"40.82",52.65,50.85
"733","星石9期",17.81,"30.31",38.61,42.72
"889","星石回报1期",11.46,"23.9",30.87,34.59
"1240","兴业金麒麟核心优势",-3.88,"1.27",5.14,-25.19
"461","徐星投资",28.55,"31.85",33.18,40.32
"728","徐星团队基金",17.98,"23.29",23.81,31.63
"1404","雪球2期",-16.37,"-14.57",-13.74,-7.56
"330","衍航1号",35.86,"38.73",35.12,40.48
"1166","壹财富源和一期",-0.5,"13.21",18.62,28.33
"5","倚天雅莉3号",248.71,"306.87",331.24,333.9
"1101","奕金安2期",2.8,"10.25",9.87,26
"996","奕金安一期",6.88,"15.45",16.43,33.51
"836","毅扬2期",13.68,"5.43",5.11,5.9
"1354","毅扬3期",-11.38,"-3.4",-3.82,-2.64
"400","翼虎成长1期",31.62,"31.71",37.1,46.33
"276","翼虎成长2期",39.96,"40.04",45.8,61.05
"405","翼虎成长3期",31.41,"31.45",36.47,44.63
"133","懿和1号",56.91,"73.61",57.33,53.08
"1429","懿和二期",-20.01,"-12.78",-13.01,-8.4
"223","银帆2期",44.1,"43.59",34.68,34.55
"496","银帆3期",26.6,"40.09",34.68,34.54
"312","银帆5期",37.29,"51.67",57.1,65.54
"292","银帆6期",38.9,"49.5",50.23,50.33
"72","银帆7期",69.56,"77.8",79.43,79.19
"48","银帆8期",83.35,"82.21",76.75,76.52
"767","银河福星1号",16.45,"24.1",30.43,29.68
"395","银河投资智富理财2",32.19,"36.11",41.32,42.49
"310","银垒成长1号",37.39,"40.96",51.27,52.74
"399","银石1期",31.62,"51.28",58.12,67.52
"611","银石2期",22.35,"41.02",45.28,54.88
"318","银石3号",36.78,"54.8",54.51,63.61
"368","银石5期",33.81,"55.37",58.96,66.94
"539","银石6期",24.98,"44.19",49.25,59.29
"1068","隐形冠军3期",4.29,"9.6",16.75,16.76
"1032","隐形冠军一期",5.27,"13.8",17.01,16.11
"1456","英飞投资1号",-28.54,"-28.54",-28.66,-31.81
"565","英蓝价值动量1号",24.05,"35.73",42.91,42.71
"201","鹰影尊享1号",47.53,"52.29",82.81,82.67
"433","鹰影尊享3号",29.66,"31.54",60.3,59.22
"1090","盈丰康伦1期",3.3,"13.14",14.16,13.04
"1280","盈峰成长6期",-6.41,"-0.76",-2.21,2.58
"1217","盈捷九头鸟1期",-2.83,"9.19",7.63,6.93
"845","盈捷九头鸟2期",13.02,"28.21",28.22,27.23
"972","赢华多策略1期",7.79,"7.47",7.22,6.92
"1437","赢隆1期",-22.93,"-15.51",-6.39,-4.79
"1454","赢隆2期",-27.78,"-19.11",-15.64,-4.48
"206","映雪霜雪1期",46.78,"69.44",85.6,99.22
"165","映雪霜雪2期",52.7,"75.76",93.32,105.97
"833","永韵骐邦一号",13.78,"25.61",40.51,40.1
"230","优胜回报1期",43.59,"42.47",47.25,48.71
"1419","铀链大盘波段1号",-18.06,"-11.81",1.47,6.94
"727","渝信壹号",18.03,"31.57",33.49,38.78
"1042","愚公移山1号",4.78,"7.62",13.13,17.78
"224","宇迪钱王山1号",43.91,"37.64",42.42,50.28
"509","玉麒麟5号",26.09,"29.91",28.56,26.17
"428","玉麒麟价值成长",30.02,"43.14",49.29,52.67
"364","峪源量化多策略资产",34.15,"36.26",40.87,43.74
"1358","御峰一号",-11.73,"-11.37",-15.67,-13.32
"354","裕晋5期",34.54,"36.96",38.95,38.16
"282","裕晋投资9期",39.78,"39.78",39.09,42.94
"840","元普金牛2号",13.53,"14.36",29.55,23.35
"1461","圆石大趋势成长1期",-29.7,"-7",-4.7,0.8
"164","源乐晟10期",52.71,"66.91",75.13,76.51
"139","源乐晟11期",55.99,"72.18",84.57,87.2
"149","源乐晟2期",54.67,"68.26",76.25,77.3
"211","源乐晟4期",46.12,"59.25",66.56,67.84
"159","源乐晟5期",53.01,"70.79",82.28,84.48
"151","源乐晟6期",54.46,"72.33",85.63,86.66
"145","源乐晟7期",55.24,"70.1",80.96,82.18
"45","源乐晟8期",87.11,"103.47",124.04,128.48
"104","源乐晟9期",60.34,"83.79",108.13,113.75
"89","源乐晟策略创新1期",64.05,"82.56",102.38,107.98
"168","源乐晟全球成长",51.69,"63.49",73.61,76.16
"835","远策11期",13.73,"18.96",21.49,28.69
"731","远策1期",17.9,"22.56",23.34,26.67
"1034","远策2期",5.15,"9.92",12.68,16.11
"938","远策3期",9.55,"14.93",17.99,27.03
"842","远策4期",13.42,"22.16",27.83,34.56
"584","远策5期",23.28,"26.35",27.9,30.24
"606","远策6期",22.44,"31.06",36.07,42.32
"961","远策7期",8.61,"13.14",16.56,19.23
"768","远策9期",16.39,"20.13",21.13,24.32
"749","远策对冲1号",17.2,"21.76",23.25,25.69
"1457","远见者1期",-29.09,"-20.92",-13.92,-8.05
"1364","云程泰(五期)",-12.55,"12.05",23.46,24.71
"1218","云程泰3期",-2.84,"24.28",38.47,44.46
"1117","云程泰增值",1.92,"31.1",48.85,48.49
"1145","云程泰增值二期",0.78,"28.98",40.08,40.47
"954","云腾1期",8.82,"34.11",42.68,52.47
"1347","蕴泽1号",-10.89,"-10.7",-13.34,-12.78
"1444","蕴泽2号",-25.33,"-25.17",-28.23,-29.07
"1435","蕴泽3号",-21.7,"-21.58",-20.31,-21.96
"1385","泽里和1号",-14.49,"-2.45",9.43,27.19
"52","泽泉福虹财富",79.04,"78.9",78.7,80.75
"4","泽泉景渤财富",252.23,"252.06",251.69,251.5
"18","泽泉盛辉",136.18,"136.06",135.9,135.99
"84","泽泉信德",65.09,"65",64.84,64.74
"23","泽泉涨停板1号",116.99,"116.87",116.8,116.53
"1278","泽祥1号",-6.26,"31.61",45.99,66.35
"1149","增强42号",0.52,"5.28",1.98,-1.52
"1477","锃亮一期",-38.98,"-33.14",-33.34,-33.58
"181","展博1期",49.88,"51.95",72.39,75.4
"191","展博2期",49.05,"62.12",84.05,84.42
"138","展博5期",56.18,"61.18",83.65,87.9
"41","展博恒享1期",88.69,"114.12",139.87,140.9
"196","展博新兴产业",48.28,"53.15",80.18,81.97
"142","展博专注A期",55.95,"60.91",83.32,87.54
"143","展博专注B期",55.94,"60.9",83.29,87.51
"141","展博专注C期",55.96,"60.93",83.32,87.53
"140","展博专注D期",55.97,"60.94",83.34,87.56
"947","长安投资266号",9.19,"16.73",13.47,19.34
"1384","长金11号",-14.45,"-7.27",-2.77,8.98
"1441","长金2号",-24.11,"-10.27",-3.26,4.76
"1426","长金4号",-19.48,"-7.98",-3.99,12.08
"1430","长金7号",-20.46,"-11.4",2.41,6.4
"1309","长金8号Ⅱ期",-8.36,"-1.5",2.79,16.68
"1311","长金8号Ⅲ期",-8.37,"-1.5",2.79,16.68
"1310","长金8号Ⅳ期",-8.37,"-1.5",2.79,16.68
"1349","长金9号",-11.19,"-4.39",1.4,4.8
"1362","长金银信宝2期",-12.18,"-8.25",-5.68,2.58
"1474","长青1期",-37.08,"-20.71",-14.6,-18.84
"1337","长青藤2期",-10.31,"-1.28",1.38,5.69
"386","招商汇智之凤翔1号",32.79,"49.02",49.02,60.5
"274","招商汇智之天马领航",40.08,"46.18",46.35,47.17
