产品简称,当年收益%
昀沣3号,8.53
上海兆赢500倍对冲8期,64.0851
昱晟一号,55.3938
华策1号,44.795
榕树一期,38.2766
长河畅达稳健1号,32.6295
德胜量化对冲,32.3913
私募工场股惑人生一期,30.4025
东北证券融智2号,29.9302
止于至善,26.4306
瓜牛的梦想,25.956
丹阳对冲3期,25.2674
雨山寻牛1号,25.2033
私募工场静远轩,24.7811
予曦一号,24.7
私募学院菁英135号,23.996
浔宝辉煌133号,23.0091
宏莱价值进取一号,22.8926
睿赢107号,22.8128
泽嘉丰盈1期,22.6314
佳盈一期,22.5305
德胜宝典,22.3504
领新安盈5号,22.1229
狼图腾2号,21.7438
拓璞精选01号,21.0745
旭诺幸福人生2号,20.5378
融创智富1号,19.715
一村东临石,19.64
然成扬帆起航,19.5472
成都红泰嘉盈一号,19.4005
大概率6号,19.0732
天成壹号,18.9154
盛信二期,18.7361
进化论复合策略一号,18.7234
052号,18.5304
希瓦小牛1号,18.363
089号,18.2708
050号,18.2691
雄资壹号,18.1269
055号,18.071
亿鑫5期,18.018
希瓦小牛3号,17.9294
软财富时代一号,17.5767
智信景行昀卿成长一号,17.3861
岁寒知松柏1号,17.0319
希瓦小牛5号,16.9394
赢动先锋,16.884
证研3号,16.7921
蕴泽2号,16.7421
祥瑞一号,16.3462
比高添赢,16.2839
佳盈二期,16.1027
丰大一号,16.0392
天贝合成长1期,16.0367
聚利59号,16
长金4号,15.9924
海雅基金,15.9774
润樽沪港通,15.8198
水木毓秀15E,15.7944
融林捷1号,15.7459
尊荣,15.347
佳盈三期,15.2941
宝丰一号,15.1782
高毅庆瑞6号,15.1175
长金9号,14.9367
君励1号,14.8936
民生银行天河2号,14.8874
奇益1号,14.8321
富承成长基金1号,14.8268
天玑青翼一期,14.8148
斯同1号,14.7034
宝银创赢28号,14.6644
厚德致远价值(一期),14.6572
天迪平稳增长2号,14.59
红亨稳赢一期,14.49
银万丰泽1号,14.4202
明睿1号启航,14.402
精选二期(长金8号Ⅰ期)A类,14.3468
仁灏开元,14.2261
证研稳健一号,14.2185
汇创三期,14.1085
融亨一号,14.1068
方程式一号,13.9089
福瑞财富1号,13.8843
金裕城3号,13.8772
晓峰1号睿远,13.8742
壹牛一期,13.8549
中科智1号,13.8332
阳光宝之鑫恒久,13.6917
源沣进取1号,13.686
禾木1号,13.6581
凡得幸福战略并购,13.5966
恒升30号,13.5546
财富骐骥定增27号,13.5295
飞龙在天第三期,13.5162
恒升36号,13.4522
佳盈四期,13.3724
前海创赢1号,13.3333
长金7号,13.258
掘金5号,13.2381
景林丰收,13.2358
凡得幸福明星,13.1846
圣达壹号,13.1387
锐进29号景林多元策略,13.0745
宝银创赢摇钱树股指自动化策略基金23号,13.055
君行5号,13.0409
林孚5号,13.0199
悦顺4号,13.0024
丰大2号,12.973
佳盈积极成长,12.8571
温瑞福5号,12.8062
荷花一号,12.7953
小禹1期,12.7926
炽发顺势,12.751
中山165,12.6924
海衍添利一号,12.6824
朴信创新1号,12.6566
融宏一号,12.6478
价值精选5期,12.6235
大秦基金幸福一号,12.5673
371号,12.557
晶上稳增长1号,12.5255
证大久盈旗舰103号,12.5
圣盾成长1号,12.4509
东方红先锋7号,12.3869
332号,12.3788
中垒一号,12.3625
百华5号,12.3546
凡得幸福龙道,12.3295
宏锦1号,12.3209
广金优选4号,12.2877
小市值精选策略一期,12.2374
龙赢增值1期,12.2159
阿甘1号,12.2155
广发恒定7号,12.2141
倍霖山绝对收益2号,12.1832
聚鑫15号,12.06
天迪价值,11.9876
亿鑫2期,11.8812
衢州金海壹号,11.78
景林优选2号,11.7672
三安增持2期,11.7555
至乐1号,11.7452
泽堃价值1号,11.691
长金银信宝2期,11.6194
汇创稳健1号,11.5405
资臻1号,11.5285
掘金1号,11.5276
中新融创定增1号,11.4628
飓风1号,11.4316
菁世2号,11.379
大满贯,11.3597
潮金丰2号,11.347
景林稳健,11.3428
滚雪球硕赢二号,11.2744
小市值精选二期,11.2612
开慧泰升,11.2379
泰玥永福,11.2232
锐进25期盈信瑞峰股票多空尊享系列,11.1802
林孚3号,11.1697
嘉恳天启1号,11.1669
宽奇精选1号,11.1583
国投汇金稳健一期,11.157
美石一号,11.1411
滚雪球价值精选,11.1029
相聚上善一期,11.0305
千帆二期,11.0112
金太阳高毅国鹭1号崇远,10.994
滚雪球3号,10.9312
融珲23号,10.9204
温瑞福3号,10.8766
聚利10号,10.8704
倍霖山绝对回报1号,10.8403
价值精选7期,10.8353
德孔一号,10.8287
龙成1号,10.8269
稳健远航1期,10.7965
东方红先锋1号,10.7963
盈喜一号,10.7811
万象汇富八号,10.7755
滚雪球2号,10.7548
东方红先锋3号,10.7282
懋峰三号,10.7057
流星好运鸿运1号,10.6945
荣盛泰发稳健成长7号,10.6764
滚雪球西湖2号,10.6742
惊蛰,10.6383
滚雪球价值精选2号,10.6349
承源07号,10.6201
福建滚雪球9号,10.5983
陨石掘金一号,10.5909
裕恒资本双龙一号,10.5788
福建滚雪球千里马1号,10.5754
江大情一号,10.5544
灵涛飞龙2期,10.5533
尚盛一号,10.5251
金田龙盛,10.5223
细水菩提,10.517
御峰一号,10.5111
睿兹1号,10.5033
源和稳健成长1号,10.4869
天谷价值精选一号,10.4436
喜马拉雅基金,10.4018
远见者1期,10.3982
睿豫四季健行一号,10.3935
中讯证券滚雪球一号,10.3783
蓝海战略一号,10.3488
厚润德小市值三期,10.3215
润石1号,10.3175
进化论稳进二号,10.2845
400号,10.2546
穗富6号,10.2537
成石资产细水长流二期,10.2484
铜爵强国重器3号,10.2381
高毅利伟精选唯实,10.2178
普尔聚鑫,10.2041
华侨丰盈尊享1号,10.1812
价值精选8期,10.1766
至秦成长3号,10.1594
珺容灵活进取一期,10.1504
博致二期,10.1
天道共赢6号(多策略),10.0996
金连接滚雪球12号,10.0794
博致一期,10.0529
蓝筹优势6期,10.0322
滚雪球西湖1号,10
兴亿成长一期,9.9893
凡宇证券A股一号,9.9808
天谷深度价值一号,9.9694
卢登斗牛二号,9.8936
神农老院子基金,9.8926
2号,9.8635
谙盈一号,9.8604
东昇1号,9.856
普尔二号,9.842
冠易核心动力一号,9.8305
民享紫晶稳健1号,9.8232
凤翔长盈,9.8154
普尔麒麟,9.7952
普尔一号,9.7919
果实长期成长1号,9.7886
磐久价值一期,9.7742
同有家族兴旺一号,9.7723
金广鑫1号,9.7493
