产品简称,当年收益%
泽熙3期,382.07
泽熙1期,323.16
倚天雅莉3号,306.87
泽泉景渤财富,252.06
泽熙4期,210
毕咸01期,197.32
洪昌价值成长二号,196.89
泽熙5期,180.2
和聚鼎宝2期,169.26
天勤进取1号,64.56
清皓1期(小雅1号..,166.31
兆意1期,164.48
泽熙2期,160.34
北京天启螣蛇投资,156.21
融新293号(金河..,155.13
金陀罗飞龙一号,153.28
稳健增长,147.97
中金-云信私募工场..,147.94
私募领导者第1期(..,146.99
泽泉财富管家1号,146.9
旭诺成长择时对冲一..,138.87
华银价值基金,137.86
泽泉盛辉,136.06
中山宝睿精选,127.44
和聚鼎宝1期,123.41
太平洋红珊瑚3号,121.39
泽泉涨停板1号,116.87
景富趋势成长一期,115.89
展博恒享1期,114.12
中金-云信私募工场..,113
卓泰2号基金,111.97
中金-云信私募工场..,108.59
私募工场第(六期)..,105.33
清水源1号,105.14
钜融金鳞1号,104.56
胡杨A股消费,103.73
基金会-弘尚资产,103.63
源乐晟8期,103.47
690号,102.8
力量一号,100.82
云信私募工场(八期..,99.61
乾图3号(瑞林对冲..,98.7
新奥毅赢2号基金,98.16
浙商金惠3号,97.84
国泰君安君享展博一..,97.83
永望复利成长1号,96.9
富腾成长三期,96.82
睿翔1号第一期,96.25
双盈二号,95.44
鼎力策略对冲一号,95.31
神州牧1号,94.59
共盈大岩量化进取,100.71
中山盛翔2号,93.25
巨杉净值线1号,93.2
朴道02期,92.95
鸿逸安泰一号,91.69
泽泉涨乐1号,91.44
京福1号,91.42
中金-云信私募工场..,89.5
洪昌价值成长一号,88.59
融智新锐10期(泽..,88.55
金陀罗飞龙二号,87.99
大朴进取1期,87.54
国泰君安君享龙鼎一..,87.44
纯熙精选1期,87.4
金蕴56期,87.04
A基金,86.01
鸿逸1号,85.68
航长常春藤,85.58
丰大一号,84.68
源乐晟9期,83.79
鑫兰瑞,78.59
源乐晟策略创新1期,82.56
融惠优选2期-2,82.41
银帆8期,82.21
融惠优选2期-3,81.99
京福2号,81.22
森瑞独立景气,80.38
和聚兴享1期,79.83
汇盈一期,79.54
巨杉净值线3号,79.3
航长常春藤2号,79.13
泽泉福虹财富,78.9
和聚多策略对冲3号..,78.82
理成专户4号,78.67
诚盛1期,78.46
新思哲1期,78.32
巨杉净值线7号,78.23
银帆7期,77.8
金蕴21期(泓璞1..,77.68
正弘1号,77.1
中金蓝海中华成长品..,76.99
红筹转型成长,76.45
精英之从容A,76.03
映雪霜雪2期,75.76
搏股通金2号,75.63
乐晟精选,75.34
齐熙社会回报,75.16
理成风景2号,74.43
华银创新六期基金,74.22
犇牛1期,73.9
懿和1号,73.61
黑森九号,73.53
丰岭稳健成长1期,72.9
源乐晟6期,72.33
宝耀1期(宝鸿财富..,72.24
源乐晟11期,72.18
世诚扬子二号,71.81
汇盈9号,71.56
源乐晟5期,70.79
太平洋红珊瑚8号,70.77
源乐晟3期(富锦2..,70.49
鑫安3期,70.44
源乐晟7期,70.1
红土创新红石5号,70
财通财丰1号,69.74
朱雀18期,69.54
长安投资280号(..,69.52
融新316号玖歌投..,69.52
映雪霜雪1期,69.44
国泰君安君享博道精..,69.24
汇盈31号,68.58
质嘉一期,68.36
巨杉净值线4号,68.26
源乐晟2期,68.26
通和进取1号,68.1
金蕴12期,67.89
源乐晟10期,66.91
世诚扬子3号,66.77
华骏海石1号,66.39
朱雀专享1号,66.39
巨杉净值线2号,66.33
鑫安1期,66
融惠优选1期3号,65.83
尚诚,65.29
穗富11号(长安投..,65.12
浙商金惠海宁钱潮,65.07
泽泉信德,65
鑫安2期,64.92
瑞天价值成长,64.84
久富2期,64.8
谦石1期,64.69
博道精选5期,64.46
睿远理成专户1号,64.31
荣世安达睿选1号,63.72
摩通5号(长安投资..,63.68
源乐晟全球成长,63.49
久富1期,63.07
青骓西格玛套利一期,62.35
君盈成长,62.26
世域1期,62.17
展博2期,62.12
通润20号,61.89
明河成长,61.83
旗隆达尔文科技对冲..,61.5
鼎辉1号,61.49
汇信-惠正1号,61.37
世域2期,61.24
展博5期,61.18
弘尚投资,61.1
展博专注D期,60.94
展博专注C期,60.93
展博专注A期,60.91
展博专注B期,60.9
冰剑2号,60.81
巨杉净值线6号,60.66
理成消费分红(转子..,60.64
中金蓝海中华成长品..,60.62
世诚投资六号,60.57
名禹稳健增长,60.25
理成转子3号,60.17
昭时五期,59.9
明河价值一期,59.6
源乐晟4期,59.25
汇信-信诚1号,59.15
和聚3期,58.91
银帆一期(铂金1号..,58.89
中信证券成长精选1..,58.88
和聚5期,58.5
建信积极成长1期,57.97
金牡丹道谊稳健,57.92
中睿合银策略优选1..,57.78
紫晶一号,57.62
正朗成长资产,57.54
和聚华享对冲1期,57.49
中金-云信私募工场..,57.47
浙商金惠引航,57.26
归富成长复兴二号,57.02
和聚1期,56.96
和聚2期,56.96
华物君裕11号基金,56.8
理成转子2号,56.44
菁英时代成长3号,56.24
大明投资玉麟1号,56.2
中金-云信私募工场..,56.02
和聚4期,55.77
金狮157号,55.6
博颐精选,55.58
银石5期,55.37
广发聚盛私募工场(..,55.32
鑫扬一期,54.95
博道精选1期,54.84
博道精选A号,54.83
银石3号,54.8
中金-云信私募工场..,54.76
中金-云信私募工场..,54.63
高信百诺1期,54.54
汇盈29号,54.44
铜爵之强国重器2号,54.32
冰剑7号,54.3
博颐精选2期,54.15
聚发(11)混沌1..,108.26
金石3期,54.12
溪牛长期回报基金,54.11
铭深1号,54.01
冰剑1号,53.86
博颐稳健1期,53.7
久富3期,53.53
勤远1号,53.5
朱雀新机遇汇智A期,53.41
朱雀新机遇,53.41
永瑞3号,53.39
中金-云信私募工场..,53.32
汇信-普尔1号,53.3
凯石复元成长1号,53.29
冰剑6号,53.18
展博新兴产业,53.15
冰剑5号,53.05
黄金优选21期1号,53.04
国泰君安君享朴道一..,52.86
证大稳健,52.35
鹰影尊享1号,52.29
大君智萌2期,52.24
升阳2期,52.11
冰剑3号,52.1
冰冷1期,52.09
展博1期,51.95
沃佳1期证券,51.9
银帆5期,51.67
中金在线,51.65
展博精选D号,51.64
展博精选A号,51.63
展博精选B号,51.62
朱雀10期,51.59
展博精选C号,51.53
银石1期,51.28
旗隆雪峰医药对冲基..,51.28
和聚7期,51.18
朱雀13期,51.08
恒创精选1号,50.99
聚益5号,50.93
金元证券游马地1号,50.87
融新85号(超盛一..,50.82
菁英时代价值成长1..,50.77
浙商金惠2号,50.42
久富4期,50.1
中金-云信私募工场..,50.04
世富壹玖飞跃,50
国信鸿道对冲限额特..,49.96
海西晟乾2号,49.81
理成转子专户01号,49.8
龙腾3期,49.74
瑞天3期,49.54
和聚8期,49.52
银帆6期,49.5
中卓成长1期,49.5
中金-云信私募工场..,49.14
招商汇智之凤翔1号,49.02
朱雀22期,48.87
博颐精选3期,48.8
恒复利贞,48.61
混沌2号,48.46
朱雀17期,48.44
从容成长8期,48.42
聚益2号,48
天勤1号,48
仙童2期,47.68
华尔进取1号,47.43
国轩,47.2
国泰君安君享富利,47.06
先锋1号,46.89
潮金1号,46.8
安信紫星成长,46.77
冰剑10号,46.76
浦江之星130号,46.67
泰瓴-泰九2期,46.57
光华上智5期,46.47
朱雀12期,46.42
明河优质企业证券投..,46.38
中金-云信私募工场..,46.27
招商汇智之天马领航,46.18
招商智远美丽中国,46.09
沣杨旺德福,46.05
华夏未来领时对冲1..,45.92
西藏同信同心吉祥中..,45.89
自然道量化1期,45.8
安蕴7期(盈峰成长..,45.8
黄金优选17期5号,45.79
黄金优选17期6号,45.79
朱雀9期,45.66
新方程私募精选E5..,45.65
朱雀19期,45.55
若海二期,45.31
朱雀4期,45.25
春天1号(上善御富..,45.02
新价值9期,44.8
光大同享二号,44.68
从容优势7期,41.87
上善御富2期,44.62
谦石1号,44.62
朱雀合伙专项,44.58
朱雀3期,44.53
投资精英之朱雀A,44.52
和聚9期,44.5
融昌3期,44.44
沣杨锦绣,44.42
锐进3期博道目标缓..,44.2
银石6期,44.19
星石16期,44.18
汇信-金百合1号,44.09
框特灵活配置优选,44.05
中欧瑞博1期,44.05
峻谷一号稳健成长,44.05
融新317号国理价..,44.03
得利宝至尊11号,44.02
东源嘉盈3期,43.96
汇信-普尔3号,43.85
朴石7期,43.83
金鼎1号,43.76
华邦增长1号,43.67
旭诚二期证券投资(..,43.63
银帆2期,43.59
谦石2号,43.55
海通私募稳赢2号第..,43.44
尚道乾坤合伙基金,43.22
玉麒麟价值成长,43.14
铭渡优势成长1号,43.13
星石3期,43.07
华财银丰证券投资基..,43.06
穗富5号,43.04
星石4期,43
黄金优选4期1号,42.96
星石1期,42.91
黄金优选4期3号,42.85
信投鼎利2号,42.85
朱雀新经济,42.83
汇信-普尔2号,42.81
星石7期,42.78
紫金港1号,42.73
优胜回报1期,42.47
星石2期,42.4
星石13期,42.35
得利宝至尊12号,42.29
朱雀5期,42.11
黄金优选4期2号,42.08
太阳帆投资基金,42.04
呈瑞6期,41.98
朱雀1期,41.97
朱雀2期,41.93
金百镕1期,41.87
鼎陶朱辉2期,41.85
巨杉净值线8号,41.81
聖熙6号,41.7
宏石1号,41.7
兆信1期,41.69
穗富1号,41.62
巴沃成长一号,41.54
从容医疗精选,41.47
睿添富3号,41.34
飞天1号,41.28
道谊稳进,41.17
睿朴2号,41.1
和聚10期,41.05
银石2期,41.02
银垒成长1号,40.96
星石6期,40.87
星石8期,40.82
国泰君安君享弘利二..,40.78
星石5期,40.71
新同方,40.63
融兴进取2号,40.57
汇创稳健一号,40.51
明日之星第5期-昀..,40.51
山楂树一期基金,40.43
德源安1号,40.39
睿远和聚招享,40.21
鼎锋5期,40.14
金中和西鼎,48.6
银帆3期,40.09
从容稳健1期,40.08
翼虎成长2期,40.04
金浪一号,40.04
汇信得3期,39.8
裕晋投资9期,39.78
睿添富2号,39.78
龙腾5期,39.72
呈瑞优势1期,39.71
混沌价值增长,39.7
上投摩根消费成长3..,39.6
融裕22号,39.54
对冲精英之睿策,39.48
中金-云信私募工场..,39.36
智博方略2期(续),39.33
中睿合银弈势1号对..,39.31
安信尊享成长,39.28
对冲精英之睿策四期..,39.24
对冲精英之睿策二期,39.16
融新74号(富恩德..,39.12
惠正成长,39.01
天弓2号,38.98
太和先机策略精选3..,38.82
衍航1号,38.73
鼎锋8期,38.56
否极泰,38.47
嘉谟1号,38.45
先机策略精选,38.39
齐鲁言起1号,38.29
呈瑞2期,38.21
翼虎产业转型机会一..,38.2
建信稳健增值1期,38.17
实力旗舰,38.09
东方红先锋6号,38.07
凯丝投资成长一期,37.92
森瑞医疗服务,37.89
东方红先锋1号,37.81
朱雀20期,37.8
睿鉝量化对冲1期,37.78
道谊量化增强1期,37.67
宇迪钱王山1号,37.64
禾木1号,37.58
骐邦涌利稳健成长,37.56
东方红先锋3号,37.53
国道量化基金一号,37.4
乾图1号(瑞林管理..,37.36
西藏隆源对冲1号,37.28
朱雀1期,37.27
融惠优选3期-2号..,37.19
金蕴80期(大明投..,37.16
峥战1期,37.1
先锋6号Ⅱ期,37.07
睿策诺亚对冲,36.99
裕晋5期,36.96
悟空对冲量化三期,36.94
汇信-景林1号,36.9
对冲精英之睿策三期,36.85
中欧瑞博一期,36.85
锐进2期,36.7
对冲精英之睿策五期..,36.68
昆仑时代1号,36.5
中金-云信私募工场..,36.47
从容医疗2期,36.4
峪源量化多策略资产,36.26
海洋之星1号,36.21
睿策3期,36.12
银河投资智富理财2,36.11
朱雀14期,36.09
鼎萨资产1期,36.07
汇富4号(汇利优选..,36.01
鼎锋18期,35.92
光华上智1期,35.91
朴石1期,35.74
英蓝价值动量1号,35.73
磐信1期,35.67
建信稳健增值2期,35.55
齐鲁金泰山2号(展..,35.51
神农长空集母基金,35.35
博复达投资,35.32
齐熙社会责任,35.3
lighthors..,35.29
瀚信成长5期,35.21
飞天4号,35.15
厚道量化对冲1号,35.12
博道精选7期,34.98
中睿合银8期,34.98
聚益3号,34.97
和聚7期之和聚专享..,34.94
黄金优选二期十号,34.92
从容成长3期,34.88
鸿逸泰瑞一号,34.75
玖阳一号,34.73
金蕴52期(中欧瑞..,34.71
睿策1期,34.69
星石21期,34.66
四相1期,34.63
归富长乐1号,34.6
汇信华安1号,34.55
中金-云信私募工场..,34.54
新价值4号,34.48
积胜1期,34.45
或然赋利1期,34.39
志禾对冲1号,34.36
从容优势三期,34.31
睿策3期之睿策专享..,34.19
睿策3期之睿策专享..,34.19
呈瑞1期,34.18
重阳目标回报1期,34.13
重阳目标尊享A期,34.12
云腾1期,34.11
中行TOT成长组合..,34.11
从容5期,34.06
从容成长2期,34.04
惠正成长,34.01
投资精英之翼虎A,33.95
理成风景3号,33.85
天马量化1期,33.75
泰石1期,33.74
中卓军工7期,33.68
联合成长1号,33.67
投资精英之展博A,33.64
一线对冲君一对冲基..,33.63
明达6期,33.61
星石19期,33.59
黄金优选12期9号,33.52
上善若水6期,33.49
中卓大健康3期,33.39
睿策量化1期,33.35
星石20期,33.3
泰瓴3期,33.27
论德2期,33.27
从容优势一期,33.25
承泽股票二号基金,33.25
从容成长1期,33.17
星石10期,33.13
中金-云信私募工场..,33.12
鼎锋12期,32.94
睿策2期,32.88
中睿合银9期,32.76
挺浩一期,32.72
渝信壹号,31.57
招商汇智之喜马拉雅,32.7
融新254号展博3..,32.68
得利宝至尊10号,32.56
鹏石硕1号,32.53
君享重阳阿尔法对冲..,32.52
中睿合银7期,32.45
合正普惠1期,32.43
朱雀新趋势,32.4
信复创值2号,32.31
鸿道1期,32.3
星石14期,32.26
星石18期,32.22
华展金丰财源广进1..,32.17
泰瓴-泰九1期,32.1
星石12期,31.96
汇信-中欧瑞博1号,31.92
穿石品质生活,31.91
汇信-中欧瑞博2号,31.91
天弓3号,31.87
徐星投资,31.85
瑞象丰年,31.85
融新181号(贝塔..,31.79
黄金优选12期4号,31.78
鸿道精英1号,31.72
上善若水3期,31.72
翼虎成长1期,31.71
恒添新青年一号,31.7
融惠优选2期-1,31.69
前海一线对冲,31.69
泽祥1号,31.61
鹰影尊享3号,31.54
双赢6期(涌金),31.54
黄金优选12期2号,31.52
中睿吉祥管家10期,31.5
翼虎成长3期,31.45
星石15期,31.4
黄金优选二期三号,31.39
星石11期,31.35
从容医疗3期,31.35
黄金优选12期10..,31.35
黄金优选二期一号,31.3
国泰君安君享弘利,31.29
朱雀15期,31.27
知几投资灵活配置2..,31.22
喜马拉雅1期,31.11
金狮151号,31.11
云程泰增值,31.1
黄金优选12期1号,31.08
远策6期,31.06
金百镕5期,31.01
黄金优选12期3号,30.91
汇利优选9期,30.86
广发聚盛私募工场(..,30.78
信投鼎利1号,30.77
第一创业大岩资本量..,30.7
黄金优选二期六号,30.61
黄金优选12期7号,30.59
景林丰收,30.59
从容医疗1期,30.58
尚雅6期,30.52
七彩祥云-传奇,30.51
黄金优选二期五号,30.5
金蕴66期(联创永..,30.4
成长组合(鸿道),30.4
中睿吉祥管家一期,30.38
星石9期,30.31
黄金优选二期二号,30.3
盈峰量化1号,30.24
黄金优选二期九号,30.21
培蓝壹号,30.19
黄金优选二期七号,30.12
汇信-泓德3号,30.11
鼎锋16期,30.08
新价值成长一期A,30.05
明日之星第6期(煜..,30.03
安蕴10期(裕晋)..,30
星石17期,29.97
玉麒麟5号,29.91
黄金优选二期八号,29.88
黄金优选二期四号,29.85
信复创值1号,29.8
六禾财富东莞,29.8
天生桥A股投资基金..,29.66
泛涵正元,29.62
至尊6号六禾成长,29.52
私募宝第5期(获多..,29.51
紫晶石(上信-T-..,29.5
达仁通宝2期,29.36
同瑞汇金1期,29.31
融惠优选2期-4,29.19
投资精英之云程泰A,29.04
云程泰增值二期,28.98
黄金优选12期5号,28.96
汇信-鑫富越2号,28.91
明达,28.86
瀚信成长4期,28.76
新价值12号,28.76
鼎锋海川一期,28.74
积极进取1号,28.73
重阳对冲3号,28.73
信任2号,28.72
中睿合银二期,28.56
信达创新大岩量化平..,28.5
冬泉谷对冲2号,28.49
智信创富2期,28.37
浙商金惠中证转型成..,28.37
信复创值3号,28.27
睿远鼎诺1期,28.26
双赢10期(淡水泉..,28.24
盈捷九头鸟2期,28.21
康曼德002号,28.2
黄金优选12期8号,28.13
重阳对冲1号,27.93
理成风景8号,27.79
融裕33号六禾财富..,27.73
鸿道2期,27.72
新价值16号,27.68
汉和资本1期,27.66
朱雀二期B,27.53
中睿合银15期,27.52
广发聚盛私募工场(..,27.46
东方港湾马拉松,27.46
枫景,27.43
浙商金惠1号,27.42
中国龙精选二,27.41
朱雀二期A,27.39
小马证券,27.37
博鸿成长1号,27.13
新价值5号,27.02
励石一号,26.99
得利宝至尊8号,26.96
新价值10期,26.92
弘哲亿信言起1号,26.8
从容优势二期,26.8
睿信4期,26.75
麦星,26.74
泓璞2号,26.67
黄金优选4期11号,26.59
恒驰1号,26.52
富锦8号(尚雅),26.5
鼎萨价值精选1期,26.48
六禾财富瓯越,26.44
创新广发一期,26.44
神农1期,26.44
鼎泰岩2期,26.38
海中湾开泰6号,26.38
远策5期,26.35
黄金优选4期12号,26.33
重阳8期,26.21
丰煜如意理财一期,26.11
一线对冲君一对冲基..,26.01
量化2号,25.97
天晟源1期,25.84
六禾光辉岁月1期,25.82
鼎萨13期,25.81
阿米巴成长1号,25.81
融裕瀚信成长10期,25.79
中金-云信私募工场..,25.79
智诚7期,25.78
融通资本汉景港湾1..,25.76
金蕴28期(神农春..,25.65
永韵骐邦一号,25.61
瀚信成长1期,25.59
睿星财富1号,25.55
德源安1期,25.55
鼎润1期,25.42
朴道二期,25.41
智信创富1期,25.27
睿信2期,24.99
汇信-泓德1号,24.88
景泰复利回报五期,24.78
实力稳进,24.74
金蕴55期(季胜),24.7
龙腾9期,24.69
紫晶石(T-020..,24.62
黄金优选12期6号,24.61
中金-云信私募工场..,24.6
时田丰一期,24.56
朴石3期,24.52
中国龙精选(三),24.49
金蕴87期(中金蓝..,24.45
鸿逸楚天一号,24.44
橙色量化1期,24.4
六禾财富竹溪,24.37
云程泰3期,24.28
融惠优选3期,24.22
投资精英之景林A,24.21
融惠优选专享1期,24.19
银河福星1号,24.1
民森G号,24
平安金牛一期,23.98
星石回报1期,23.9
朴石2期,23.89
穗富3号,23.81
汇信-泓德7号,23.79
悟空同创量化1期,23.78
睿源1号,23.71
中金-云信私募工场..,23.7
华西神农复兴,23.67
玖逸一期,23.6
双赢7期(星石),23.55
双赢11期(鼎锋),23.5
中金-云信私募工场..,23.46
平安徐星1号,23.44
金蕴70期(鼎萨),23.44
鸿道3期,23.43
黄金优选4期6号,23.33
徐星团队基金,23.29
明达2期,23.25
鸿逸安泰二号基金,23.21
道冲量化对冲(长安..,23.21
睿利进取,23.2
成都君海,23.2
淡水泉成长四期,23.14
合德丰泰,22.97
中金-云信私募工场..,22.93
友恒成长1期,22.87
汇信-世诚1号,22.81
悟空东略量化对冲1..,22.81
瀚信成长2期,22.76
泰达鼎晟2期(业绩..,22.75
中行TOT成长组合..,22.75
东源1期,22.64
东来方元1号,22.64
穗富温商1号,22.64
中国优质1号,22.61
富锦7号(汇利),22.6
新价值19期,22.56
融惠优选3期-1号..,22.56
神农长空集基金,22.56
远策1期,22.56
景泰复利回报二期,22.51
悟空绿城对冲量化一..,22.5
深圳华融一号,22.48
中金-云信私募工场..,22.46
国泰君安君享民晟一..,22.45
淡水泉成长九期,22.45
东方港湾1期,22.38
潼骁成长精选,22.34
东海精选2号,22.31
瑞森林,22.25
鼎泰岩1期,22.25
能宏1期,22.25
中国龙平衡,22.23
远策4期,22.16
鼎锋2期,22.11
赋成量化3号,22.03
重阳6期,21.95
康曼德001号,21.94
宽远价值成长,21.83
珺容一期,21.83
德骏核心1号,21.83
游消费板块(上信-..,21.82
民森E号,21.77
远策对冲1号,21.76
博观1期,21.76
悟空对冲量化2期,21.68
汇信-泓德4号,21.55
量化3号,21.54
朴石5期,21.53
淡水泉成长六期,21.49
永泽PIPE基金1..,21.4
证研一期,21.32
国投瑞僖稳健收益,21.24
爱康1号(鼎锋11..,21.24
智诚3期,21.2
鼎锋成长一期B号,21.13
博润价值成长,21.11
华夏未来领时对冲2..,21.09
景泰复利回报1期,21.09
复利维新,21.06
重阳对冲2号,21.05
淡水泉成长七期,20.97
双赢13期(鸿道),20.81
尚雅5期,20.8
中金-云信私募工场..,20.71
智诚6期,20.7
海中湾(中信)基金..,20.66
海中湾(齐鲁)3号,20.62
冠俊3号(成长策略..,20.62
丹寅言起2号,20.58
金中和6期,20.47
淡水泉精选1期,20.46
联合成长2号,20.46
鼎萨1期,20.41
美联融通1期,20.32
景林稳健,20.32
景泰复利回报一期,20.24
理成风景7号,20.18
远策9期,20.13
至尊宝,20.11
淡水泉专项,20.1
淡水泉成长五期,20.07
新价值15期,20.04
黄金优选二期十一号,19.98
投资精英之重阳A,19.98
品正理翔2期,19.95
汇利优选2期,19.95
景泰复利回报4期,19.95
黄金优选10期3号,19.94
德汇稳健一号,19.9
德源安风险缓冲1期,19.88
睿远景林1期,19.86
新方程盈峰量化对冲..,19.85
知几投资灵活配置1..,19.82
国泰君安君享天马一..,19.79
瑞天5期,19.78
民森F号,19.74
金蕴50期(海润达..,19.72
淡水泉成长三期,19.71
鼎锋成长一期,19.59
睿远鸿道5期,19.59
鼎锋成长3期,19.5
长安投资285号(..,19.45
中信宏量2号,19.45
重阳1期,19.42
摩通成长1号,19.41
嘉泰量化对冲1期,19.2
融惠优选1期2号,19.18
榕树文明复兴,19.15
淡水泉成长一期,19.13
国泰君安君享对冲一..,19.12
汇利优选6期(富锦..,19.12
红宝石(上信-E-..,19.12
睿远汇利精选,19.07
中汇金凯三期,19.04
睿信3期,19.02
汇信-泓德5号,18.99
尚雅3期,18.99
睿智共赢,18.97
汇信-理臻1号,18.96
沃胜5期,18.96
鸿道4期,18.96
远策11期,18.96
睿金1号,18.82
睿金2号,18.81
榕树文明复兴二期,18.8
明达7期,18.8
开宝2期,18.79
卓越1号,18.56
淡水泉2008,18.56
双赢8期(尚雅),18.54
精英之星石A,18.48
华鑫鑫财富智享3号,18.43
润晖稳健增值,18.38
信诺1号,18.36
穗富2号,18.34
国道量化基金二号,18.33
论德1期,18.3
创海富信5号,18.3
上善御富风险缓冲2..,18.25
汇利5期,18.21
汇富3号(远策),18.04
保银量化石榴,17.96
和禄1号,17.96
新价值2期,17.91
睿信,17.87
汇利优选10期,17.83
泰达鼎晟1期,17.83
国泰君安君享对冲二..,17.76
中域津和1期,17.76
格雷一期,17.71
中金对冲9号,17.69
睿远涌峰1期,17.65
景泰复利回报银信宝..,17.56
中金-云信私募工场..,17.41
合赢2期,17.36
双赢12期(彤源),17.29
藏宝图基金1号,17.28
汇信-泓德6号,17.27
慧安10期,17.23
瀚信稳健1期,17.21
智诚8期基金,17.17
汇信华安2号,17.1
汇利优选,17.05
陆宝点金精选,17
金海7号,16.97
万丰友方稳健成长2..,16.97
尚雅2期,16.93
精英之淡水泉A,16.93
彤源7号,16.92
陈志平波段1号,27.04
新价值,16.91
黄金优选1期11号,16.82
黄金优选1期16号,16.81
黄金优选1期3号,16.76
黄金优选1期8号,16.75
睿信5期,16.74
黄金优选1期18号,16.74
长安投资266号,16.73
黄金优选1期10号,16.71
黄金优选1期9号,16.7
金苏投资远望2号,16.69
黄金优选1期17号,16.68
万利富达,16.65
黄金优选1期2号,16.63
黄金优选1期15号,16.62
黄金优选1期5号,16.6
黄金优选1期1号,16.53
黄金优选1期6号,16.52
上善目标缓冲,16.46
林园,16.46
格雷二期,16.45
黄金优选1期4号,16.39
民森B号,16.38
金瀛2期,16.36
明达4期,16.31
智德1期,16.3
秋阳3期,16.17
沃胜二期,16.14
淡水泉专项2期,16.11
招商和致量化对冲投..,16.1
智诚5期,16.01
尚雅12期,15.95
融惠1号(天际线1..,15.94
灏四方成长基金,15.89
金海5号,15.87
金狮152号,15.84
重阳2期,15.79
尚雅14期,15.78
平安证大一期,15.76
淡水泉成长十期A,15.76
淡水泉成长十期B,15.76
淡水泉成长十期I,15.76
广金成长3期,15.75
武当稳健增长,15.75
黄金优选7期1号,15.67
鼎锋4号,15.66
锐进12期鼎萨,15.59
少数派新三板尊享1..,15.5
盛世源,15.46
奕金安一期,15.45
汇利3期,15.43
投资精英之汇利A,15.4
黄金优选1期12号,15.36
富鹏2期(德源安战..,15.35
国淼一期,15.34
淡水泉卓越1期,15.29
德汇成长1期,15.22
新价值20期,15.22
凡德对冲1号,15.09
天富3号(瀚信成长..,15.05
黄金优选15期1号,15.01
