产品简称,当年收益%
蓝海一号,185.8
国创基金,108.51
建泓盈富二号,91.5
天玑财富4号,74.1
长江资管瀚丰1号,58.87
鑫增长1号,50.24
广发资管海大投资2号,49.92
凯石财汇2号,47.5
海中湾祥泰,43.88
恒昌诚意一号,43.42
聚睿2号,43
誉品一号,42.9
贝莱德2号,42.7
旱资舟1期,40.7
丰年红利1号,39.6
国盛祥隆1号,39.42
旱资舟对冲7期,39.1
金田龙盛,38.11
金诚立达海中湾8号,35.92
海中湾(齐鲁)3号,33.66
易安菁英121号,33.19
锦泽一号,32.64
东方价值,32.5
千波小盘1号,32.1
国投大盈一号,31.98
海中湾2号,31.96
联联双鱼,31.72
默名十一期,31.43
格雷成长3号,30.93
旭诺成长对冲3号,30.4
稳健增长,30.19
佳盈四期,29.46
泓信泓筹价值一号,29.4
九铭恒升,28.75
鑫领慧1号,28.52
英卓量化期旺精选,28.06
水木基金,27.84
默驰对冲1号,27.75
晟维价值,27.51
洪昌1号,27.5
靖奇金牛固利,27.2
温瑞福菁英,27.11
易得资本1号,26.85
睿智鑫富一号,26.8
海中湾(中信)基金1号,26.47
鹤骑鹰奇异指数对冲,26.16
浦江之星168号-佳友1号,25.56
长河畅达稳健2号,25.2
一二资本二期,25.1
巴克夏月月利1号,25
慧智投资61号,24.73
靖奇白杨一号,24.6
杜兹三号,24.3
伯洋六期,24.29
道亨成长1号,24.2
牛行二号,24.13
飞旋成长五期,24.06
聚星05号,24
波若精选1期,23.88
慧智投资60号,23.84
优扬1号,23.63
慧智投资58号,23.63
源沣进取2号,23.34
蓝海七号,23.25
盛鸿精选,23.06
盘通1号,23
艺蓝一期,22.39
星火燎原2号,22
高梧1号,21.99
善智一号,21.96
海顺交易宝一号,21.5
钰淞(精选一期),21.41
唐小晖狙击龙头股计划..,20.1
宝耀空管1号,20
磐石2期,19.98
合正赢动2期,19.73
七王瑞德2号,19.66
偏锋2期,19.64
亿群大富翁2号,19.5
中国梦二期,19.25
领新佰顺资产1号,18.53
兆顺一号,18.5
景富和2016,18.4
华侨壹期8号,18.3
金海10号,18.29
冠丰糖糖1号,18.2
广发资管海大投资3号,18
尚谦1号,17.9
珺墀价值投资甄选系列,17.9
格雷一期,17.82
邦得2号,17.8
润樽沪港通基金,17.76
中金-云信私募工场金..,17.51
德高1号,17.5
等风来幸福,17.22
浅湖2号,17.21
圣盾成长1号,17.11
睿涛致盈一号,17.03
和盈片叶,17
天衍壹期,17
六耳金猴成长1号,17
正丰阳一金顺投1号,16.79
福建滚雪球同驰2号,16.6
易凡3号,16.6
海中湾腾实,16.49
东方老虎汇1号,16.44
宝耀稳健双赢2号,16.4
默名融智阳光12期,16.35
嘉得趋势策略二号,16.3
光大兴富进取5期第1期,16.11
格雷二期,16.01
众合机电1号,15.96
浅湖1号,15.95
阿杏大白2号基金,15.93
富恒精选一号,15.92
私募学院菁英163号,15.83
三次方1期,15.8
至秦成长1号,15.8
亿群大富翁1号,15.63
私募学院菁英171号,15.62
私募学院菁英119号,15.61
卿云2期,15.6
大数据稳健成长1号,15.52
致远一号,15.48
合撰行业先锋,15.4
智博方略2期(续),15.33
红角一号,15.12
鑫泉精选成长1期,15.1
潮金创投1号,15.09
理想3号,15.08
添华1号,15.06
常州本正博赢系列1期,14.81
雅柏宝量化三号,14.8
乾图价值趋势1号,14.75
金浪一号,14.69
牛行一号,14.66
盛运德诚趋势2号,14.56
东方点赞,14.51
踊跃进取,14.5
昭图5期,14.3
塔晶老虎1期,14.3
财富森林慧鑫1号,14.1
安盈鑫享3号,13.99
民享紫晶稳健2号,13.9
恒赢稳健1号,13.89
量道开普勒1号,13.82
成峰1号,13.8
永望复利成长6号,13.74
开拓者量化趋势对冲1号,13.7
伯洋三期,13.55
伯洋三期,13.55
睿洪一号,13.5
融易财富9号,13.5
方德滚动1号,13.5
正丰阳1号,13.41
华信资产价值二期,13.4
纵贯精选成长二期,13.31
海中湾开泰6号,13.08
赤子之心价值,13.04
胜达成长2期,12.95
德尔塔2号,12.9
阿杏大白1号,12.75
赤子之心招商单一信托,12.72
招商汇智之赤子之心1期,12.71
无量1期,12.7
招商汇智之赤子之心2期,12.69
鹏华资产赤子之心价值..,12.65
瀚木资产瀚木一号,12.54
志开慧泉,12.51
国华汇金卓越成长2号,12.5
道林资产管理一号,12.5
灿熙10号,12.5
金沙海枫,12.4
梦真一号,12.4
渤海分级汇鑫6号,12.33
睿宏1号,12.32
中投泰富稳盈1号,12.3
映雪松柏1号,12.3
中国梦8期,12.2
鼎时赢新动力2期,12.2
德蓝1号,12.16
承源09号,12.16
云信私募工场冲浪1号,12.1
义旺赤兔1号,12
家和万事兴1号,11.97
安盈鑫享1号,11.97
宝耀1期(宝鸿财富),11.96
广发资管巴克莱希勒美..,11.94
汇泽盛1号,11.93
瞰金28号,11.92
鼎熙稳健成长1号,11.9
水木6号,11.88
天风源泽添1号,11.81
恒龙01号,11.79
天风源泽添2号,11.79
天风证赢1号,11.78
天风源泽添4号,11.78
天风证赢2号,11.76
藏宝图京都1号,11.73
天风源泽添3号,11.71
泽鼎福虹财富管理三号,11.7
臻禾稳健成长二期,11.7
天风源泽添5号,11.68
东达价值增长一期,11.63
尚诚壹品瑞雪精选1号,11.62
尚诚壹品丰年今嘉1号,11.6
蓝海聚焦一号,11.6
汇创稳健1号,11.52
来兴3号,11.5
宝润达价值成长壹号,11.5
渔歌1号,11.5
私募学院菁英43号,11.49
福建滚雪球11号倍增,11.49
江阴睿信主题成长1期,11.42
港股价值精选一号,11.4
连民一号,11.4
海中湾睿泰,11.33
乾元泰和复利3号,11.32
金连接滚雪球12号,11.3
映雪松柏2号,11.29
唯君金江一号,11.26
道亨成长2号,11.15
理想5号,11
财富骐骥定增28号,10.98
信达量睿恒量化绝对收..,10.95
雀跃进取1号,10.9
德尔塔1号,10.9
乾元激荡岁月对冲一号,10.88
旭弘致远一号,10.8
大概率资管1号,10.79
瞰金32号,10.79
私募学院菁英35号,10.78
流星1号,10.74
淘股吧映雪1号,10.7
天利进取1号,10.67
智汇树稳健3号,10.6
中金量化经典配置1号,10.6
永升致远1期,10.55
福建滚雪球千里马1号,10.5
上海润岸牵牛花2期,10.5
上海润岸牵牛花,10.5
通金华融2号,10.5
浦来德天天开心对冲1号,10.45
文多稳健一期,10.37
伯洋一期,10.33
量道塞帕思费马1号,10.3
信水长流二期,10.28
长流汇开元1期,10.28
江阴睿信主题成长2期,10.13
甘棠1号,10.1
