产品简称,当年收益%
国创基金,121.85
蓝海一号,117.8
天玑财富4号,77.4
长江资管瀚丰1号,59.31
中信中硕基金,47.13
财富中诚冠一,42.4
一二资本一期,34
海中湾祥泰,33.37
飞旋成长五期,31.73
贝莱德2号,31.71
金田龙盛,31.45
鑫领慧1号,30.66
恒昌诚意一号,30.26
金诚立达海中湾8号,29.26
鑫增长1号,27.52
盛运德诚趋势2号,27.2
八阳2号,26.88
源沣进取2号,25.24
联峰鼎汇2期,24.41
陶朱创富,24.07
渤海分级汇鑫6号,23.76
金蕴68期,23.71
九铭恒升,22.62
千波小盘1号,22.3
海中湾腾实,21.8
睿涛致盈一号,21.7
稳健增长,21.13
格雷成长3号,20.88
财掌柜种子基金一号,20.33
默驰对冲1号,20.31
踊跃进取,20.3
盛运德诚趋势1号,19.83
默名融智阳光12期,19.79
智汇树稳健3号,19.6
聚星05号,19.05
海中湾2号,18.66
财富中诚旷怡,18.6
海中湾(齐鲁)3号,18.52
东方价值,17.7
伯洋六期,17.59
黑天鹅猎户座2号,17.51
英卓量化期旺精选,17.26
盛运德诚趋势5号,17.17
旭诺成长对冲3号,16.5
正丰阳一金顺投1号,16.37
中金-云信私募工场金..,16.23
海中湾(中信)基金1号,16.07
融易财富9号,15.7
领新佰顺资产1号,15.68
旭诚十一期,15.58
丰年红利1号,15.5
优扬1号,15.47
洪昌1号,15.4
云信私募工场冲浪1号,15.03
晟维价值,14.89
默名十一期,14.52
映雪松柏2号,13.89
财富骐骥定增28号,13.85
福建滚雪球同驰2号,13.8
全代码量化,13.3
融璇趋势1号,13.25
潮金创投1号,13.23
贤华一期,13.2
仓红1号灵活进取,13.15
恒赢稳健1号,12.96
灿熙10号,12.5
伯洋五期,12.38
三次方1期,12.2
无量1期,12.1
易安菁英121号,11.83
弘尚资产灵活配置,11.77
宏禾种子1号,11.59
华信资产价值二期,11.5
道林资产管理一号,11.5
大数据稳健成长1号,11.48
星火燎原2号,11.45
盘通1号,11.3
港融通6号,11.3
致福1期,11.13
至秦成长1号,11.1
大隐价值一号,11.09
佳盈四期,11.03
聚睿2号,11
民奇二号,10.74
金中和西鼎,10.72
义旺赤兔1号,10.7
乾元泰和复利3号,10.49
藏宝图京都1号,10.06
承源9号,10
承源09号,10
天衍壹期,10
亿鑫3期,10
锦泽一号,9.99
安盈鑫享3号,9.95
纵贯精选成长二期,9.94
信达量睿恒量化绝对收..,9.87
润樽沪港通基金,9.81
添华1号,9.8
旱资舟1期,9.8
龙隐1号,9.7
论德葵潭正能量,9.7
汇创稳健1号,9.67
融容1号,9.61
尚谦1号,9.6
福建滚雪球千里马1号,9.6
伯洋三期,9.55
福建滚雪球11号倍增,9.48
胜达成长2期,9.39
高梧1号,9.36
创势翔进取,9.36
天利进取1号,9.33
杜兹三号,9.1
中金量化经典配置1号,9.1
灿熙8号,9.07
大概率资管1号,9.04
世钰5期,8.96
安盈鑫享2号,8.9
钜垣投资健康中国一号,8.9
中投泰富稳盈1号,8.9
成峰1号,8.9
富远利1号,8.73
天和4号证券基金,8.65
私募学院菁英35号,8.61
金连接滚雪球12号,8.6
财富森林慧鑫1号,8.5
民创1号,8.42
广发资管海大投资3号,8.38
浅湖2号,8.36
睿洪一号,8.35
云信私募工场深积稳健..,8.35
金海10号,8.35
雍贯投资系列2号,8.27
高溪量化对冲进取1号,8.17
旭诚五期,8.08
神州牧5号,8.06
金域量化2期,7.95
梦真一号,7.94
伯洋一期,7.93
偏锋2期,7.9
兆顺一号,7.65
金域量化5期,7.64
暨创1号,7.6
慧智投资61号,7.56
天谋富龙1期,7.5
长江资管民生和惠6号,7.48
征金资本股票优选一期,7.48
炳富2号,7.41
来兴3号,7.4
普辉锦绣一号,7.4
大通道财道2号,7.37
恒天创新投资一期,7.24
常州本正博赢系列1期,7.23
志开慧泉,7.21
佰顺银泰,7.2
双宇华耀创富1期,7.2
信复创值6号,7.1
炳富1号,7.05
天玑财富2号,7.05
资瑞兴一号,7
国贸旭诚1号,7
瀚木资产瀚木一号,6.92
慧智投资58号,6.87
恒龙01号,6.81
金沙海枫,6.8
拾年3号,6.77
温瑞福2号,6.7
钰淞(精选一期),6.68
高溪量化对冲1号,6.65
大概率资管2号,6.63
民享9号,6.6
安盈中钰11号,6.55
金新东方红1号,6.53
炉石核心价值,6.46
博先山禾2号,6.41
思源1期,6.41
东方老虎汇1号,6.37
创势翔国政对冲基金,6.35
领新佰顺资产2号,6.34
永升致远1期,6.33
广发资管海大投资2号,6.28
中金家族1号,6.27
广发资管巴克莱希勒美..,6.2
圣盾成长1号,6.08
港融通5号,6.06
正丰阳1号,6.06
金域量化1期,6.02
灿熙5号,6
私募学院菁英23号,5.96
圆信永丰优加生活,5.92
山金金控秦安一号,5.86
文多稳健一期,5.86
瀚投华睿千和1号,5.86
龙萨精品一号,5.83
开拓者量化趋势对冲1号,5.82
工银量化恒盛精选D类1..,5.8
小熊猫量化2号,5.73
昀沣4号,5.72
滚雪球价值精选2号,5.7
向量ETF量化5期,5.7
乐善稳健2号,5.7
莱茵映雪凯银1号,5.62
创通1号,5.5
红角一号,5.41
安盈打新1号,5.4
智博方略2期(续),5.39
工银量化恒盛精选D类2..,5.34
荣辉7期,5.32
大概率资管3号,5.28
安盈鑫享1号,5.26
宝增一期,5.26
格雷二期,5.23
浅湖1号,5.18
永达2期(长安投资275号),5.16
亘盈稳健,5.16
格雷一期,5.13
安盈鑫享5号,5.12
江阴睿信主题成长1期,5.01
灿熙2号,5
嘉华盛裕银海1号,5
鸿道新蓝筹,4.95
水木基金,4.88
九旭2号,4.79
海中湾开泰6号,4.74
永禧永进专享,4.74
信安成稳健2号,4.7
民享8号,4.7
景富二期,4.68
汇鑫56-1,4.64
东达价值增长一期,4.59
融裕二期,4.55
启态易方量化2号,4.55
理成专户4号,4.54
六耳金猴成长1号,4.5
创富1号,4.45
江阴睿信主题成长2期,4.43
旭诚兴达,4.42
龙腾汇金2号,4.38
长江证券昆仑7号,4.35
嘉捷白马2号,4.32
聚财1期,4.28
广盈2号2期赤子之心价..,4.22
民享10号,4.2
工银量化恒盛精选A类1..,4.17
众乐未名量化对冲二号,4.12
宇迪乾睿稳增长1号,4.1
冰剑5号,4.02
钱王乾睿量化1号,4
新基准20,4
港信新时代3号,3.97
璟云天天向上二号,3.91
正泽元对冲6号,3.9
鸿逸泰瑞一号,3.9
楠溪一期,3.89
枫景,3.88
价值稳健,3.83
宁聚量化精选3期,3.83
中信宏量2号,3.75
通和进取2号,3.74
永发投资稳健进取2期,3.67
九旭1号,3.67
璟云天天向上一号,3.63
泽泉涨停板1号,3.62
新思哲成长基金,3.61
怡广国改2号,3.61
倍霖山绝对回报1号,3.56
同威3期,3.55
昭图3期,3.55
旭诚十期,3.53
家和万事兴1号,3.49
睿鉝量化对冲1期,3.49
菩提成长8号,3.48
核心价值1期,3.44
薛神投资量化选股1号,3.36
迈隆1号,3.35
宏牧1号,3.28
神州牧1号,3.27
毅扬2期,3.25
天启谷羊,3.21
安盈鑫享4号,3.16
长江超越理财量化3号,3.16
林孚1号,3.15
长江超越理财量化2号,3.08
天哲共盈一号,3.04
银帆7期,3.03
倚天瀚海雄风19号,2.91
天风鑫利天2号,2.88
天风优选1号,2.85
天风优选2号,2.85
天风鑫利天1号,2.84
天风领军趋势4号,2.84
天风鑫利天3号,2.83
天风汇富精选1号,2.83
双隆量化7号,2.82
天创1号,2.81
映雪松柏5号,2.8
至信55号财富2期,2.79
量道开普勒1号,2.78
合正赢动2期,2.78
贝肯双隆基金,2.76
金蝉基金,2.71
民享11号,2.7
世纪汇金量化一期,2.64
昭图2期,2.64
汇祥4号,2.63
金域量化3期,2.61
东达成长三期,2.6
兴证稳健1号,2.6
映雪松柏1号,2.6
鑫丰2号,2.6
普邦恒升(华金1期),2.59
探骊禾乔共进1号,2.58
泽泉景渤财富,2.57
保银量化石榴,2.56
沁源进取,2.53
小禹1期,2.52
杏花1号,2.52
润之泽阿尔法成长一号,2.5
金泉动量对冲基金,2.49
太平洋证券红珊瑚1号,2.47
旭诚辉煌,2.46
中信保盈量化1号,2.46
融儒稳健一号,2.45
智裕新隆2号,2.43
探骊心无熊1号,2.42
泽然1号,2.41
南方增长鸿运稳健,2.4
鼎熙稳健成长1号,2.38
泽泉信德,2.37
易同增长,2.33
天风源泽添1号,2.33
长江资管楚天2号,2.32
天风证赢2号,2.32
天风证赢1号,2.32
万霁三号,2.3
中北联合,2.3
天风源泽添2号,2.3
瑞希量化稳进1号,2.29
天风源泽添4号,2.28
小鳄1号,2.27
玉牛一号,2.27
盛泉恒元多策略量化对..,2.23
天风源泽添3号,2.23
天风源泽添5号,2.22
瞰金66号,2.21
相聚晓兴一期,2.21
佰顺启航1号,2.2
远望角投资1期,2.16
泰通财富1号,2.15
宝丰一号,2.14
新湖祎海恒航一期,2.13
创蓝筹价值平衡,2.13
大通道财道1号,2.12
西藏同信同心12号,2.11
相聚芒格一期,2.11
神农医药A,2.1
中国梦8期,2.1
华融明湾量化1号,2.1
天风证券稳胜1号,2.1
万联万年红多因子策略..,2.09
鼎集1期,2.08
海银国信红岭量化精选,2.05
华宝证券华芮量化二号,2.04
朴仕量化1号,2.01
丹阳多头3期,2
卿云2期,2
明星9号,1.99
祥运和1号,1.96
胜数量化8号,1.96
双隆鼎实5号四期,1.94
